ProviderName, ShortName
"ACCESSPLUS-COMMUNICATIONS - AccessPlus Communications, Inc.", AccessPlus
ALKERMES - ALKERMES INCORPORATED, ALKERMES
AS12222 Akamai Technologies, Akamai
AS1239 SprintLink Global Network, SprintLink
ASN-BELD - Braintree Electric Light Dept., BraintreeElectric
"ASN-CC - Constant Contact, Inc", ConstantContact
ASN-QWEST-US NOVARTIS-DMZ-US, Novartis
ASN-SHREWS - Shrewsbury Electric and Cable Operations, ShrewsburyElectric
AT&T Wireless Service, AT&TWireless
"ATT-INTERNET4 - AT&T Services, Inc.", AT&T 
AXCELX-NET - AxcelX Technologies LLC, AxcelX
"BELLATLANTIC-COM - Bell Atlantic, Inc.", BellAtlantic 
BIGLEAF - Bigleaf Networks LLC, Bigleaf 
BOSTONCOLLEGE - Boston College, BostonCollege
BOSTONU-AS - Boston University, BostonUniversity
CAPENET - CapeNet LLC, CapeNet
CELLCO - Cellco Partnership DBA Verizon Wireless, Cellco
CELLCO-PART - Cellco Partnership DBA Verizon Wireless, CellcoPartnership
CHARTER-NET-HKY-NC - Charter Communications, CharterCommunications
"CITRIX-ONLINE-OFFICES - Citrix Online, LLC", Citrix
COGENT Cogent/PSI, Cogent 
"COMCAST-7015 - Comcast Cable Communications Holdings, Inc", ComcastHoldings
"COMCAST-7922 - Comcast Cable Communications, Inc.", Comcast
COMMRAIL - Access Northeast Inc., Comrail
CONCORD-MA - Town of Concord MA, Concord
CROCKERCOM - CROCKER COMMUNICATIONS, CrokerCommunications
FIVE-COLLEGES-AS - Five Colleges Network,"FiveCollegesNet"
"GOOGLEWIFI - Google, Inc.", Google
HARVARD-UNIV - Harvard University, Harvard
HGE-NET - Holyoke Gas & Electric Department, HolyokeGas
HNS-DIRECPC - Hughes Network Systems, Hughes
"JUNIPER-NETWORKS - Juniper Networks, Inc.", Juniper
KRONOS-MA - Kronos Inc., Kronos
LEVEL3 Level 3 Communications, L3
LIGHTOWER Lightower Fiber Networks (LIGHT-141), Lightower
LMANET - Longwood Medical and Academic Area (LMA), LongwoodMedical
MASSACHUSETTS - Commonwealth of Massachusetts, Mass
MILLIPORE - Millipore Corp., Millipore
MIT-GATEWAYS - Massachusetts Institute of Technology, MIT
NETRIPLEX-CORPORATION - Netriplex Corporation, Netriplex
"NITEL - NETWORK INNOVATIONS, INC.", Nitel
NLB-ASN - Norwood Light Broadband, NorwoodLight
NMSU-AS - Checs-net, ChecsNet
NORTHEASTERN-GW-AS - Northeastern University, Northeastern
ORACLE-EUROPE-AS - Oracle Corporation, Oracle
OSRAM-SYLVANIA - OSRAM SYLVANIA INC., Osram
PEGASYSTEMS - Pegasystems Inc., Pegasystems
PERIMETER-ESECURITY - Perimeter eSecurity, Perimeter
PFIZERNET - PFIZER INC., Pfizer
PRAC - Plymouth Rock Assurance Corporation, Plymouth
RCN-AS - RCN, RCN
RINET - Rhode Island Network for Educ. Technology, RINET
ROBERTSDYBDAHL - Roberts & Dybdahl Inc., RobertsDybdahl
RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC, TimeWarnerCable
SPCS - Sprint Personal Communications Systems, Sprint
"T-MOBILE-AS21928 - T-Mobile USA, Inc.", TMobile
TAUNTON-MUNICIPAL - Taunton Municipal Lighting Plant, TauntonMunicipal
TINET-BACKBONE Tinet SpA, Tinet
TUFTS-UNIVERSITY - Tufts University, Tufts
"TWRS-MA - Towerstream I, Inc.", Towerstream
US-TELEPACIFIC - Telepacific Communications, TelepacificCommunications
"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business", Verizon
VERTISINC-IRVING - Vertis Inc., Vertis
WAUSAU-INS - Liberty Mutual Group, Liberty Mutual
WB-DEN2 - Viasat Communications Inc., Viasat
"WINDSTEAM-HOSTED-SOLUTIONS-1 - Windstream Hosted Solutions, LLC", WindstreamSolutions
WINDSTREAM - Windstream Communications Inc, Windstream
"WIVALLEY - WiValley, Inc.", WiValley
WPI - Worcester Polytechnic Institute, WPI
XO-AS15 - XO Communications, XOCommunications
