seq_id,muni_id,municipal,geoid,logrecno,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
3295,1,Abington,06000US2502300170,292,2014-18,90873,9890,108790,8648,57609,23007
3296,2,Acton,06000US2501700380,207,2014-18,137910,6063,166897,8954,55050,14886
3297,3,Acushnet,06000US2500500520,76,2014-18,72125,5556,83623,9000,33487,8608
3298,4,Adams,06000US2500300555,43,2014-18,49191,3593,65488,3865,31949,8889
3299,5,Agawam,06000US2501300840,164,2014-18,67219,4646,79205,6175,36352,4098
3300,6,Alford,06000US2500300975,44,2014-18,106406,11314,106563,11369,91875,59461
3301,7,Amesbury,06000US2500901260,104,2014-18,80721,4536,107880,7616,45335,9083
3302,8,Amherst,06000US2501501325,187,2014-18,51878,4524,114926,8898,30319,4477
3303,9,Andover,06000US2500901465,105,2014-18,148125,9205,170598,4794,69013,10103
3304,10,Arlington,06000US2501701605,208,2014-18,107085,3735,143194,5178,71685,4707
3305,11,Ashburnham,06000US2502701885,324,2014-18,97561,19299,97957,18977,96146,90271
3306,12,Ashby,06000US2501701955,209,2014-18,101357,9196,105144,8834,73819,42910
3307,13,Ashfield,06000US2501102095,138,2014-18,70956,6401,74563,4928,51000,10198
3308,14,Ashland,06000US2501702130,210,2014-18,121406,14153,134231,10580,54125,17644
3309,15,Athol,06000US2502702480,325,2014-18,54028,6583,65167,6668,28667,7294
3310,16,Attleboro,06000US2500502690,77,2014-18,74255,3732,95859,4084,40214,3666
3311,17,Auburn,06000US2502702760,326,2014-18,83014,4461,92031,4350,37300,6274
3312,18,Avon,06000US2502102935,263,2014-18,69868,8753,93750,15882,41371,8799
3313,19,Ayer,06000US2501703005,211,2014-18,84917,19894,120540,14128,60679,7038
3314,20,Barnstable,06000US2500103690,28,2014-18,68919,2495,78976,4396,40982,8425
3315,21,Barre,06000US2502703740,327,2014-18,68139,9879,82500,33680,51709,19289
3316,22,Becket,06000US2500304545,45,2014-18,74659,10930,73523,10024,86389,34907
3317,23,Bedford,06000US2501704615,212,2014-18,129726,10296,162201,19237,79792,22981
3318,24,Belchertown,06000US2501504825,188,2014-18,93300,4630,107541,10140,32319,9844
3319,25,Bellingham,06000US2502104930,264,2014-18,99569,7626,108324,11685,48600,13017
3320,26,Belmont,06000US2501705070,213,2014-18,120208,10992,159018,6786,75198,5614
3321,27,Berkley,06000US2500505280,78,2014-18,94516,15326,99736,10208,62216,24317
3322,28,Berlin,06000US2502705490,328,2014-18,104063,15724,109457,9509,33194,29610
3323,29,Bernardston,06000US2501105560,139,2014-18,64940,5062,73661,9746,39938,8945
3324,30,Beverly,06000US2500905595,106,2014-18,79483,4264,114167,7790,36783,5763
3325,31,Billerica,06000US2501705805,214,2014-18,103129,3280,109762,7259,69044,16063
3326,32,Blackstone,06000US2502706015,329,2014-18,86513,12640,108594,8920,46458,12735
3327,33,Blandford,06000US2501306085,165,2014-18,75250,12715,76103,14319,0,0
3328,34,Bolton,06000US2502706365,330,2014-18,155093,17417,164402,22223,0,0
3329,35,Boston,06000US2502507000,320,2014-18,65883,1059,110770,1950,45254,1171
3330,36,Bourne,06000US2500107175,29,2014-18,74668,3916,85901,6136,50208,14341
3331,37,Boxborough,06000US2501707350,215,2014-18,108207,15005,151172,15724,73073,15586
3332,38,Boxford,06000US2500907420,107,2014-18,174340,25695,178958,23254,42679,5512
3333,39,Boylston,06000US2502707525,331,2014-18,98520,8479,110294,13391,39826,11803
3334,40,Braintree,06000US2502107740,265,2014-18,94945,5125,111077,7270,47374,3387
3335,41,Brewster,06000US2500107980,30,2014-18,73765,7203,81774,7084,27083,14189
3336,42,Bridgewater,06000US2502308085,293,2014-18,92289,6927,110729,9042,52375,18602
3337,43,Brimfield,06000US2501308470,166,2014-18,84471,14677,94091,15607,29875,14694
3338,44,Brockton,06000US2502309000,294,2014-18,55140,3021,83281,2161,30924,1651
3339,45,Brookfield,06000US2502709105,332,2014-18,68125,11348,69120,12755,58750,24306
3340,46,Brookline,06000US2502109175,266,2014-18,113515,5309,156856,11531,76438,7422
3341,47,Buckland,06000US2501109595,140,2014-18,53716,5371,62292,14857,28000,10864
3342,48,Burlington,06000US2501709840,216,2014-18,105443,12567,120376,7668,82849,12578
3343,49,Cambridge,06000US2501711000,217,2014-18,95404,2915,136804,7956,77274,3037
3344,50,Canton,06000US2502111315,267,2014-18,105371,4823,120993,11975,61830,6396
3345,51,Carlisle,06000US2501711525,218,2014-18,171625,30952,188750,30859,33292,5323
3346,52,Carver,06000US2502311665,295,2014-18,66406,8123,71684,8537,35368,21425
3347,53,Charlemont,06000US2501112505,141,2014-18,57159,10527,64167,7521,38516,5733
3348,54,Charlton,06000US2502712715,333,2014-18,97805,8924,111134,9157,43302,10563
3349,55,Chatham,06000US2500112995,31,2014-18,77878,13454,93393,10701,28214,9203
3350,56,Chelmsford,06000US2501713135,219,2014-18,109955,4457,126418,6333,46834,10354
3351,57,Chelsea,06000US2502513205,321,2014-18,53280,3674,87500,9598,41178,3142
3352,58,Cheshire,06000US2500313345,46,2014-18,64979,14004,68264,11851,63500,31854
3353,59,Chester,06000US2501313485,167,2014-18,73000,20226,86111,11972,21944,8212
3354,60,Chesterfield,06000US2501513590,189,2014-18,74010,6769,74792,14680,0,0
3355,61,Chicopee,06000US2501313660,168,2014-18,49434,2378,70373,4221,31303,2321
3356,62,Chilmark,06000US2500713800,97,2014-18,106000,38793,112917,31316,81500,8699
3357,63,Clarksburg,06000US2500314010,47,2014-18,64330,6098,69265,8157,0,0
3358,64,Clinton,06000US2502714395,334,2014-18,66094,7398,90250,11273,52807,5305
3359,65,Cohasset,06000US2502114640,268,2014-18,132204,30148,183594,31852,29980,27061
3360,66,Colrain,06000US2501114885,142,2014-18,56149,3462,60000,8202,40500,7195
3361,67,Concord,06000US2501715060,220,2014-18,141293,7221,173363,15505,70563,22997
3362,68,Conway,06000US2501115200,143,2014-18,97188,12012,106429,7860,51685,6402
3363,69,Cummington,06000US2501516040,190,2014-18,56964,7319,66000,9551,22500,12775
3364,70,Dalton,06000US2500316180,48,2014-18,59122,10210,69145,9984,38112,13762
3365,71,Danvers,06000US2500916250,108,2014-18,84842,6652,106341,7905,41683,4859
3366,72,Dartmouth,06000US2500516425,79,2014-18,81641,5693,94704,5373,31582,6917
3367,73,Dedham,06000US2502116495,269,2014-18,96992,8120,125621,5242,56356,9988
3368,74,Deerfield,06000US2501116670,144,2014-18,76250,9740,79560,13357,56597,11841
3369,75,Dennis,06000US2500116775,32,2014-18,59805,5262,74269,5170,30349,5745
3370,76,Dighton,06000US2500516950,80,2014-18,93897,15620,99419,11816,52772,15943
3371,77,Douglas,06000US2502717300,335,2014-18,95567,4471,106615,17707,53438,12263
3372,78,Dover,06000US2502117405,270,2014-18,224784,36225,250001,0,110793,60134
3373,79,Dracut,06000US2501717475,221,2014-18,88555,7283,102838,8925,47736,14340
3374,80,Dudley,06000US2502717685,336,2014-18,67117,5611,81935,9914,42207,15896
3375,81,Dunstable,06000US2501717825,222,2014-18,131250,13582,130268,11638,175078,72846
3376,82,Duxbury,06000US2502317895,296,2014-18,128333,11634,136250,8892,71940,17539
3377,83,East Bridgewater,06000US2502318455,297,2014-18,86922,7851,99219,10162,42470,2661
3378,84,East Brookfield,06000US2502718560,337,2014-18,84444,6391,86581,6788,65536,31102
3379,85,East Longmeadow,06000US2501319645,169,2014-18,88442,2952,96411,6950,34136,10471
3380,86,Eastham,06000US2500119295,33,2014-18,68161,7180,71981,7049,0,0
3381,87,Easthampton,06000US2501519370,191,2014-18,59604,4697,78594,5519,40903,1508
3382,88,Easton,06000US2500520100,81,2014-18,109719,6446,120904,5064,52738,11642
3383,89,Edgartown,06000US2500721150,98,2014-18,64810,17563,79808,16384,53346,13624
3384,90,Egremont,06000US2500321360,49,2014-18,68125,7376,71602,5859,32583,13204
3385,91,Erving,06000US2501121780,145,2014-18,62750,14731,73571,5456,38542,7630
3386,92,Essex,06000US2500921850,109,2014-18,113469,11215,121745,7368,41667,29655
3387,93,Everett,06000US2501721990,223,2014-18,60482,4984,84380,5383,47465,3101
3388,94,Fairhaven,06000US2500522130,82,2014-18,65763,4598,74573,5293,33778,8419
3389,95,Fall River,06000US2500523000,83,2014-18,41585,2143,67108,2952,30394,2747
3390,96,Falmouth,06000US2500123105,34,2014-18,73201,4434,85195,5381,41616,3750
3391,97,Fitchburg,06000US2502723875,338,2014-18,55277,4398,79741,6434,35668,4957
3392,98,Florida,06000US2500324120,50,2014-18,65417,17372,68750,14187,0,0
3393,99,Foxborough,06000US2502124820,271,2014-18,98374,6328,126417,13323,67045,8296
3394,100,Framingham,06000US2501724925,224,2014-18,79136,4970,114961,4863,44710,5255
3395,101,Franklin,06000US2502125172,272,2014-18,115355,6428,130417,8485,54744,10892
3396,102,Freetown,06000US2500525240,84,2014-18,86469,10055,93028,10869,45114,21515
3397,103,Gardner,06000US2502725485,339,2014-18,50239,4856,72837,4811,33274,5049
3398,104,Aquinnah,06000US2500701585,96,2014-18,87000,14264,92639,8012,0,0
3399,105,Georgetown,06000US2500925625,110,2014-18,128885,15741,141207,6987,47019,18005
3400,106,Gill,06000US2501125730,146,2014-18,67083,9959,72604,7358,44083,10117
3401,107,Gloucester,06000US2500926150,111,2014-18,65377,4497,89625,4936,40102,3480
3402,108,Goshen,06000US2501526290,192,2014-18,80982,8439,80982,12582,78750,47617
3403,109,Gosnold,06000US2500726325,99,2014-18,126250,59419,126250,59419,0,0
3404,110,Grafton,06000US2502726430,340,2014-18,102737,5152,123625,5717,49702,5199
3405,111,Granby,06000US2501526535,193,2014-18,95987,13215,110286,10709,27686,6250
3406,112,Granville,06000US2501326675,170,2014-18,82273,9090,82768,9496,0,0
3407,113,Great Barrington,06000US2500326815,51,2014-18,56622,16012,84056,10687,39865,12501
3408,114,Greenfield,06000US2501127100,147,2014-18,48653,4273,69454,2835,28854,3544
3409,115,Groton,06000US2501727480,225,2014-18,126883,12248,145051,19943,42833,23629
3410,116,Groveland,06000US2500927620,112,2014-18,97109,25237,104770,19350,51827,41880
3411,117,Hadley,06000US2501527690,194,2014-18,64276,11982,80302,15330,49233,10891
3412,118,Halifax,06000US2502327795,298,2014-18,92111,16154,92730,14946,81625,61778
3413,119,Hamilton,06000US2500927900,113,2014-18,133333,25431,151333,15611,31324,7497
3414,120,Hampden,06000US2501328075,171,2014-18,85943,6684,92625,9630,0,0
3415,121,Hancock,06000US2500328180,52,2014-18,64583,18900,77917,16047,42375,10205
3416,122,Hanover,06000US2502328285,299,2014-18,120000,10527,133324,15027,0,0
3417,123,Hanson,06000US2502328495,300,2014-18,98537,9169,105848,12981,31985,9012
3418,124,Hardwick,06000US2502728740,341,2014-18,58924,8188,70182,6110,18636,3349
3419,125,Harvard,06000US2502728950,342,2014-18,148625,17056,153125,15374,52059,29902
3420,126,Harwich,06000US2500129020,35,2014-18,75352,5068,78361,6322,42073,35035
3421,127,Hatfield,06000US2501529265,195,2014-18,64619,4825,81467,11300,37450,11309
3422,128,Haverhill,06000US2500929405,114,2014-18,67579,2706,94344,5292,38341,3182
3423,129,Hawley,06000US2501129475,148,2014-18,59107,15966,69375,22523,26500,3900
3424,130,Heath,06000US2501129650,149,2014-18,63393,11098,63393,10152,0,0
3425,131,Hingham,06000US2502330210,301,2014-18,133596,10479,158333,11691,49528,11475
3426,132,Hinsdale,06000US2500330315,53,2014-18,65820,5353,70750,12496,48375,11102
3427,133,Holbrook,06000US2502130455,273,2014-18,70364,7972,88374,13007,36281,3342
3428,134,Holden,06000US2502730560,343,2014-18,105000,5716,109183,5383,41949,6741
3429,135,Holland,06000US2501330665,172,2014-18,81680,5256,89145,12841,45800,9881
3430,136,Holliston,06000US2501730700,226,2014-18,125625,13680,140250,14092,30826,6248
3431,137,Holyoke,06000US2501330840,173,2014-18,40656,2831,76853,6097,22409,3166
3432,138,Hopedale,06000US2502730945,344,2014-18,107550,4379,109817,11336,93500,35454
3433,139,Hopkinton,06000US2501731085,227,2014-18,166156,12590,188909,15950,70144,33555
3434,140,Hubbardston,06000US2502731435,345,2014-18,95530,10783,98068,9449,66364,40782
3435,141,Hudson,06000US2501731540,228,2014-18,87806,6449,107330,7891,53291,9440
3436,142,Hull,06000US2502331645,302,2014-18,85573,7603,107917,11596,38819,16792
3437,143,Huntington,06000US2501531785,196,2014-18,59881,10257,69091,13922,45625,11021
3438,144,Ipswich,06000US2500932310,115,2014-18,90557,7259,107065,6050,41029,12354
3439,145,Kingston,06000US2502333220,303,2014-18,106654,16270,116768,7084,46866,23278
3440,146,Lakeville,06000US2502333920,304,2014-18,106775,9171,114453,7111,53071,24008
3441,147,Lancaster,06000US2502734165,346,2014-18,103071,15990,106199,12417,67250,29672
3442,148,Lanesborough,06000US2500334340,54,2014-18,76818,9937,81483,7652,0,0
3443,149,Lawrence,06000US2500934550,116,2014-18,41583,2378,73409,6014,33078,1715
3444,150,Lee,06000US2500334655,55,2014-18,71369,14237,95000,9161,43603,10589
3445,151,Leicester,06000US2502734795,347,2014-18,82229,10571,99176,9817,47944,16278
3446,152,Lenox,06000US2500334970,56,2014-18,72411,13529,94613,10921,41333,16836
3447,153,Leominster,06000US2502735075,348,2014-18,58205,3442,82958,5766,34560,4099
3448,154,Leverett,06000US2501135180,150,2014-18,91500,8386,96875,10153,52500,20280
3449,155,Lexington,06000US2501735215,229,2014-18,172750,10208,192670,8825,86971,13109
3450,156,Leyden,06000US2501135285,151,2014-18,78594,4260,79922,5906,0,0
3451,157,Lincoln,06000US2501735425,230,2014-18,122778,14404,192500,49450,85938,17123
3452,158,Littleton,06000US2501735950,231,2014-18,120638,9237,134375,12096,36736,13162
3453,159,Longmeadow,06000US2501336300,174,2014-18,114271,8648,118694,6859,50938,17166
3454,160,Lowell,06000US2501737000,232,2014-18,51987,2059,82665,2775,33793,3142
3455,161,Ludlow,06000US2501337175,175,2014-18,72040,5869,83343,4887,42353,9036
3456,162,Lunenburg,06000US2502737420,349,2014-18,101510,6813,107060,6078,51953,27658
3457,163,Lynn,06000US2500937490,117,2014-18,54598,2784,87414,3660,35215,2745
3458,164,Lynnfield,06000US2500937560,118,2014-18,132632,14353,143882,12601,28839,14106
3459,165,Malden,06000US2501737875,233,2014-18,64178,2401,90522,6000,46922,3436
3460,166,Manchester,06000US2500937995,119,2014-18,124025,18804,159464,18696,0,0
3461,167,Mansfield,06000US2500538225,85,2014-18,114720,7963,138108,9489,63897,9664
3462,168,Marblehead,06000US2500938400,120,2014-18,115511,10062,139224,5669,51939,9318
3463,169,Marion,06000US2502338540,305,2014-18,80188,5916,103350,22759,48611,13379
3464,170,Marlborough,06000US2501738715,234,2014-18,79228,3487,105864,5090,57891,6619
3465,171,Marshfield,06000US2502338855,306,2014-18,96514,10341,113750,7735,37959,10281
3466,172,Mashpee,06000US2500139100,36,2014-18,71810,7797,78069,5130,44236,22736
3467,173,Mattapoisett,06000US2502339450,307,2014-18,91573,24438,111076,10099,53676,14913
3468,174,Maynard,06000US2501739625,235,2014-18,101324,7519,115516,13139,38947,10892
3469,175,Medfield,06000US2502139765,274,2014-18,155039,10467,170938,22881,38750,17307
3470,176,Medford,06000US2501739835,236,2014-18,92363,4261,108728,7321,70572,6991
3471,177,Medway,06000US2502139975,275,2014-18,119450,9298,130747,12957,40086,8360
3472,178,Melrose,06000US2501740115,237,2014-18,103743,5757,136420,13024,52860,8022
3473,179,Mendon,06000US2502740255,350,2014-18,132063,22815,153875,16087,86563,30803
3474,180,Merrimac,06000US2500940430,121,2014-18,83508,16749,92292,16452,35313,15524
3475,181,Methuen,06000US2500940710,122,2014-18,74912,4311,96310,6119,37413,4521
3476,182,Middleborough,06000US2502340850,308,2014-18,83227,10175,100106,4308,43804,11392
3477,183,Middlefield,06000US2501540990,197,2014-18,73438,17066,73563,15792,0,0
3478,184,Middleton,06000US2500941095,123,2014-18,102604,27018,121051,9047,0,0
3479,185,Milford,06000US2502741165,351,2014-18,82129,6634,99228,6622,44946,7928
3480,186,Millbury,06000US2502741340,352,2014-18,81804,8594,103771,11918,49458,18745
3481,187,Millis,06000US2502141515,276,2014-18,106336,3371,123043,17883,51719,15191
3482,188,Millville,06000US2502741585,353,2014-18,78704,7529,96875,14059,44554,16007
3483,189,Milton,06000US2502141690,277,2014-18,127448,7315,147668,10326,55148,15654
3484,190,Monroe,06000US2501142040,152,2014-18,26458,6786,27292,7335,0,0
3485,191,Monson,06000US2501342145,176,2014-18,82427,7310,91794,5863,38125,18067
3486,192,Montague,06000US2501142285,153,2014-18,53750,7473,70968,16401,30417,8267
3487,193,Monterey,06000US2500342460,57,2014-18,67500,21733,76667,25635,30500,3517
3488,194,Montgomery,06000US2501342530,177,2014-18,83333,18084,83125,21795,88125,47444
3489,195,Mount Washington,06000US2500343300,58,2014-18,72500,15492,75714,16428,0,0
3490,196,Nahant,06000US2500943580,124,2014-18,90741,14008,123309,42843,59297,38966
3491,197,Nantucket,06000US2501943790,262,2014-18,105171,5612,111250,12633,73585,16845
3492,198,Natick,06000US2501743895,238,2014-18,109490,6161,140720,5794,64612,13764
3493,199,Needham,06000US2502144105,278,2014-18,153032,16743,172571,12502,43295,13721
3494,200,New Ashford,06000US2500344385,59,2014-18,81875,18778,89583,28629,70000,16873
3495,201,New Bedford,06000US2500545000,86,2014-18,43989,1888,70598,1970,30711,1728
3496,202,New Braintree,06000US2502745105,354,2014-18,89167,11587,98021,10607,39375,21844
3497,203,New Marlborough,06000US2500345420,60,2014-18,76731,14174,80268,12800,51458,21905
3498,204,New Salem,06000US2501145490,154,2014-18,69750,12871,80060,17545,40341,16947
3499,205,Newbury,06000US2500945175,125,2014-18,93000,13301,108241,14779,51917,38419
3500,206,Newburyport,06000US2500945245,126,2014-18,103220,8830,128071,5890,41500,15075
3501,207,Newton,06000US2501745560,239,2014-18,139696,4471,176871,7943,75374,5916
3502,208,Norfolk,06000US2502146050,279,2014-18,146607,8157,149878,10199,87583,50539
3503,209,North Adams,06000US2500346225,61,2014-18,39411,2992,61331,7430,23575,3213
3504,210,North Andover,06000US2500946365,127,2014-18,109371,6251,143403,8663,41690,17486
3505,211,North Attleborough,06000US2500546575,87,2014-18,89485,5287,111922,7371,43729,3178
3506,212,North Brookfield,06000US2502747135,357,2014-18,73599,5345,90313,11159,38036,21719
3507,213,North Reading,06000US2501748955,240,2014-18,126818,10682,133244,9815,60428,10079
3508,214,Northampton,06000US2501546330,198,2014-18,64850,3951,93512,4764,37108,5690
3509,215,Northborough,06000US2502746820,355,2014-18,113608,10627,127110,8605,61964,16002
3510,216,Northbridge,06000US2502746925,356,2014-18,78230,6302,108144,6755,40931,5890
3511,217,Northfield,06000US2501147835,155,2014-18,72083,15894,86607,9738,32917,22908
3512,218,Norton,06000US2500549970,88,2014-18,108423,5037,117294,7282,55040,30360
3513,219,Norwell,06000US2502350145,309,2014-18,151306,10873,158500,12258,0,0
3514,220,Norwood,06000US2502150250,280,2014-18,90511,3352,109770,10511,70281,6010
3515,221,Oak Bluffs,06000US2500750390,100,2014-18,82045,26322,83869,26410,62813,47540
3516,222,Oakham,06000US2502750670,358,2014-18,84375,8618,89545,8511,58750,9736
3517,223,Orange,06000US2501151265,156,2014-18,46228,5024,67083,9725,20407,5955
3518,224,Orleans,06000US2500151440,37,2014-18,71418,8958,82634,13397,22006,7760
3519,225,Otis,06000US2500351580,62,2014-18,76058,15325,88816,11464,26375,18269
3520,226,Oxford,06000US2502751825,359,2014-18,71327,7833,83025,9513,36450,19119
3521,227,Palmer,06000US2501352144,178,2014-18,60333,8477,75852,5553,33814,5655
3522,228,Paxton,06000US2502752420,360,2014-18,99875,24973,120625,21085,26397,22021
3523,229,Peabody,06000US2500952490,128,2014-18,68387,2785,88573,6697,41588,5990
3524,230,Pelham,06000US2501552560,199,2014-18,93958,9100,100568,9849,67578,14535
3525,231,Pembroke,06000US2502352630,310,2014-18,103920,6141,109890,8752,50417,25082
3526,232,Pepperell,06000US2501752805,241,2014-18,96750,6576,112946,11578,51985,23860
3527,233,Peru,06000US2500353050,63,2014-18,70673,7139,73036,8158,38750,31381
3528,234,Petersham,06000US2502753120,361,2014-18,68405,4443,69267,8673,50000,44296
3529,235,Phillipston,06000US2502753225,362,2014-18,81250,14838,79375,11739,85833,64634
3530,236,Pittsfield,06000US2500353960,64,2014-18,48555,2096,68600,2092,26468,2476
3531,237,Plainfield,06000US2501554030,200,2014-18,52750,8769,55156,6973,0,0
3532,238,Plainville,06000US2502154100,281,2014-18,98280,5196,104821,9688,75000,18004
3533,239,Plymouth,06000US2502354310,311,2014-18,87595,2758,98466,5171,44969,10722
3534,240,Plympton,06000US2502354415,312,2014-18,98359,16571,111417,12558,31000,26961
3535,241,Princeton,06000US2502755395,363,2014-18,134191,12083,137500,11352,65000,38938
3536,242,Provincetown,06000US2500155500,38,2014-18,50741,7720,57109,9886,32930,8570
3537,243,Quincy,06000US2502155745,282,2014-18,74180,2927,95676,3958,56925,2921
3538,244,Randolph,06000US2502155955,283,2014-18,73697,4442,90763,7435,41279,6530
3539,245,Raynham,06000US2500556060,89,2014-18,99554,15528,109521,7801,49519,27814
3540,246,Reading,06000US2501756130,242,2014-18,112634,10940,135084,4617,38571,6222
3541,247,Rehoboth,06000US2500556375,90,2014-18,104052,10562,115256,14542,66488,20601
3542,248,Revere,06000US2502556585,322,2014-18,55020,3422,78005,6803,39351,4135
3543,249,Richmond,06000US2500356795,65,2014-18,90714,22580,104135,19442,47250,7868
3544,250,Rochester,06000US2502357600,313,2014-18,103396,4677,104725,6242,66905,25423
3545,251,Rockland,06000US2502357775,314,2014-18,79807,6850,99115,9997,46881,11101
3546,252,Rockport,06000US2500957880,129,2014-18,81681,9109,94667,4124,47969,18889
3547,253,Rowe,06000US2501158335,157,2014-18,54750,10685,53750,8979,64167,34140
3548,254,Rowley,06000US2500958405,130,2014-18,114063,21353,131325,18912,42313,21052
3549,255,Royalston,06000US2502758580,364,2014-18,73750,13820,81417,11644,43939,1126
3550,256,Russell,06000US2501358650,179,2014-18,74079,7279,75556,12472,72885,23499
3551,257,Rutland,06000US2502758825,365,2014-18,104050,8992,110102,8138,46679,17645
3552,258,Salem,06000US2500959105,131,2014-18,65565,3686,95414,4761,37776,5810
3553,259,Salisbury,06000US2500959245,132,2014-18,78112,4524,83795,9279,51632,23011
3554,260,Sandisfield,06000US2500359665,66,2014-18,69135,15880,69423,16756,0,0
3555,261,Sandwich,06000US2500159735,39,2014-18,95600,7979,98890,4813,68524,10475
