muni_id,muni_upper,municipal,mapc,mf164,county_id,county,comm_type,comm_name,subtype_id,subtype,rpa_id,rpa_name,mpo_id,mpo_name,region_id,region,subreg_id,subregion,cousub_id,cousubname
1,ABINGTON,Abington,0,1,23,Plymouth County,4,Developing Suburbs,6,Maturing New England Town,11,Old Colony Planning Council,11,Old Colony,404,Southeastern Massachusetts,,"",170,Abington town
2,ACTON,Acton,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356,MAGIC Subregion,380,Acton town
3,ACUSHNET,Acushnet,0,0,5,Bristol County,4,Developing Suburbs,6,Maturing New England Town,13,Southeastern Regional Planning & Economic Development District,13,Southeastern Massachusetts,404,Southeastern Massachusetts,,"",520,Acushnet town
4,ADAMS,Adams,0,0,3,Berkshire County,4,Developing Suburbs,6,Maturing New England Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",555,Adams town
5,AGAWAM,Agawam,0,0,13,Hampden County,4,Developing Suburbs,6,Maturing New England Town,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",840,Agawam Town city
6,ALFORD,Alford,0,0,3,Berkshire County,5,Rural Towns,8,Rural Town,1,Berkshire County Regional Planning Commission,1,Berkshire,405,Western Massachusetts,,"",975,Alford town
7,AMESBURY,Amesbury,0,1,9,Essex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",1260,Amesbury Town city
8,AMHERST,Amherst,0,0,15,Hampshire County,2,Regional Urban Centers,2,Sub-Regional Urban Center,12,Pioneer Valley Planning Commission,12,Pioneer Valley,405,Western Massachusetts,,"",1325,Amherst town
9,ANDOVER,Andover,0,1,9,Essex County,4,Developing Suburbs,6,Maturing New England Town,6,Merrimac Valley Planning Commission,6,Merrimac Valley,403,Northeastern Massachusetts,,"",1465,Andover town
10,ARLINGTON,Arlington,1,1,17,Middlesex County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355,Inner Core (ICC) Subregion,1605,Arlington town
