,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAMELSAD
193,0302332123102031,240473,108651,9,5,3,"POLYGON ((-71.1749267578125 42.252917783302, -71.16943359375 42.252917783302, -71.16943359375 42.2488517007209, -71.1749267578125 42.2488517007209, -71.1749267578125 42.252917783302))",25,021,00606937,25021,Norfolk County
2427,0302332132021000,160717,107745,9,85,12,"POLYGON ((-70.9716796875 42.2285173562085, -70.9661865234375 42.2285173562085, -70.9661865234375 42.2244497010097, -70.9716796875 42.2244497010097, -70.9716796875 42.2285173562085))",25,021,00606937,25021,Norfolk County
2835,0302332132201031,217182,14953,12,11,5,"POLYGON ((-70.9552001953125 42.1552594657786, -70.94970703125 42.1552594657786, -70.94970703125 42.151187093512, -70.9552001953125 42.151187093512, -70.9552001953125 42.1552594657786))",25,021,00606937,25021,Norfolk County
3072,0302332121321131,141598,56138,11,55,27,"POLYGON ((-71.1090087890625 42.3504251224346, -71.103515625 42.3504251224346, -71.103515625 42.3463653316019, -71.1090087890625 42.3463653316019, -71.1090087890625 42.3504251224346))",25,021,00606937,25021,Norfolk County
4827,0302332132020021,176495,42679,11,8,6,"POLYGON ((-71.0101318359375 42.2203817837206, -71.004638671875 42.2203817837206, -71.004638671875 42.2163136043448, -71.0101318359375 42.2163136043448, -71.0101318359375 42.2203817837206))",25,021,00606937,25021,Norfolk County
10124,0302332122312321,181159,103728,13,14,2,"POLYGON ((-71.4276123046875 42.1063737057932, -71.422119140625 42.1063737057932, -71.422119140625 42.1022981894812, -71.4276123046875 42.1022981894812, -71.4276123046875 42.1063737057932))",25,021,00606937,25021,Norfolk County
13167,0302332121321120,117940,14138,13,87,34,"POLYGON ((-71.12548828125 42.3504251224346, -71.1199951171875 42.3504251224346, -71.1199951171875 42.3463653316019, -71.12548828125 42.3463653316019, -71.12548828125 42.3504251224346))",25,021,00606937,25021,Norfolk County
16787,0302332132021033,227162,22059,12,27,5,"POLYGON ((-70.9552001953125 42.2163136043448, -70.94970703125 42.2163136043448, -70.94970703125 42.2122451628858, -70.9552001953125 42.2122451628858, -70.9552001953125 42.2163136043448))",25,021,00606937,25021,Norfolk County
16895,0302332123112301,228431,24915,12,8,5,"POLYGON ((-71.0760498046875 42.244785356028, -71.070556640625 42.244785356028, -71.070556640625 42.2407187492267, -71.0760498046875 42.2407187492267, -71.0760498046875 42.244785356028))",25,021,00606937,25021,Norfolk County
17136,0302332123011031,137895,121317,14,83,12,"POLYGON ((-71.2188720703125 42.2854370074915, -71.21337890625 42.2854370074915, -71.21337890625 42.2813730219345, -71.2188720703125 42.2813730219345, -71.2188720703125 42.2854370074915))",25,021,00606937,25021,Norfolk County
17547,0302332123111303,106845,19254,13,131,27,"POLYGON ((-71.0321044921875 42.2732442644027, -71.026611328125 42.2732442644027, -71.026611328125 42.2691794924351, -71.0321044921875 42.2691794924351, -71.0321044921875 42.2732442644027))",25,021,00606937,25021,Norfolk County
17944,0302332121222331,263670,142839,13,6,3,"POLYGON ((-71.3287353515625 42.3016903282445, -71.3232421875 42.3016903282445, -71.3232421875 42.2976273912846, -71.3287353515625 42.2976273912846, -71.3287353515625 42.3016903282445))",25,021,00606937,25021,Norfolk County
