,name,address,zip,lat,lon,category
69,3B REAL ESTATE LLC MASS LLC,143  145 ADDISON ST ,2128.0,42.38504342012426,-71.0157466905552,Commercial
70,7-11 CURTIS LLC,  CURTIS ST ,2128.0,42.38283361340762,-71.02079374836084,Food access
71,7-11 CURTIS LLC,7  11 CURTIS ST ,2128.0,42.382971321885215,-71.02091484959763,Food access
72,FRIENDS OF EXCEL ACADEMY CHARTER SCHOOLS INC,58  MOORE ST ,2128.0,42.38282832479899,-71.01886908656634,Education
73,IBEX REALTY & ASSET,1  A1B CURTIS ST ,2128.0,42.382289130173724,-71.02051657431464,Commercial
74,FIRST PRIORITY CREDIT UNION,100  SWIFT ST ,2128.0,42.38166435600904,-71.02204623945958,Commercial
75,DUONG KHANH,655  SARATOGA ST ,2128.0,42.38219685210364,-71.02076156063721,Commercial
76,CASSERLY POKYE,4  HARMONY ST ,2128.0,42.381670604595286,-71.02025107062163,Commercial
77,STAR OF THE SEA MENS CLB INC,525  BENNINGTON ST ,2128.0,42.38177048036942,-71.01985427511443,Social
78,PETER PAN PROPERTIES LLC MASS LLC,6 8 HARMONY ST ,2128.0,42.38154402573609,-71.02016690160406,Commercial
79,BROOKE CHARTER SCHOOL,617  617A BENNINGTON ST ,2128.0,42.383040517935946,-71.0164652876831,Education
80,BROOKE CHARTER SCHOOL,619  BENNINGTON ST ,2128.0,42.3830343298229,-71.01629877368148,Education
81,BROOKE CHARTER SCHOOL,  BENNINGTON ST ,2128.0,42.383171389523504,-71.01626441294236,Education
82,BROOKE CHARTER SCHOOL,94  HORACE ST ,2128.0,42.38278737025408,-71.01630066272337,Education
83,MARIO JOSEPH TS,622  BENNINGTON ST ,2128.0,42.383523569943826,-71.01648750369174,Commercial
84,MARIO JOSEPH TS,616  618 BENNINGTON ST ,2128.0,42.38346390190535,-71.01665452238004,Commercial
85,GIORGIONE GRACE A,785  SARATOGA ST ,2128.0,42.383882084179966,-71.0162589762193,Food access
86,VANEGAS ELKIN,636  638 BENNINGTON ST ,2128.0,42.38386545198705,-71.01556693951905,Commercial
87,SALESIAN SOCIETY INC,150  BYRON ST ,2128.0,42.383057922582765,-71.01538435626466,Social
88,POSEIDON TRIDENT LLC,16  TRIDENT ST ,2128.0,42.385876338741895,-71.01090241240003,Commercial
89,752 BENNINGTON STREET,752  BENNINGTON ST ,2128.0,42.38560700260962,-71.01080455478915,Food access
90,WOOD JOHN G,1035  SARATOGA ST ,2128.0,42.38596788241197,-71.00535680275519,Commercial
91,SAID FAMILY REALTY TRUST,1041  1045 SARATOGA ST ,2128.0,42.38592556058059,-71.00508692179189,Commercial
92,LOMBARDO SALVATORE A TRST,  SARATOGA ST ,2128.0,42.38448529560136,-70.99883533892528,Commercial
93,LOMBARDO VINCENT J TS,1150  SARATOGA ST ,2128.0,42.38467979204648,-70.99938901691786,Commercial
94,BOULA RE HOLDINGS LLC,1144  SARATOGA ST ,2128.0,42.38457087685219,-71.00021530403625,Food access
95,TINTERTONTAM RLTY CORP,1140  SARATOGA ST ,2128.0,42.38465698542136,-71.00045521846049,Commercial
96,AUGUST JOHN J JR TS,2  SHAWSHEEN RD ,2128.0,42.3850940785523,-71.00000388544798,Commercial
97,RODRIGUEZ CARLOS I,1091  BENNINGTON ST ,2128.0,42.38756625956891,-71.0031159170753,Commercial
98,GRAJALES HUMBERTO,1233  BENNINGTON ST ,2128.0,42.38985927422624,-70.99656427971458,Food access
99,ELEVEN 81 BENNINGTON ST RLTY LLC,1181  BENNINGTON ST ,2128.0,42.38835202856121,-70.99890833792317,Commercial
100,RICUPERO JOSEPH M,  BENNINGTON ST ,2128.0,42.39008782520113,-70.99737314985849,Commercial
101,1012-1016 BENNINGTON STREET  LLC,1012  1016 BENNINGTON ST ,2128.0,42.38710254007683,-71.00631034347387,Commercial
102,MURRAY MICHAEL F,11  BREED ST ,2128.0,42.38747082238237,-71.0064444281404,Commercial
103,AIMI ESTATE LLC MASS LLC,15  BREED ST ,2128.0,42.38751712087637,-71.00636263094566,Commercial
104,AIMI ESTATE LLC MASS LLC,15 A BREED ST ,2128.0,42.387599361184705,-71.00634348073947,Commercial
105,LUCKY CORNER REALTY TRUST,1000  BENNINGTON ST ,2128.0,42.386844305400246,-71.00688240425214,Food access
106,MARQUARDO DONNA,980  A982 SARATOGA ST ,2128.0,42.38701300514166,-71.00718832124804,Food access
107,IRMAS LLC,978  C 976 SARATOGA ST ,2128.0,42.3870331007175,-71.00739545417048,Commercial
108,MARQUARDO DONNA,  FORD ST ,2128.0,42.38713592976659,-71.00705780701969,Commercial
109,TODESCA MICHAEL J,14  16 BREED ST ,2128.0,42.38719525066081,-71.0068130383952,Commercial
110,EAST BOSTON SAVING BANK,850  868 BENNINGTON ST ,2128.0,42.3859531118786,-71.01024294534479,Commercial
111,LOMBARDO VINCENT J TS,935  935R SARATOGA ST ,2128.0,42.38621599932149,-71.00947098667221,Food access
112,SALVAGGIO ANTHONY M,945  SARATOGA ST ,2128.0,42.38656046365571,-71.00916848720591,Food access
113,RUGGIERO JOSEPH L III,973  SARATOGA ST ,2128.0,42.386664372734074,-71.00779809708929,Commercial
114,CAPALDO FRANK A TS,975  977 SARATOGA ST ,2128.0,42.386625069942646,-71.00759111482628,Commercial
115,LAMPREA JAIRO,980  978 BENNINGTON ST ,2128.0,42.38654628609961,-71.00777680686478,Commercial
116,ONE 40 VICTORY RD LLC MASS LLC,974 R BENNINGTON ST ,2128.0,42.38649798659305,-71.00803259100692,Commercial
117,FOUR40 MCCLELLAN LLC,440  WM F MCCLELLAN HW,2128.0,42.39317244896668,-71.01274877708062,Commercial
118,AUTO CITY INC,  WM F MCCLELLAN HW,2128.0,42.392015609928436,-71.01367205886976,Commercial
119,GROSSMAN LOUIS J TRSTS,  WM F MCCLELLAN HW,2128.0,42.39134914908941,-71.01375492399896,Commercial
120,AUTO CITY INC,  WM F MCCLELLAN HW,2128.0,42.39184483403494,-71.01416942424382,Commercial
121,GROSSMAN BERNARD D TRSTS,  WM F MCCLELLAN HW,2128.0,42.391182304091345,-71.01453359355423,Commercial
122,PARK SHUTTLE & FLY INC,  WM F MCCLELLAN HW,2128.0,42.3904816847308,-71.01497578523511,Commercial
123,GROSSMAN MORTON TS,310  WM F MCCLELLAN HW,2128.0,42.38994568740519,-71.01541300367111,Commercial
124,GROSSMAN LOUIS J TRSTS,290  WM F MCCLELLAN HW,2128.0,42.3894425539409,-71.01583515608752,Commercial
125,GROSSMAN BERNARD D TRSTS,240  WM F MCCLELLAN HW,2128.0,42.38877317111766,-71.01652879767565,Commercial
126,HVV EAST BOSTON LLC,220  WM F MCCLELLAN HW,2128.0,42.3882605797992,-71.0173137691104,Commercial
127,DESIMONE STEPHEN T TRSTS,200  WM F MCCLELLAN HW,2128.0,42.387731162508466,-71.018013718358,Commercial
128,SARATOGA STREET PROPERTIES  LLC,251  LEYDEN ST ,2128.0,42.38845070638775,-71.00140989414234,Commercial
129,BOARDMAN STREET RLTY TR,2  FORD ST ,2128.0,42.38734037604769,-71.00802233519104,Commercial
130,BOARDMAN STREET RLTY TR,7  BOARDMAN ST ,2128.0,42.38747262566489,-71.00814716143475,Commercial
131,SCHETTINO JOSEPH ANTHONY,  BOARDMAN ST ,2128.0,42.3887586702485,-71.0098584477908,Commercial
132,OLIVER ANN LLC MASS LLC,  BOARDMAN ST ,2128.0,42.388816719741136,-71.0099579437774,Commercial
133,OLIVER ANN LLC MASS LLC,61  BOARDMAN ST ,2128.0,42.38890239818185,-71.01010164635144,Commercial
134,51 BREED STREET LLC,51  BREED ST ,2128.0,42.38928115696601,-71.00626742079208,Social
135,CITY OF BOSTON,81  BEACHVIEW RD ,2128.0,42.39172016542247,-71.00487868138231,Education
136,TWO NINETY FIVE WALDEMAR LLC,  WALDEMAR AV,2128.0,42.39366887647342,-71.01074958061578,Commercial
137,CITY OF BOSTON,  LEXINGTON ST ,2128.0,42.37794233877107,-71.03791121088766,Education
138,SHER MARTIN E,106  104 TRENTON ST ,2128.0,42.37937909822056,-71.03558379644195,Commercial
139,LITTLE FOLKS COMMUNITY DAY,65  67 TRENTON ST ,2128.0,42.378506001289594,-71.03682637322603,Education
140,RICUPERO JOSEPH,73  71 TRENTON ST ,2128.0,42.378601057646065,-71.03658140453894,Commercial
141,GARCIA JOEL,131  LEXINGTON ST ,2128.0,42.37852330691868,-71.03499420498419,Food access
142,211 CONDOR STREET LLC,211  207 CONDOR ST ,2128.0,42.382391461098045,-71.03271535749225,Commercial
143,215 CONDOR STREET REALTY  TRUST,215  CONDOR ST ,2128.0,42.382389957218905,-71.03234523650175,Commercial
144,225 CONDOR STREET,225 R CONDOR ST ,2128.0,42.38238882852816,-71.03206764577044,Commercial
145,233 CONDOR STREET,233  CONDOR ST ,2128.0,42.382388271460684,-71.03193070101331,Commercial
146,CONDOR STREET LLC,245  CONDOR ST ,2128.0,42.38238567970956,-71.03129409298482,Commercial
147,CONDOR STREET LLC,255  CONDOR ST ,2128.0,42.38239243343339,-71.03093131341748,Commercial
148,CONDOR STREET LLC,28  GLENDON ST ,2128.0,42.38240183939781,-71.0305463061421,Commercial
149,CITY OF BOSTON,  BROOKS ST ,2128.0,42.38112721378499,-71.03493804509749,Education
150,MORANI ROBERT J,70  72 FALCON ST ,2128.0,42.38212466727714,-71.03663330965365,Commercial
151,PMT REALTY LLC,  CONDOR ST ,2128.0,42.3824061808501,-71.03635364776333,Commercial
152,DHN 425 BORDER STREET LLC,425  BORDER ST ,2128.0,42.38179291264566,-71.04012235078106,Commercial
153,ANDREOTTOLA ANTONIO,335  331 BORDER ST ,2128.0,42.37899278847734,-71.03983181917663,Food access
154,PRINTING PRESS LOFTS LLC,4  LEXINGTON ST ,2128.0,42.377233172218716,-71.03966697399252,Commercial
155,TWO SEVENTY SEVEN BORDER LLC,  BORDER ST ,2128.0,42.3772990430981,-71.03967019553949,Commercial
156,TWO SEVENTY SEVEN BORDER LLC,279  277 BORDER ST ,2128.0,42.37739511281679,-71.03967689830544,Commercial
157,ROZANTES GEORGE,315  317 BORDER ST ,2128.0,42.37824625705663,-71.03979653947447,Commercial
158,ROZANTES GEORGE,321  319 BORDER ST ,2128.0,42.378419173614894,-71.03980638440652,Commercial
159,ROZANTES GEORGE,323  BORDER ST ,2128.0,42.378534451316106,-71.03981294772444,Commercial
160,LAROSA FRANCESCO,  EUTAW ST ,2128.0,42.378124899036465,-71.03964197767506,Commercial
161,TWO 66 BORDER LLC MASS LLC,266  268 BORDER ST ,2128.0,42.37706536760674,-71.04024925364008,Commercial
162,WIGGLESWORTH MACHINERY CO,276  BORDER ST ,2128.0,42.3771742463879,-71.04071478986683,Commercial
163,TWO 82 BORDER ST LLC MASS LLC,282  BORDER ST ,2128.0,42.37735087703544,-71.04028048726147,Commercial
164,FADILI ADEL A,  BORDER ST ,2128.0,42.37710011434671,-71.04208100069472,Commercial
165,CITY OF BOSTON,310  298 BORDER ST ,2128.0,42.3780232074504,-71.0416634986336,Education
166,FOUR HUNDRED BORDER ST LP,334  336 BORDER ST ,2128.0,42.378978090828106,-71.04164917575544,Commercial
167,FOUR HUNDRED BORDER ST LP,362  364A BORDER ST ,2128.0,42.379628315183595,-71.04093013960852,Commercial
168,FOUR HUNDRED BORDER ST. LP,366  BORDER ST ,2128.0,42.379738306867516,-71.0403001432761,Commercial
169,FOUR HUNDRED BORDER ST. LP,  BORDER ST ,2128.0,42.37980968048293,-71.04030702677731,Commercial
170,FOUR HUNDRED BORDER ST LP,  BORDER ST ,2128.0,42.37991398211334,-71.04031367093769,Commercial
171,FOUR HUNDRED BORDER ST LP,400  BORDER ST ,2128.0,42.38022358626984,-71.04088140400808,Commercial
