,name,municipal,zipcode,address,latitude,longitude,buisness_type
1617,Visham & Son,Boston,2111,449 Washington St,42.355329,-71.060983,Food access
1623,Wag-A-Bag,Boston,2215,70 Brookline Ave,42.347237,-71.098414,Food access
1639,West Seventh Mini Market,Boston,2127,51 W 7th St,42.337052,-71.055401,Food access
1677,Your Convenient,Boston,2111,62 Essex St # 74,42.35179,-71.061176,Food access
1683,7-Eleven,Boston,2108,10 Milk St,42.356883,-71.057975,Food access
1684,7-Eleven,Boston,2215,117 Jersey St # 121,42.342757,-71.09701,Food access
1685,7-Eleven,Boston,2210,200 Seaport Blvd # 3,42.351773,-71.040336,Food access
1686,7-Eleven,Boston,2116,252 W Newton St # 1,42.344733,-71.081216,Food access
1687,7-Eleven,Boston,2116,261 Dartmouth St,42.350294,-71.077631,Food access
1688,7-Eleven,Boston,2108,3 Center Plz # 101a,42.359073,-71.060123,Food access
1689,7-Eleven,Boston,2215,532 Commonwealth Ave,42.348523,-71.096348,Food access
1690,7-Eleven,Boston,2116,55 Berkeley St,42.346475,-71.070267,Food access
1691,7-Eleven,Boston,2110,70 E India Row,42.358582,-71.050516,Food access
1727,Campus Convenience,Boston,2118,700 Albany St,42.335484,-71.070214,Food access
1740,City Convenience,Boston,2116,130 Dartmouth St,42.346393,-71.075844,Food access
1751,Cumberland Farms,Boston,2118,801 Massachusetts Ave,42.333104,-71.073002,Food access
1821,First Tennessee Capital Mrkts,Boston,2110,99 Summer St,42.353558,-71.05893,Food access
1826,Golden Goose,Boston,2109,179 Commercial St,42.362813,-71.051821,Food access
1852,Neptune Convenience & Liquor,Boston,2128,3 Neptune Rd,42.37845,-71.022851,Food access
1871,Roxbury Mobil,Boston,2118,85 Southampton St,42.331916,-71.070384,Food access
1882,Speedway,Boston,2127,151 Old Colony Ave,42.334534,-71.05545,Food access
1883,Speedway,Boston,2125,874 Dorchester Ave,42.321182,-71.056553,Food access
1924,Sulgrave Inc,Boston,2109,60 State St,42.359266,-71.056434,Food access
1926,Symphony Market II,Boston,2115,291 Huntington Ave,42.341663,-71.086449,Food access
1928,Tedeschi Food Shops,Boston,2114,122 Cambridge St,42.361099,-71.063715,Food access
1929,Tedeschi Food Shops,Boston,2115,141 Massachusetts Ave,42.346805,-71.087722,Food access
1930,Tedeschi Food Shops,Boston,2114,50 Staniford St,42.36204,-71.063972,Food access
1931,Tedeschi Food Shops,Boston,2127,566 Dorchester Ave,42.330301,-71.056746,Food access
1982,660 Corp,Boston,2215,775 Commonwealth Ave,42.35051,-71.109657,Food access
1990,7-Eleven,Boston,2109,103 State St,42.358962,-71.055102,Food access
1991,7-Eleven,Boston,2128,120 Byron St,42.383945,-71.016262,Food access
1992,7-Eleven,Boston,2108,125 Tremont St,42.356403,-71.061733,Food access
1993,7-Eleven,Boston,2118,1306 Washington St,42.340851,-71.070838,Food access
1994,7-Eleven,Boston,2118,1747 Washington St,42.336782,-71.077008,Food access
1995,7-Eleven,Boston,2114,250 Cambridge St # 3,42.360888,-71.067475,Food access
1996,7-Eleven,Boston,2113,342 Hanover St,42.364947,-71.053561,Food access
