,name,municipal,zipcode,address,latitude,longitude,buisness_type
5346,Brothers Mini Market,Boston,2118,802 Tremont St,42.338492,-71.081337,Food access
5358,C Mart 2 Supermarket,Boston,2111,109 Lincoln St,42.351628,-71.058504,Food access
5359,C Mart Supermarket,Boston,2111,109 Lincoln St,42.351628,-71.058504,Food access
5362,Calderon Market,Boston,2128,140 Princeton St,42.378219,-71.03447,Food access
5372,Canal Street Market,Boston,2114,80 Canal St,42.363845,-71.0597,Food access
5381,Carmella's Market,Boston,2128,86 Cottage St,42.367892,-71.035296,Food access
5383,Casa Cuong,Boston,2118,629 Tremont St # A,42.342417,-71.074616,Food access
5402,Chanh Hung Seafood Market,Boston,2111,659 Washington St,42.351834,-71.063212,Food access
5408,Cherry Mart,Boston,2115,349 Newbury St # B,42.348554,-71.087255,Food access
5414,Christy's Markets Inc,Boston,2116,107 Stuart St,42.350812,-71.074581,Food access
5415,Chung Wah Hong Co,Boston,2111,55 Beach St,42.351339,-71.060584,Food access
5437,Commonwealth Market Inc,Boston,2215,1090 Commonwealth Ave,42.35196,-71.12401,Food access
5522,Delicious Market,Boston,2128,6 Brooks St,42.37541,-71.0317,Food access
5523,Delis Food Market,Boston,2128,353 Meridian St,42.378673,-71.039132,Food access
5525,Deluca's Market,Boston,2108,17 Branch St,42.356755,-71.069216,Food access
5538,Diana's Market,Boston,2128,170 Cottage St,42.370173,-71.032836,Food access
5558,"Duey, Chong",Boston,2111,10 Oxford Pl,42.351713,-71.060771,Food access
5562,E V A Plus Food Corp,Boston,2128,321 Meridian St # 3,42.377768,-71.038991,Food access
5576,El Consumo Market,Boston,2128,60 Maverick St,42.371196,-71.040954,Food access
5589,Elite Foods Co,Boston,2128,54 W Eagle St,42.381522,-71.037512,Food access
5594,Elvalle De LA Sultana-Market,Boston,2128,121 Bennington St,42.376411,-71.034695,Food access
5609,Estrellita Food Market,Boston,2128,290 Meridian St # 1,42.37681,-71.039423,Food access
5689,Foods Research,Boston,2127,716 E 3rd St,42.33671,-71.03101,Food access
5704,Fresh Foods,Boston,2109,88 Blackstone St # B,42.361435,-71.056393,Food access
5708,Friendly Grocery,Boston,2128,42 Maverick St,42.371321,-71.04155,Food access
5717,G & V Symphony Market,Boston,2215,1130 Boylston St,42.346884,-71.089021,Food access
5719,Garden Halal Meat,Boston,2109,96 Blackstone St,42.361499,-71.056197,Food access
5728,George Greer Foods,Boston,2127,371 Dorchester Ave # 140,42.335096,-71.059149,Food access
5738,Going Bananas,Boston,2113,64 Salem St # 1,42.363392,-71.056117,Food access
5756,Goon Shee Assoc Inc,Boston,2111,10 Oxford Pl,42.351713,-71.060771,Food access
5777,H-E-B Foods Co,Boston,2210,415 Summer St,42.347115,-71.044563,Food access
5788,Hannaford Bros Co,Boston,2116,20 Park Plz # 833,42.351412,-71.069093,Food access
5798,Hay Market Intl Food Co,Boston,2109,88 Blackstone St,42.361435,-71.056393,Food access
5814,Hollywood Market,Boston,2110, ,42.356372,-71.054279,Food access
5826,Huntington Markets,Boston,2115,818 Huntington Ave,42.33321,-71.108433,Food access
5880,Jim's Variety,Boston,2127,256 W 5th St,42.335512,-71.049247,Food access
5914,K & 8th Street Market,Boston,2127,362 K St,42.33135,-71.037068,Food access
5921,Karen Market,Boston,2128,41 Bennington St,42.375359,-71.037315,Food access
5931,Kim's Market,Boston,2127,305 W Broadway,42.338619,-71.050637,Food access
5957,LA Esquina Supermarket,Boston,2128,184 Bremen St,42.373091,-71.034307,Food access
5982,Lambert's Marketplace,Boston,2118,682 Tremont St,42.340992,-71.076671,Food access
6004,Lil Caffe Italy LLC,Boston,2113,178 Salem St,42.366517,-71.054783,Food access
6034,Lowe's Pay N Save,Boston,2222,10 Causeway St,42.365165,-71.063096,Food access
6039,Luchos Market,Boston,2128,42 Maverick St,42.371321,-71.04155,Food access
6044,Lun Fat Produce,Boston,2111,227 Harrison Ave,42.347682,-71.062945,Food access
6075,Mario's Meat Market,Boston,2128,14 Nancia St,42.38259,-70.999033,Food access
6077,Mark A Albertson,Boston,2199,790 Boylston St,42.348195,-71.081708,Food access
6092,Market Place Inc,Boston,2199,800 Boylston St,42.348804,-71.081983,Food access
6093,Market Platform Office LLC,Boston,2109,111 Devonshire St # 9,42.356991,-71.057355,Food access
6097,Market Street Group,Boston,2108,1 Boston Pl,42.358517,-71.058374,Food access
6113,Meat & Fish Market,Boston,2109,88 Blackstone St,42.361435,-71.056393,Food access
6139,Mi-Tierra Market,Boston,2128,71 Meridian St,42.371962,-71.038795,Food access
6171,Mondonguito Grocery Store,Boston,2119,219 Dudley St,42.328457,-71.080652,Food access
6193,N C Market Corp,Boston,2127,305 W Broadway,42.338619,-71.050637,Food access
