,NAME,ZIPCODE,coords,buisness_type
63,Brooke Charter School East Boston,02128,"[[239852.07090000063, 903709.9230000004]]",education
120,UP Academy Charter School of Springfield,02114,"[[236250.8972999975, 901597.5795000009]]",education
1974,Academy of the Pacific Rim Charter Public School,02136,"[[230340.9043999985, 888278.4079999998]]",education
1979,Boston Latin School,02115,"[[232823.8872999996, 898677.2734999992]]",education
2081,Helen Y Davis Leadership Academy Charter Public School,02122,"[[236388.59210000187, 894632.0965999998]]",education
2085,Neighborhood House Charter School,02122,"[[236826.62650000304, 893750.6147000007]]",education
2086,Roxbury Preparatory Charter School,02120,"[[232545.74109999835, 897535.122200001]]",education
2088,Boston Day and Evening Academy Charter School,02119,"[[234476.3069999963, 897477.7714999989]]",education
2090,South Boston Catholic Academy,02127,"[[238765.14720000327, 898499.1416999996]]",education
2091,Urban Science Academy,02132,"[[226696.5075000003, 892413.069600001]]",education
2092,Beethoven School,02132,"[[228370.96119999886, 890387.1502999999]]",education
2093,James W Hennigan School,02130,"[[232403.81880000234, 897377.942400001]]",education
2094,Our Lady of Perpetual Help Mission Grammar School,02120,"[[232925.82840000093, 898230.0691]]",education
2095,Hollow Reed School,02130,"[[231986.7845999971, 895377.7584000006]]",education
2096,Pope John Paul II Academy (Lower MIlls),02124,"[[235752.95199999958, 891657.0595000014]]",education
2097,Joyce Kilmer School,02132,"[[227833.90900000185, 891324.0117000006]]",education
2098,Dr. William Henderson Upper School,02122,"[[235502.61230000108, 892399.2311999984]]",education
2099,ELC - West Zone School,02130,"[[232403.81880000234, 897377.942400001]]",education
2100,East Boston High School,02128,"[[238300.0732000023, 903487.8825000003]]",education
2101,The Learning Project,02115,"[[234843.8118999973, 900424.3649000004]]",education
2102,Boston Arts Academy,02215,"[[233365.01129999757, 899609.9074999988]]",education
2103,John P Holland School,02121,"[[235135.32599999756, 895102.8132999986]]",education
2104,Charles H Taylor School,02126,"[[234856.13120000064, 892018.2325000018]]",education
2105,Haynes Early Education Center,02119,"[[234715.86869999766, 896158.3366999999]]",education
2106,Patrick J Kennedy School,02128,"[[238667.27799999714, 903221.9517999999]]",education
2107,Curtis Guild School,02128,"[[240827.75400000066, 904344.7553999983]]",education
2108,German International School Boston,02134,"[[229979.28689999878, 901152.0905000009]]",education
2109,Dearborn Middle School,02119,"[[234493.02049999684, 895237.5181999989]]",education
