,NAME,ZIPCODE,coords,buisness_type
2110,Edison K-8 School,02135,"[[227999.6401000023, 899510.5859999992]]",education
2111,Epiphany School,02124,"[[235807.9574000016, 893718.3621999994]]",education
2112,TechBoston Academy,02124,"[[234966.51600000262, 892861.4743999988]]",education
2117,Another Course To College,02136,"[[231531.64029999822, 890600.5357999988]]",education
2118,Higginson/Lewis K-8 School,02119,"[[234100.52870000154, 896800.5533000007]]",education
2120,Commonwealth School,02116,"[[234755.8056000024, 900293.8541000001]]",education
2121,West Roxbury Academy,02132,"[[226696.5075000003, 892413.069600001]]",education
2122,James Otis School,02128,"[[238388.40929999948, 902857.5703000017]]",education
2123,Fenway High School,02215,"[[233034.2458000034, 897870.4968000017]]",education
2124,Higginson School,02119,"[[233625.03980000317, 896437.8427000009]]",education
2125,Mesivta High School,02135,"[[228706.7173999995, 900153.1323000006]]",education
2130,Edward Brooke Charter School,02131,"[[231178.5851000026, 892449.2642999999]]",education
2131,John D O'Bryant School of Mathematics and Science,02120,"[[233961.51860000193, 897917.9475000016]]",education
2133,John Winthrop School,02125,"[[234982.63679999858, 896499.9024999999]]",education
2134,William H Ohrenberger School,02132,"[[228910.11410000175, 890091.6605999991]]",education
2137,Gardner Pilot Academy,02134,"[[230141.33879999816, 901205.6026999988]]",education
2138,Michael J Perkins School,02127,"[[237042.872299999, 897967.3506999984]]",education
2139,Young Achievers School,02126,"[[233404.3628000021, 892505.9109999985]]",education
2140,Joseph P Manning School,02130,"[[230383.64599999785, 895077.4078000002]]",education
2141,William Monroe Trotter School,02121,"[[233977.08349999785, 896221.4338999987]]",education
2142,James P Timilty Middle School,02119,"[[233711.2898999974, 897848.3924000002]]",education
2143,Maurice J Tobin School,02120,"[[233106.62420000136, 898136.5423000008]]",education
2144,Advent School,02108,"[[235255.93310000002, 900947.2637000009]]",education
2145,MATCH Charter Public High School,02215,"[[231228.43670000136, 900259.8158]]",education
2146,John D Philbrick School,02131,"[[231527.37569999695, 892840.9188000001]]",education
2147,Richard J Murphy School,02122,"[[237174.7725000009, 893846.4276]]",education
2148,Charles Sumner School,02131,"[[230776.33420000225, 892954.2232000008]]",education
2149,Dr. Catherine Ellison-Rosa Parks Early Ed. School,02126,"[[233666.6142999977, 891337.9761000015]]",education
2150,Pope John Paul II Academy (Mattapan),02126,"[[233634.09870000184, 891236.7390000001]]",education
2151,St. John Elementary School,02113,"[[236848.3456000015, 901585.2490999997]]",education
2152,Eliot Elementary School,02113,"[[236789.40179999918, 901830.4239999987]]",education
2153,Washington Irving Middle School,02131,"[[230935.23680000007, 892641.6865999997]]",education
2154,Henry Grew School,02136,"[[230751.15460000187, 889656.2716000006]]",education
2155,Franklin D Roosevelt School,02136,"[[231016.58139999956, 888151.9024999999]]",education
2156,New Beginnings Academy,02136,"[[231215.4430000037, 889717.1865000017]]",education
2157,Boston Latin Academy,02121,"[[234252.2324000001, 896269.2661999986]]",education
2158,Lyon K-8 School,02135,"[[227889.27740000188, 900119.9609000012]]",education
2159,Thomas J Kenny School,02122,"[[236850.43890000135, 892993.5931999981]]",education
2160,Madison Park Technical Vocational High School,02120,"[[233717.93680000305, 898017.1541000009]]",education
2161,Carter Developmental Center,02118,"[[234293.46599999815, 898979.8768999986]]",education
2162,The English High School,02130,"[[232188.2546999976, 895132.0870000012]]",education
2163,East Boston Early Childhood Center,02128,"[[238372.91839999706, 902235.1499000005]]",education
2164,Boston Preparatory Charter Public School,02136,"[[232133.23820000142, 890258.0362999998]]",education
2165,John F Kennedy School,02130,"[[232490.26519999653, 896885.8993000016]]",education
2166,Roger Clap School,02125,"[[236417.01359999925, 897059.6332999989]]",education
2167,Curley K-8 School,02130,"[[231905.75129999965, 896519.2577]]",education
2168,Snowden International School at Copley,02116,"[[234771.61879999936, 900095.1035999991]]",education
2169,Jackson/Mann K-8 School,02134,"[[229849.7097999975, 900236.8702999987]]",education
2170,British International School of Boston,02130,"[[230498.5324999988, 895187.7815000005]]",education
2171,David A Ellis School,02119,"[[233560.4199000001, 896285.442499999]]",education
2173,Cathedral High School,02118,"[[235557.36190000176, 899028.0500999987]]",education
2174,Donald McKay School,02128,"[[238364.88589999825, 902187.5658]]",education
2175,Boston Renaissance Charter Public School,02136,"[[230831.01720000058, 888962.0694000013]]",education
2176,Codman Academy Charter Public School,02124,"[[235296.429399997, 893299.1827999987]]",education
2177,Ellis Mendell School,02119,"[[232841.54940000176, 896306.9688999988]]",education
2179,Josiah Quincy School,02111,"[[235848.2942999974, 899811.7109999992]]",education
2180,Horace Mann School for the Deaf,02134,"[[229849.7097999975, 900236.8702999987]]",education
2181,William E Russell School,02125,"[[236306.67689999938, 896748.7380000018]]",education
2184,Sacred Heart Elementary School,02131,"[[231162.249499999, 892051.7595000006]]",education
2186,St. Brendan Elementary School,02124,"[[237023.26150000095, 892472.3839000016]]",education
2187,Neighborhood School,02130,"[[232905.6876000017, 895679.7133999988]]",education
2188,Roxbury Latin School,02132,"[[228218.43129999936, 891793.9726000018]]",education
2190,St. Patrick Elementary School,02119,"[[234929.28019999713, 897236.4202000014]]",education
2191,Cristo Rey Boston High School,02125,"[[236765.55600000173, 895835.4296999983]]",education
2192,Community Academy of Science and Health,02122,"[[236134.7695999965, 894572.4600000009]]",education
2193,Clarence R Edwards Middle School,02129,"[[235640.38120000064, 903265.3751000017]]",education
2194,Baldwin Early Learning Center,02135,"[[229622.88610000163, 899122.9144000001]]",education
2195,The Winsor School,02215,"[[232376.51619999856, 899010.6510999985]]",education
2196,Lyndon School,02132,"[[228177.44960000366, 892559.0119000003]]",education
2197,Warren Prescott K-8 School,02129,"[[235871.6398999989, 903146.4019999988]]",education
2198,Holmes Elementary School,02124,"[[234996.64190000296, 894121.3577999994]]",education
2199,St. Theresa of Avila Elementary School,02132,"[[228220.0095999986, 892002.9897999987]]",education
2200,Joseph Lee School,02124,"[[234593.7351000011, 893590.2597000003]]",education
2201,St. Columbkille Partnership School,02135,"[[228584.9394999966, 900254.9362000003]]",education
2202,Joseph J Hurley School,02118,"[[234796.22410000116, 898794.3238000013]]",education
2203,Brighton High School,02135,"[[229209.26799999923, 899904.2782000005]]",education
2204,Kingsley Montessori School,02116,"[[234414.1841999963, 900064.4664999992]]",education
2205,Orchard Gardens School,02119,"[[234787.85429999977, 897839.9226000011]]",education
2207,St. Joseph Preparatory High School,02135,"[[229451.70859999955, 900241.7536000013]]",education
2208,George H Conley School,02131,"[[230764.67809999734, 891659.0269000009]]",education
2209,Manassah E Bradley School,02128,"[[240753.16369999945, 904686.2100000009]]",education
2210,Boston University Academy,02215,"[[232150.29999999702, 900148.2712000012]]",education
2211,Charlestown High School,02129,"[[236147.14079999924, 903383.2998000011]]",education
2212,Blackstone School,02118,"[[235231.03509999812, 899004.2635999992]]",education
2213,Harvard-Kent School,02129,"[[236439.33659999818, 902996.621199999]]",education
2214,Holy Name Elementary School,02132,"[[228993.28890000284, 893118.5610999987]]",education
2215,Berea SDA Academy,02126,"[[233998.19860000163, 892542.5243999995]]",education
2216,Pope John Paul II Academy (Neponset),02122,"[[237168.92220000178, 893468.1521000005]]",education
2217,William Ellery Channing School,02136,"[[230258.5297999978, 889083.2100000009]]",education
2218,James J Chittick School,02126,"[[232605.48149999976, 890829.5084999986]]",education
2219,Newman School,02116,"[[234432.77619999647, 900272.4945]]",education
2220,East Boston Central Catholic School,02128,"[[237880.05650000274, 902451.558699999]]",education
2221,Shaloh House Day School,02135,"[[228475.69579999894, 899765.7534000017]]",education
2222,Mother Caroline Academy,02021,"[[234275.85209999979, 895313.0088]]",education
2223,Mildred Avenue K-8 School,02126,"[[233721.41960000247, 891812.1495999992]]",education
2224,Mather School,02122,"[[236192.53149999678, 895416.7912000008]]",education
2226,John W McCormack School,02125,"[[237630.9802000001, 896494.2523000017]]",education
2228,Bais Yaakov of Boston School,02135,"[[228451.1683000028, 898904.8049999997]]",education
2230,Park Street School,02108,"[[235284.9808000028, 900740.8066000007]]",education
2231,KIPP Academy Boston Charter School,02126,"[[233617.807599999, 891665.1625000015]]",education
2232,Catholic Memorial School,02132,"[[227520.7981000021, 891981.6561000012]]",education
2233,Meridian Academy,02130,"[[232696.6147999987, 895910.5348999985]]",education
2235,Edward Everett School,02125,"[[236292.34950000048, 896005.0251000002]]",education
2236,Lilla G Frederick Middle School,02121,"[[235005.8118999973, 895484.1455000006]]",education
2239,Boston International High School,02124,"[[234567.13650000095, 892412.0062000006]]",education
2240,UP Academy Charter School of Dorchester,02124,"[[235359.5006000027, 894455.0762999989]]",education
2241,Rafael Hernandez School,02119,"[[233130.65150000155, 896017.2146999985]]",education
2242,Paul A Dever School,02125,"[[237693.86620000005, 896450.1583999991]]",education
2243,Boston Teachers Union School,02130,"[[231671.2172999978, 893866.7980000004]]",education
2244,Jeremiah E Burke High School,02121,"[[234493.02049999684, 895237.5181999989]]",education
2246,City on a Hill Charter Public School II,02119,"[[234391.61299999803, 897958.7956999987]]",education
2247,Mario Umana Academy,02128,"[[237845.69950000197, 903199.7584999986]]",education
2248,Samuel Adams School,02128,"[[238311.95910000056, 901777.9492000006]]",education
2249,Community Academy,02130,"[[232690.51259999722, 895458.747299999]]",education
2250,City on a Hill Charter Public School,02119,"[[233976.4055000022, 897126.8467999995]]",education
2251,Italian Home For Children,02130,"[[230703.06289999932, 894813.3222000003]]",education
2252,St. Peter Academy School,02127,"[[237095.77319999784, 898563.0058000013]]",education
2253,Joseph P Tynan School,02127,"[[238032.37900000066, 898369.942499999]]",education
2256,Hugh Roe O'Donnell School,02128,"[[238047.39190000296, 903167.8394000009]]",education
2258,Brooke Charter School Mattapan,02124,"[[233604.92140000314, 893883.6114999987]]",education
2274,Lee Academy,02124,"[[235239.6900999993, 893007.3797000013]]",education
2275,Nathan Hale School,02119,"[[233704.7022999972, 897306.1532000005]]",education
2278,James Condon Elementary School,02127,"[[236906.21859999746, 898711.6528000012]]",education
2281,Egleston Community High School,02119,"[[233034.0680000037, 896037.9519000016]]",education
2283,Quincy Upper School,02116,"[[235507.79190000147, 899857.7056000009]]",education
2285,Oliver Hazard Perry School,02127,"[[238718.86729999632, 898065.4754999988]]",education
2286,Boston College High School,02125,"[[237353.21190000325, 896331.7113000005]]",education
2287,Dante Alighieri Montessori School,02128,"[[238076.9544999972, 902426.0012000017]]",education
2288,King K-8 School,02121,"[[234939.45799999684, 895732.9255000018]]",education
2290,Crittenton Women's Union,02135,"[[227508.6048000008, 900357.5775000006]]",education
2292,Lyon Upper 9-12 School,02135,"[[227949.7848000005, 900236.8332999982]]",education
2311,Dr. William Henderson Lower School,02122,"[[236101.54630000144, 893813.5080999993]]",education
2312,Excel High School,02127,"[[237507.60170000046, 898141.9849999994]]",education
2313,UP Academy Charter School of Boston,02127,"[[237050.69370000064, 898217.8757999986]]",education
2314,Boston Adult Academy,02116,"[[235584.50150000304, 899889.0207999982]]",education
2315,Malik Academy,02120,"[[233512.96549999714, 897904.6944999993]]",education
2317,Dudley Street Neighborhood Charter School,02119,"[[235206.03700000048, 897092.6193999983]]",education
2320,Mission Hill School,02130,"[[231800.93509999663, 895270.2820999995]]",education
2327,Mattapan Early Elementary School,02126,"[[232658.21190000325, 891780.4862000011]]",education
2352,Phineas Bates School,02131,"[[230080.25349999964, 891985.9613999985]]",education
2355,Bridge Boston Charter School,02021,"[[234187.70130000263, 894618.180399999]]",education
2357,Pope John Paul II Academy (Columbia Road),02125,"[[236445.22399999946, 896773.4915000014]]",education
2386,Excel Academy Charter School,02128,"[[239626.52910000086, 903691.9831000008]]",education
2387,Kennedy Day School,02135,"[[229368.552199997, 900014.0073000006]]",education
2388,Manville School,02120,"[[232132.5973000005, 897905.6578000002]]",education
2389,Nativity Prep School,02130,"[[232817.492399998, 896868.9041999988]]",education
2412,Boston Collegiate Charter School,02125,"[[236201.9905000031, 896888.8486000001]]",education
2413,Samuel W Mason School,02119,"[[235338.5781000033, 897382.6849000007]]",education
2414,Sarah Greenwood School,02121,"[[234616.2915999964, 894139.2644000016]]",education
2415,William McKinley School,02116,"[[235141.7097999975, 899407.1517999992]]",education
2416,Dennis C Haley School,02131,"[[232353.09279999882, 892994.6231999993]]",education
2417,Boston Trinity Academy,02136,"[[230620.55120000243, 889882.0505999997]]",education
2418,Paige Academy,02119,"[[233538.26359999925, 897664.2879999988]]",education
2419,Mozart School,02131,"[[229606.81350000203, 892368.2754000016]]",education
2420,Edward M Kennedy Academy for Health Careers,02115,"[[233877.41369999945, 898921.9668000005]]",education
2429,Kennedy Hope Academy,02135,"[[229368.552199997, 900014.0073000006]]",education
2430,Pauline Agassiz Shaw Elementary School,02124,"[[234077.66849999875, 892487.6228]]",education
2437,Boston Green Academy Horace Mann Charter School,02135,"[[229210.3498999998, 900040.9096999988]]",education
2438,Boston Community Leadership Academy,02136,"[[231528.69849999994, 890336.1649000011]]",education
2439,Margarita Muniz Academy,02130,"[[231800.93509999663, 895270.2820999995]]",education
2440,Winship Elementary School,02135,"[[228397.70799999684, 899735.7831999995]]",education
2442,Little House Alternative,02125,"[[236493.85289999843, 896521.2584999986]]",education
2443,Yeshiva Ohr Yisrael High School for Boys,02467,"[[228315.88539999723, 897915.6726000011]]",education
2444,New Mission High School,02136,"[[231528.69849999994, 890336.1649000011]]",education
2446,Kids Are People School,02215,"[[233260.26190000027, 899857.7463999987]]",education
2447,Parkside Christian Academy/Cross Factor Academy,02124,"[[232552.4584000036, 896962.0901999995]]",education
2452,Boston Collaborative High School,02131,"[[230878.6074000001, 892602.1086000018]]",education
2453,Compass School,02122,"[[235785.42319999635, 895327.1955000013]]",education
2454,Conservatory Lab Charter School,02124,"[[235821.85499999672, 891970.5150000006]]",education
