,zip,po_name,pop2010,pop2013,white,black,ameri_es,asian,hawn_pi,hispanic,other,mult_race,males,females,age_under5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_up,med_age,med_age_m,med_age_f,households,ave_hh_sz,hsehld_1_m,hsehld_1_f,marhh_chd,marhh_no_c,mhh_child,fhh_child,families,ave_fam_sz
72,2467,Chestnut Hill,21982,22057,17100,863,14,3157,6,1182,253,253,10152,11830,904,1119,971,3542,4682,1490,2084,2182,2165,1283,990,570,24.8,24.5,24.9,5900,2.52,601,1271,1664,1791,61,245,4021,3.04
337,2119,Roxbury,25095,25547,4061,14748,233,382,15,7388,4078,4078,11769,13326,1673,1599,1730,2084,2347,3729,3226,3483,2610,1535,786,295,33.2,31.1,35.1,9898,2.43,2037,2125,887,987,255,2214,5707,3.16
339,2121,Dorchester,25566,26160,1942,18056,187,198,10,7031,3836,3836,11229,14337,2103,2104,2091,2452,2240,3378,3161,3346,2440,1300,683,268,30.1,26.6,32.7,9546,2.67,1397,1789,932,805,314,2922,6328,3.28
340,2122,Dorchester,22215,22342,8353,6434,75,3794,13,2726,2406,2406,10826,11389,1544,1467,1445,1628,1748,3691,3444,2890,2145,1177,686,349,33.9,32.9,34.7,7786,2.8,1457,1390,1348,1122,285,1251,4902,3.45
342,2125,Dorchester,34002,35298,11570,10534,155,3643,29,6466,5880,5880,16884,17118,2171,1911,2059,2799,3731,6266,4548,4468,3201,1635,911,301,31.6,31.0,32.1,12187,2.7,2683,2392,1569,1654,383,2116,7078,3.38
369,2113,Boston,6455,6478,6110,45,13,164,3,231,57,57,2937,3518,101,65,53,102,1375,2618,677,425,387,282,222,151,29.3,29.8,28.8,4056,1.59,1517,1850,117,384,7,36,686,2.42
370,2114,Boston,12093,12176,9743,819,14,1139,2,776,140,140,6055,6038,355,193,104,407,1758,4372,1576,1011,1063,726,379,148,31.6,32.6,30.6,7013,1.57,2464,2863,366,1045,19,82,1685,2.4
371,2115,Boston,26697,27239,18401,2295,67,4091,13,2685,1000,1000,12658,14039,487,318,274,5732,9382,4526,1580,1300,1200,987,670,240,23.5,23.6,23.4,10128,1.73,3847,4116,364,1035,43,370,2158,2.58
372,2116,Boston,20161,20496,15538,1192,24,2666,3,1057,268,268,9827,10333,667,306,266,1896,2495,5073,2537,2112,2243,1496,795,274,33.5,34.5,32.6,10808,1.62,3710,3877,686,2050,42,178,3214,2.5
374,2118,Boston,26610,27320,13744,5462,93,4036,10,5065,2291,2291,13912,12698,1379,995,954,1233,2658,6356,4285,3603,2486,1585,794,282,34.5,35.6,33.6,12465,1.95,4465,3469,974,1684,123,1085,4527,2.94
375,2126,Mattapan,24077,24832,1565,19971,133,237,9,2833,1276,1276,10915,13162,1509,1503,1665,1931,1767,3165,3222,3377,2973,1806,865,293,36.6,33.5,38.9,8897,2.68,1164,1628,1122,1288,291,1948,6079,3.22
376,2127,Boston,32140,33507,26272,2003,73,1605,16,3286,1459,1459,15102,17038,1453,1133,1108,1321,2991,10153,4140,3673,2948,1612,1084,525,32.3,31.9,32.7,15344,2.06,4284,4999,1237,2283,148,1211,6048,2.88
377,2128,Boston,40508,41227,26243,1812,211,1449,19,21419,8711,8711,21314,19194,3091,2463,2075,2433,3699,8777,6466,5012,2960,1712,1229,591,32.3,31.8,32.8,14651,2.75,3130,2748,2643,2132,714,1706,8723,3.32
378,2129,Charlestown,16439,17013,13164,949,35,1339,11,1591,596,596,7589,8850,1094,712,579,529,957,4537,2657,2011,1679,1005,501,178,34.6,34.3,34.8,8033,2.03,1914,2507,966,1574,80,532,3607,2.86
379,2130,Jamaica Plain,34577,35212,23025,4819,196,1705,8,7717,3162,3162,15755,18822,2003,1369,1304,1495,3059,8215,5110,4277,3795,1970,1267,717,34.8,34.5,35.1,14852,2.24,3373,4742,1796,2538,182,1211,6717,2.92
380,2131,Roslindale,29979,30101,17199,7111,163,849,12,7603,3293,3293,13879,16100,1968,1702,1789,1888,1899,4555,4493,4668,3442,1670,1217,689,37.7,35.7,39.4,11553,2.55,1726,2595,2019,2131,267,1525,7202,3.18
381,2132,West Roxbury,27388,27806,22433,1717,47,1907,8,1946,682,682,12705,14683,1754,1419,1321,1223,1193,3580,3909,4305,3697,2263,1730,994,43.2,41.2,45.1,11676,2.3,1881,3037,2336,2715,140,538,6744,3.03
382,2136,Hyde Park,29890,31601,10834,14222,134,530,21,6447,2923,2923,13985,15905,1997,1973,2107,2241,2108,3686,4083,4607,3422,1926,1235,505,37.1,34.6,39.1,10902,2.71,1533,2011,2098,1884,294,1771,7347,3.33
383,2134,Allston,26003,26444,17340,1266,50,4799,13,3113,1526,1526,13370,12633,571,328,287,2898,9559,7183,1849,1316,1053,502,354,106,24.7,25.1,24.3,9682,2.23,3793,3476,544,1049,94,232,2390,2.82
384,2135,Brighton,43451,44599,32286,2165,75,5875,14,3863,1841,1841,21213,22237,1521,916,839,1314,9508,14159,4246,3141,2848,2116,1790,1052,28.9,28.7,29.1,20162,2.11,6200,7556,1445,3166,133,605,6370,2.76
392,2108,Boston,3431,3533,3079,92,4,173,1,138,33,33,1683,1748,151,101,63,207,269,820,458,431,478,293,122,37,37.0,40.5,34.2,1761,1.71,568,628,161,357,2,16,565,2.71
393,2109,Boston,4189,4268,3714,125,5,233,0,180,52,52,2167,2022,123,61,33,64,511,1296,560,471,472,339,156,103,35.1,36.3,34.2,2288,1.67,815,816,132,420,5,18,656,2.4
394,2110,Boston,1775,1823,1543,51,4,119,1,79,25,25,901,875,51,28,11,27,76,337,193,241,357,258,132,63,52.1,51.5,52.8,1068,1.6,365,317,48,274,6,20,385,2.28
395,2111,Boston,7383,7433,3313,304,3,3516,3,318,84,84,3769,3614,263,152,150,832,974,1449,967,866,763,415,414,138,34.0,33.8,34.3,3301,1.89,1012,951,334,753,29,69,1334,2.73
403,2163,Boston,2247,2234,1305,190,7,576,1,213,59,59,1099,1148,63,28,26,427,476,993,61,49,58,38,20,7,25.6,26.1,24.9,650,1.78,247,211,52,86,6,26,192,2.76
414,2210,Boston,2090,2054,1830,53,4,148,1,122,20,20,1192,898,68,24,18,45,252,837,351,240,157,58,32,9,32.4,32.0,33.0,1140,1.64,438,357,69,212,4,13,344,2.35
419,2199,Boston,821,1260,683,24,1,94,0,35,6,6,388,433,31,6,6,5,72,260,123,71,104,72,53,20,37.1,37.1,37.1,555,1.48,193,205,24,110,2,8,157,2.24
436,2215,Boston,21171,21174,14754,877,40,4251,10,1751,466,466,9354,11817,182,64,60,4922,8396,4592,1055,586,524,382,288,118,23.2,23.7,22.8,8053,1.54,3324,3520,148,735,9,87,1199,2.26
