,id,name,address,lat,lon,zip
0,4570205,Brooke Charter School East Boston,94 Horace Street,42.382878669059295,-71.0160605992652,2128
1,35120305,UP Academy Charter School of Springfield,90 Canal Street,42.3640376417256,-71.05992259753509,2114
2,4120530,Academy of the Pacific Rim Charter Public School,1 Westinghouse Plaza,42.244379875927294,-71.132364455145,2136
3,350560,Boston Latin School,78 Avenue Louis Pasteur,42.3378986532588,-71.1016906088973,2115
4,4190305,Helen Y Davis Leadership Academy Charter Public School,23 Leonard Street,42.3013229736385,-71.05868854075041,2122
5,4440205,Neighborhood House Charter School,21 Queen Street,42.293366659876206,-71.0534322380995,2122
6,4840505,Roxbury Preparatory Charter School,120 Fisher Avenue,42.3276278061979,-71.10512995452329,2120
7,4240505,Boston Day and Evening Academy Charter School,20 Kearsarge Avenue,42.327028644916396,-71.08171061656309,2119
8,350836,South Boston Catholic Academy,866 East Broadway,42.336022608867395,-71.0296082255542,2127
9,350579,Urban Science Academy,1205 VFW Parkway,42.2817367428108,-71.1763324293197,2132
10,350021,Beethoven School,5125 Washington Street,42.2634386471636,-71.1561306432287,2132
11,350153,James W Hennigan School,200 Heath Street,42.326218657548104,-71.10686063059059,2130
12,350770,Our Lady of Perpetual Help Mission Grammar School,94 St Alphonsus Street,42.333868299806205,-71.1004790162248,2120
13,350740,Hollow Reed School,93 Sedgewick Street,42.3082286488077,-71.1120306071364,2130
14,350856,Pope John Paul II Academy (Lower MIlls),2214 Dorchester Avenue,42.27456864712779,-71.06658062217991,2124
15,350190,Joyce Kilmer School,35 Baker Street,42.2718924116044,-71.16259498176959,2132
16,350426,Dr. William Henderson Upper School,18 Croftland Avenue,42.281261700356296,-71.0695699414447,2122
17,350006,ELC - West Zone School,200 Heath Street,42.326218657548104,-71.10686063059059,2130
18,350530,East Boston High School,86 White Street,42.380957455877,-71.0349214394206,2128
19,350765,The Learning Project,107 Marlborough Street,42.3535396619911,-71.0770746176707,2115
20,350546,Boston Arts Academy,174 Ipswich Street,42.3462719562464,-71.0950705802545,2215
21,350167,John P Holland School,85 Olney Street,42.3056181037898,-71.07385905062542,2121
22,350054,Charles H Taylor School,1060 Morton Street,42.277860738877,-71.0774305670488,2126
23,350010,Haynes Early Education Center,263 Blue Hill Avenue,42.3151394913181,-71.078883176552,2119
24,350264,Patrick J Kennedy School,343 Saratoga Street,42.3785452750584,-71.03048032903901,2128
25,350062,Curtis Guild School,195 Leyden Street,42.388543351114706,-71.00416794601058,2128
26,490855,German International School Boston,57 Holton Street,42.3602931501705,-71.136080532093,2134
