City/Town,Ward,Pct,"Joseph R. Biden, Jr.",Donald J. Trump,Jo Jorgensen,Howard Hawkins,All Others,No Preference,Blanks,Total Votes Cast,Biden Percentage,Trump Percentage,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,1,1,939,206,12,8,9,0,8,1182,79.44162437,17.42808799,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.2,0.41,2.85,0.23,10.08,3.49,29.3,79.73
Boston,1,2,668,156,8,5,8,0,5,850,78.58823529,18.35294118,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.95,0.14,2.03,0,16.95,4.54,51.81,73.39
Boston,1,3,1734,383,24,8,9,0,7,2165,80.09237875,17.69053118,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74,0.31,7.17,0,15.54,5.66,41.33,62.57
Boston,1,4,740,135,9,3,4,0,4,895,82.68156425,15.08379888,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.03,0.64,2.02,0.05,29.46,6.58,63.85,58.23
Boston,1,5,812,199,19,4,6,0,0,1040,78.07692308,19.13461538,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.67,0.76,2.63,0.17,31.02,5.3,57.62,57.44
Boston,1,6,707,154,12,3,3,0,5,884,79.97737557,17.42081448,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.11,0.64,2.43,0.04,29.88,4.55,58.99,59.35
Boston,1,7,730,182,11,4,8,0,4,939,77.74227902,19.38232162,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.52,0.46,3.02,0,27.3,5.78,60.76,58.92
Boston,1,8,926,257,8,9,8,0,8,1216,76.15131579,21.13486842,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.1,0.62,6.58,0,24.91,5.2,57.51,58.58
Boston,1,9,670,154,7,5,1,0,5,842,79.57244656,18.28978622,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.02,0.38,1.97,0,23.78,4.36,58.29,66.49
Boston,1,10,455,126,8,2,2,0,4,597,76.21440536,21.10552764,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.31,0.43,3.44,0.05,25.4,5.21,62.57,63.16
Boston,1,11,717,329,12,4,3,0,7,1072,66.88432836,30.69029851,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.9,0.48,3.2,0.07,12.38,2.31,33.91,78.66
Boston,1,12,704,376,9,4,1,0,3,1097,64.17502279,34.27529626,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.8,0.55,2.67,0,9.55,2.73,25.97,82.71
Boston,1,13,995,404,12,5,9,0,5,1430,69.58041958,28.25174825,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.61,0.38,3.77,0,14.94,4,41.88,68.29
Boston,1,14,446,239,3,1,1,0,11,701,63.62339515,34.09415121,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.56,0.12,4.51,0.12,3.54,1.71,17.68,87.44
Boston,1,15,1,0,0,0,0,0,0,1,100,0,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.94,0.38,1.32,0.19,14.72,3.21,24.53,39.25
Boston,2,1,1314,396,25,2,10,0,8,1755,74.87179487,22.56410256,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.65,0,3.02,0.06,0.89,0.36,2.13,95.03
Boston,2,2,1722,434,17,8,15,0,13,2209,77.95382526,19.64689905,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.88,0.3,16.2,0.19,5.92,2.34,14.53,65.18
Boston,2,3,1054,212,18,0,13,0,9,1306,80.70444104,16.23277182,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.42,0.18,1.45,0,0.36,1.09,1.63,96.49
Boston,2,4,949,234,14,5,8,0,10,1220,77.78688525,19.18032787,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.06,0.34,10.02,0,6.18,3.02,15.79,71.38
Boston,2,5,1054,286,14,8,10,0,9,1381,76.32150615,20.7096307,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.37,0,1.37,0.06,0.19,0.56,1.12,97.44
Boston,2,6,1224,398,17,5,11,0,20,1675,73.07462687,23.76119403,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.76,0.13,7.07,0.04,1.27,1.32,4.13,88.41
Boston,2,7,1190,314,27,3,14,0,8,1556,76.4781491,20.17994859,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91,0,4.64,0,0.37,0.66,2.06,92.42
Boston,3,1,1784,587,25,9,19,0,13,2437,73.20475995,24.0869922,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.23,0.2,3.43,0,1.25,1.38,3.9,90.52
Boston,3,2,931,290,18,3,7,0,6,1255,74.18326693,23.10756972,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.07,0.05,2.36,0.05,1.07,0.48,3.8,94.91
Boston,3,3,1055,279,14,6,5,0,5,1364,77.34604106,20.45454545,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.55,0.25,2.88,0,0.8,0.93,3.13,94.58
Boston,3,4,1208,356,20,9,8,0,8,1609,75.077688,22.12554382,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.73,0.31,1.94,0.1,0.47,0.99,3.61,95.45
Boston,3,5,2267,454,28,13,24,0,16,2802,80.90649536,16.20271235,4660,3353,541,4,640,0,49,73,4660,3006,536,404,4,637,0,9,64,11.61,0.09,13.73,0,1.05,1.57,8.67,71.95
Boston,3,6,2718,634,47,11,29,0,28,3467,78.39630805,18.2867032,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.58,0.2,8.47,0.06,1.47,1.77,5.29,83.45
Boston,3,7,2545,225,26,6,16,0,9,2827,90.02476123,7.958967103,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.9,0.25,15.92,0,2.43,1.82,6.63,73.68
Boston,3,8,3506,614,34,16,20,0,44,4234,82.80585735,14.50165328,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.82,0.05,46,0.05,1.32,1.92,4.94,45.84
Boston,4,1,1327,148,22,3,5,0,10,1515,87.59075908,9.768976898,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.48,0.2,6.41,0,1.74,1.84,5.07,86.33
Boston,4,2,1954,319,21,9,12,0,13,2328,83.9347079,13.70274914,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.04,0.23,13.25,0,1.53,2.01,6,71.94
Boston,4,3,952,85,11,1,6,0,3,1058,89.98109641,8.034026465,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.78,0.15,6.06,0,2.02,2.32,6.96,73.67
Boston,4,4,1273,110,24,4,6,0,8,1425,89.33333333,7.719298246,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.87,0.22,6.34,0.04,2.39,3.1,8.82,72.03
Boston,4,5,866,110,6,2,6,0,6,996,86.94779116,11.04417671,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,9.96,0.17,15.17,0.03,1.59,2.03,7.28,71.05
Boston,4,6,746,124,9,3,3,0,2,887,84.10372041,13.97970688,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.41,0.36,17.49,0,3.36,3.76,10.57,65.61
