Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
13,2,6,2,1,7,1,1,0,7,9,18,32,3,0,0,3,3,3,DC,7.21,DC,3.79,DD,5.25,DC,3.719999999999999,DC,5.600000000000001,CC,5.759999999999998,CD,4.82,DC,4.960000000000001,DC,4.009999999999998,DC,4.980000000000004,draw blood
14,9,7,2,1,4,2,2,1,10,9,13,23,1,0,0,1,1,1,CC,9.32,CC,4.969999999999999,CD,4.210000000000001,DC,4.73,CC,4.239999999999998,CC,4.080000000000002,CD,3.900000000000002,DC,3.729999999999997,CC,4.640000000000001,CC,5.009999999999998,tit-for-tat
15,7,9,2,1,3,0,3,1,10,7,9,24,0,0,0,0,0,0,DC,13.48,DC,3.9899999999999984,DD,4.07,DC,3.9800000000000004,DC,4.219999999999999,DC,5.489999999999998,DD,4.18,DC,3.8900000000000006,DC,4.260000000000005,DC,4.299999999999997,draw blood
13,9,8,2,1,0,1,1,0,9,2,18,23,1,0,0,1,1,1,CC,8.51,DC,4.609999999999999,CD,3.700000000000001,DC,9.120000000000001,CC,4.139999999999997,DC,5.57,CD,6.8700000000000045,CC,4.189999999999998,CC,6.399999999999999,CC,6.030000000000001,draw blood
15,4,6,1,1,0,1,4,0,10,5,13,18,2,6,2,4,8,10,CC,9.91,CC,4.01,CD,4.4,CC,6.309999999999999,CC,4.449999999999999,CC,4.57,CD,4.350000000000001,CC,4.560000000000002,CC,4.469999999999999,CC,4.810000000000002,full cooperation
15,7,9,2,1,0,0,4,1,10,5,17,21,1,0,0,1,1,1,CC,11.38,DC,5.92,CD,4.029999999999998,DC,9.040000000000003,DC,5.7499999999999964,CC,6.510000000000005,CD,7.979999999999997,CC,6.18,DC,3.6199999999999974,DC,6.260000000000005,draw blood
16,9,9,1,1,1,2,4,0,8,7,11,21,1,0,0,1,1,1,CC,11.33,CC,4.279999999999999,CD,3.629999999999999,DC,3.580000000000002,DC,3.6999999999999993,CC,3.6700000000000017,DD,3.9800000000000004,CC,4.079999999999998,DC,4.159999999999997,CC,9.450000000000003,other
16,9,5,2,1,5,0,1,2,8,8,11,22,3,1,0,3,4,4,CC,12.9,CC,4.130000000000001,CD,3.879999999999999,DC,4.710000000000001,CC,3.8900000000000006,CC,3.7899999999999956,CD,3.8300000000000054,DC,3.979999999999997,CC,3.8500000000000014,CC,4.449999999999996,tit-for-tat
14,9,7,1,1,0,0,1,1,10,2,13,20,1,0,0,1,1,1,CC,10.95,CC,5.030000000000001,CD,5.27,CC,6.539999999999999,CC,6.560000000000002,CC,5.549999999999997,CD,6.560000000000002,CC,6.329999999999998,CC,6.910000000000004,CC,6.539999999999992,full cooperation
13,7,8,2,1,0,0,2,0,10,2,10,35,6,0,2,8,6,8,CC,9.4,CC,5.949999999999999,CD,4.630000000000001,DC,9.509999999999998,CC,5.309999999999999,CC,4.560000000000002,CD,8.280000000000001,DC,5.530000000000001,CC,9.189999999999998,CC,5.670000000000002,tit-for-tat
15,9,9,2,1,1,0,1,2,8,4,12,22,10,3,0,10,13,13,CC,10.08,CC,3.9499999999999993,CD,3.99,CC,7.080000000000002,DC,11.71,CC,4.369999999999997,CD,4.060000000000002,DC,4.269999999999996,CC,4.219999999999999,CC,4.6100000000000065,other
17,9,7,1,1,0,0,0,0,9,0,16,28,4,2,0,4,6,6,CC,8.57,CC,3.459999999999999,CD,3.74,CC,3.900000000000002,CC,4.139999999999997,CC,3.6300000000000026,CD,3.9499999999999993,CC,4.140000000000001,CC,3.719999999999999,DC,6.020000000000003,other
16,4,4,2,1,2,1,2,0,5,5,16,20,0,3,0,0,3,3,DC,9.86,DC,4.25,DD,4.379999999999999,CC,5.920000000000002,DC,4.870000000000001,CC,4.729999999999997,DD,4.920000000000002,DC,5.780000000000001,CC,4.43,DC,5.799999999999997,draw blood
13,9,10,2,1,1,1,1,0,10,3,19,26,0,0,0,0,0,0,CC,10.63,CC,3.539999999999999,CD,3.630000000000001,DC,4.629999999999999,CC,3.830000000000002,CC,3.75,CD,3.679999999999996,DC,3.5800000000000054,CC,3.559999999999995,CC,4.350000000000001,tit-for-tat
16,7,6,2,1,8,0,1,2,9,11,12,19,2,0,0,2,2,2,CC,10.6,DC,4.57,CD,4.110000000000001,CC,3.8699999999999974,CC,4.460000000000001,CC,4.300000000000001,DD,5.16,CC,4.079999999999998,CC,4.950000000000003,CC,5.32,draw blood
13,9,8,2,1,10,7,10,5,1,32,31,32,2,4,3,5,6,9,DC,15.85,CC,4.4,DD,4.620000000000001,DC,4.489999999999998,DC,4.289999999999999,DC,5.6200000000000045,CD,4.359999999999999,DC,4.809999999999995,DC,4.039999999999999,CC,4.720000000000006,draw blood
15,6,8,2,1,1,0,0,0,10,1,10,19,0,0,0,0,0,0,DC,12.57,DC,5.73,DD,3.9499999999999993,DC,3.530000000000001,DC,3.6899999999999977,DC,6.880000000000003,DD,6.3799999999999955,CC,4.660000000000004,CC,4.600000000000001,CC,4.390000000000001,draw blood
15,7,7,2,1,4,0,1,3,5,8,15,17,1,0,0,1,1,1,CC,9.26,DC,5.08,CD,4.580000000000002,CC,4.68,DC,4.539999999999999,DC,4.920000000000002,CD,4.089999999999996,DC,4.730000000000004,CC,4.289999999999999,DC,4.729999999999997,draw blood
14,9,9,1,1,1,0,3,6,4,10,11,18,0,0,0,0,0,0,DC,10.62,CC,3.4000000000000004,CD,3.469999999999999,CC,3.3900000000000006,CC,4.290000000000003,CC,3.4299999999999997,CD,3.3999999999999986,CC,4.149999999999999,DC,3.4299999999999997,CC,4.149999999999999,draw blood
13,4,6,2,1,1,1,2,0,7,4,16,22,0,0,0,0,0,0,DC,11.26,DC,4.860000000000001,DD,4.129999999999999,CC,4.239999999999998,DC,5.32,CC,4.419999999999998,DD,4.520000000000003,CC,4.969999999999999,CC,8.43,DC,6.649999999999999,draw blood
15,9,9,2,1,4,1,5,0,6,10,21,28,3,1,0,3,4,4,CC,8.16,CC,5.59,DD,6.190000000000001,DC,5.23,CC,4.369999999999997,DC,9.740000000000002,CD,4.609999999999999,DC,6.519999999999996,CC,5.160000000000004,DC,6.770000000000003,draw blood
14,8,6,2,1,5,0,1,6,9,12,11,32,0,0,1,1,0,1,DC,9.52,DC,4.0,DD,5.550000000000001,DC,4.440000000000001,DC,4.34,DC,4.32,DD,4.18,DC,3.740000000000002,DC,3.979999999999997,DC,4.609999999999999,draw blood
16,9,8,1,1,0,2,4,1,7,7,18,23,9,3,0,9,12,12,CC,8.83,CC,3.539999999999999,CD,3.6400000000000023,DC,3.84,DC,4.779999999999998,DC,3.490000000000002,DD,4.59,DC,3.759999999999998,DC,4.170000000000002,DC,4.700000000000003,full grudge
14,4,10,1,1,2,1,1,0,8,4,14,30,1,1,2,3,2,4,DC,12.19,DC,3.540000000000001,DD,3.4800000000000004,DC,3.599999999999998,DC,3.6799999999999997,DC,3.7600000000000016,DD,3.6199999999999974,DC,3.6500000000000057,DC,3.5799999999999983,DC,3.990000000000002,draw blood
13,9,9,2,1,1,0,1,0,10,2,13,29,1,2,0,1,3,3,CC,17.66,DC,4.640000000000001,CD,5.539999999999999,DC,5.059999999999999,CC,3.950000000000003,CC,4.899999999999999,DD,5.18,DC,4.689999999999998,DC,4.200000000000003,DC,4.869999999999997,draw blood
13,7,10,1,1,1,0,0,0,10,1,9,18,0,0,0,0,0,0,DC,18.97,CC,7.550000000000001,CD,6.84,DC,6.259999999999998,CC,6.510000000000005,CC,5.899999999999999,DD,6.219999999999999,CC,6.819999999999993,DC,6.900000000000006,CC,6.820000000000007,draw blood
