City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Canton,-,4,1245.00,991.00,114.00,29.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,52.00,2456.00,,
Canton,-,5,1248.00,801.00,117.00,20.00,4.00,0.00,0.00,0.00,0.00,42.00,0.00,41.00,2273.00,,
Canton,-,6,1182.00,654.00,97.00,11.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,35.00,2004.00,,
Carlisle,-,1,2302.00,732.00,192.00,43.00,31.00,0.00,0.00,0.00,0.00,36.00,0.00,55.00,3391.00,,
Carver,-,1,818.00,1051.00,128.00,24.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,30.00,2092.00,,
Carver,-,2,763.00,1051.00,124.00,26.00,3.00,0.00,0.00,0.00,0.00,24.00,0.00,33.00,2024.00,,
Carver,-,3,948.00,1104.00,112.00,22.00,2.00,0.00,0.00,0.00,0.00,37.00,0.00,26.00,2251.00,,
Charlemont,-,1,407.00,228.00,40.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,735.00,,
Charlton,-,1,712.00,945.00,113.00,14.00,4.00,0.00,0.00,0.00,0.00,17.00,0.00,29.00,1834.00,,
Charlton,-,2,652.00,1029.00,145.00,28.00,5.00,0.00,0.00,0.00,0.00,17.00,0.00,30.00,1906.00,,
Charlton,-,3,701.00,1001.00,98.00,28.00,5.00,0.00,0.00,0.00,0.00,27.00,0.00,24.00,1884.00,,
Charlton,-,4,644.00,881.00,105.00,29.00,8.00,0.00,0.00,0.00,0.00,19.00,0.00,31.00,1717.00,,
Chatham,-,1,2398.00,1796.00,216.00,68.00,7.00,0.00,0.00,0.00,0.00,79.00,0.00,79.00,4643.00,,
Chelmsford,-,1,1167.00,822.00,116.00,32.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,32.00,2221.00,,
Chelmsford,-,2,1133.00,689.00,109.00,36.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,29.00,2029.00,,
Chelmsford,-,3,1108.00,974.00,110.00,24.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,40.00,2298.00,,
Chelmsford,-,4,1048.00,832.00,79.00,23.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,34.00,2058.00,,
Chelmsford,-,5,1201.00,799.00,143.00,32.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,21.00,2244.00,,
Chelmsford,-,6,1261.00,884.00,137.00,18.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,47.00,2397.00,,
Chelmsford,-,7,1292.00,934.00,155.00,29.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,26.00,2489.00,,
Chelmsford,-,8,1239.00,818.00,108.00,16.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,34.00,2263.00,,
Chelmsford,-,9,1256.00,909.00,136.00,27.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,38.00,2443.00,,
Chelsea,1,1,429.00,92.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,573.00,,
Chelsea,1,2,297.00,44.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,376.00,,
Chelsea,1,3,368.00,57.00,14.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,472.00,,
Chelsea,1,4,358.00,33.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,429.00,,
Chelsea,2,1,838.00,255.00,30.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,1250.00,,
Chelsea,2,2,593.00,76.00,18.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,754.00,,
Chelsea,2,3,285.00,23.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,332.00,,
Chelsea,2,4,428.00,50.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,509.00,,
Chelsea,3,1,479.00,69.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,592.00,,
Chelsea,3,2,599.00,107.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,32.00,755.00,,
Chelsea,3,3,439.00,83.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,585.00,,
Chelsea,3,4,497.00,81.00,15.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,39.00,645.00,,
Chelsea,4,1,440.00,122.00,13.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,611.00,,
Chelsea,4,2,543.00,199.00,22.00,15.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,41.00,829.00,,
Chelsea,4,3,468.00,167.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,27.00,692.00,,
Chelsea,4,4,439.00,129.00,15.00,9.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,34.00,629.00,,
Cheshire,-,1,978.00,741.00,83.00,30.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,27.00,1891.00,,
Chester,-,1,238.00,372.00,55.00,13.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,13.00,696.00,,
Chesterfield,-,1,398.00,267.00,39.00,39.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,18.00,768.00,,
Chicopee,1,A,660.00,640.00,60.00,28.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,22.00,1433.00,,
Chicopee,1,B,833.00,750.00,68.00,32.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,27.00,1747.00,,
Chicopee,2,A,677.00,279.00,44.00,28.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,8.00,1071.00,,
Chicopee,2,B,753.00,658.00,60.00,29.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,26.00,1543.00,,
Chicopee,3,A,658.00,509.00,47.00,20.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,15.00,1272.00,,
Chicopee,3,B,617.00,395.00,32.00,26.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,10.00,1109.00,,
Chicopee,4,A,659.00,463.00,68.00,24.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,22.00,1260.00,,
Chicopee,4,B,708.00,460.00,63.00,27.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,22.00,1304.00,,
Chicopee,5,A,697.00,516.00,65.00,22.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,16.00,1340.00,,
Chicopee,5,B,655.00,524.00,62.00,25.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,20.00,1317.00,,
Chicopee,6,AN,188.00,147.00,13.00,7.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,10.00,371.00,,
Chicopee,6,AS,401.00,374.00,22.00,14.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,20.00,844.00,,
Chicopee,6,BE,580.00,798.00,57.00,16.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,21.00,1488.00,,
Chicopee,6,BW,136.00,145.00,12.00,9.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,8.00,321.00,,
Chicopee,7,A,602.00,355.00,30.00,29.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,14.00,1042.00,,
Chicopee,7,B,695.00,400.00,41.00,20.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,20.00,1191.00,,
Chicopee,8,A,704.00,558.00,94.00,36.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,21.00,1447.00,,
Chicopee,8,B,617.00,543.00,67.00,30.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,27.00,1314.00,,
Chicopee,9,A,697.00,564.00,63.00,29.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,25.00,1397.00,,
Chicopee,9,B,801.00,763.00,78.00,21.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,31.00,1730.00,,
Chilmark,-,1,617.00,94.00,30.00,23.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,13.00,788.00,,
Clarksburg,-,1,510.00,327.00,29.00,12.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,11.00,896.00,,
Clinton,-,1,1021.00,687.00,115.00,28.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,22.00,1922.00,,
Clinton,-,2,921.00,659.00,116.00,30.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,23.00,1777.00,,
Clinton,-,3,930.00,718.00,78.00,20.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,18.00,1797.00,,
Clinton,-,4,895.00,684.00,87.00,22.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,23.00,1741.00,,
Cohasset,-,1,1403.00,770.00,127.00,24.00,4.00,0.00,0.00,0.00,0.00,65.00,0.00,45.00,2438.00,,
Cohasset,-,2,1492.00,859.00,117.00,22.00,3.00,0.00,0.00,0.00,0.00,64.00,0.00,45.00,2602.00,,
Colrain,-,1,513.00,257.00,59.00,62.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,934.00,,
Concord,-,1,1645.00,329.00,102.00,27.00,3.00,0.00,0.00,0.00,0.00,18.00,0.00,61.00,2185.00,,
Concord,-,2,1993.00,462.00,101.00,46.00,8.00,0.00,0.00,0.00,0.00,35.00,0.00,37.00,2682.00,,
Concord,-,3,1765.00,464.00,92.00,24.00,3.00,0.00,0.00,0.00,0.00,46.00,0.00,36.00,2430.00,,
Concord,-,4,1857.00,439.00,115.00,35.00,4.00,0.00,0.00,0.00,0.00,30.00,0.00,39.00,2519.00,,
Concord,-,5,1200.00,257.00,93.00,18.00,2.00,0.00,0.00,0.00,0.00,29.00,0.00,32.00,1631.00,,
Conway,-,1,865.00,249.00,47.00,39.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,13.00,1235.00,,
Cummington,-,1,334.00,156.00,31.00,33.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,9.00,567.00,,
Dalton,-,1,1091.00,491.00,89.00,41.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,21.00,1763.00,,
Dalton,-,2,1099.00,449.00,77.00,42.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,18.00,1720.00,,
Danvers,-,1,1069.00,731.00,87.00,29.00,2.00,0.00,0.00,0.00,0.00,29.00,0.00,27.00,1974.00,,
Danvers,-,2,1033.00,815.00,92.00,28.00,4.00,0.00,0.00,0.00,0.00,31.00,0.00,19.00,2022.00,,
Danvers,-,3,860.00,741.00,66.00,20.00,1.00,0.00,0.00,0.00,0.00,31.00,0.00,20.00,1739.00,,
Danvers,-,4,997.00,774.00,79.00,18.00,4.00,0.00,0.00,0.00,0.00,42.00,0.00,26.00,1940.00,,
Danvers,-,5,984.00,895.00,93.00,23.00,3.00,0.00,0.00,0.00,0.00,29.00,0.00,37.00,2064.00,,
Danvers,-,6,958.00,910.00,83.00,17.00,1.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,2049.00,,
Danvers,-,7,952.00,810.00,112.00,24.00,4.00,0.00,0.00,0.00,0.00,46.00,0.00,18.00,1966.00,,
Danvers,-,8,899.00,808.00,79.00,20.00,2.00,0.00,0.00,0.00,0.00,29.00,0.00,15.00,1852.00,,
Dartmouth,-,1,896.00,1085.00,75.00,23.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,27.00,2128.00,,
Dartmouth,-,2,681.00,589.00,36.00,15.00,6.00,0.00,0.00,0.00,0.00,28.00,0.00,10.00,1365.00,,
Dartmouth,-,3,162.00,26.00,14.00,4.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,214.00,,
Dartmouth,-,4,1065.00,780.00,73.00,34.00,1.00,0.00,0.00,0.00,0.00,28.00,0.00,18.00,1999.00,,
Dartmouth,-,5,1059.00,907.00,78.00,35.00,1.00,0.00,0.00,0.00,0.00,33.00,0.00,27.00,2140.00,,
Dartmouth,-,6,920.00,714.00,59.00,22.00,1.00,0.00,0.00,0.00,0.00,18.00,0.00,14.00,1748.00,,
Dartmouth,-,7,1035.00,837.00,65.00,31.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,28.00,2025.00,,
Dartmouth,-,8,1378.00,847.00,104.00,27.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,33.00,2424.00,,
Dartmouth,-,9,1390.00,953.00,106.00,44.00,5.00,0.00,0.00,0.00,0.00,41.00,0.00,21.00,2560.00,,
Dedham,-,1,1501.00,465.00,103.00,19.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,28.00,2175.00,,
Dedham,-,2,1205.00,695.00,76.00,27.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,28.00,2069.00,,
Dedham,-,3,1139.00,614.00,56.00,22.00,1.00,0.00,0.00,0.00,0.00,33.00,0.00,17.00,1882.00,,
Dedham,-,4,1212.00,652.00,79.00,21.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,28.00,2037.00,,
Dedham,-,5,1151.00,818.00,89.00,23.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,29.00,2152.00,,
Dedham,-,6,1306.00,701.00,86.00,23.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,33.00,2196.00,,
Dedham,-,7,1107.00,833.00,81.00,14.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,36.00,2115.00,,
Deerfield,-,1,1968.00,777.00,161.00,75.00,3.00,0.00,0.00,0.00,0.00,62.00,0.00,49.00,3095.00,,
Dennis,-,1,981.00,884.00,76.00,18.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,36.00,2021.00,,
Dennis,-,2,1091.00,783.00,77.00,19.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,25.00,2036.00,,
Dennis,-,3,844.00,667.00,68.00,37.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,22.00,1666.00,,
Dennis,-,4,1003.00,771.00,85.00,37.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,23.00,1949.00,,
Dennis,-,5,968.00,646.00,66.00,27.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,30.00,1760.00,,
Dighton,-,1,776.00,1044.00,82.00,32.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,23.00,1996.00,,
Dighton,-,2,826.00,1105.00,90.00,35.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,30.00,2126.00,,
Douglas,-,1,565.00,956.00,97.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,1690.00,,
Douglas,-,2,643.00,908.00,94.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,1724.00,,
Douglas,-,3,572.00,821.00,108.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,1561.00,,
Dover,-,1,2063.00,1137.00,266.00,29.00,0.00,0.00,0.00,0.00,0.00,111.00,0.00,66.00,3672.00,,
Dracut,-,1,654.00,777.00,72.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,1560.00,,
Dracut,-,2,611.00,765.00,75.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,1511.00,,
Dracut,-,3,714.00,920.00,86.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,1798.00,,
Dracut,-,4,788.00,1142.00,129.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,2150.00,,
Dracut,-,5,705.00,947.00,84.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,1817.00,,
Dracut,-,6,761.00,824.00,86.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,1730.00,,
Dracut,-,6A,28.00,32.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,65.00,,
Dracut,-,7,757.00,759.00,79.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,1647.00,,
Dracut,-,8,892.00,1221.00,111.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,2318.00,,
Dracut,-,9,735.00,932.00,98.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,1841.00,,
Dudley,-,1,843.00,1076.00,104.00,20.00,4.00,0.00,0.00,0.00,0.00,26.00,0.00,29.00,2102.00,,
Dudley,-,2,663.00,954.00,101.00,22.00,6.00,0.00,0.00,0.00,0.00,18.00,0.00,19.00,1783.00,,
Dudley,-,3,607.00,841.00,90.00,27.00,3.00,0.00,0.00,0.00,0.00,15.00,0.00,19.00,1602.00,,
Dunstable,-,1,954.00,837.00,140.00,26.00,5.00,0.00,0.00,0.00,0.00,33.00,0.00,40.00,2035.00,,
Duxbury,-,1,968.00,697.00,101.00,18.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,20.00,1862.00,,
Duxbury,-,2,883.00,668.00,107.00,13.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,33.00,1753.00,,
Duxbury,-,3,828.00,576.00,73.00,18.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,30.00,1566.00,,
Duxbury,-,4,853.00,631.00,82.00,21.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,23.00,1649.00,,
Duxbury,-,5,826.00,697.00,71.00,30.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,23.00,1699.00,,
Duxbury,-,6,779.00,619.00,97.00,12.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,20.00,1567.00,,
E. Bridgewater,-,1,761.00,1002.00,135.00,22.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,1986.00,,
E. Bridgewater,-,2,791.00,1042.00,87.00,20.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,25.00,2001.00,,
E. Bridgewater,-,3,874.00,1077.00,107.00,16.00,2.00,0.00,0.00,0.00,0.00,26.00,0.00,30.00,2132.00,,
E. Bridgewater,-,4,748.00,952.00,101.00,28.00,3.00,0.00,0.00,0.00,0.00,28.00,0.00,36.00,1896.00,,
E. Brookfield,-,1,417.00,664.00,65.00,18.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,21.00,1217.00,,
E. Longmeadow,-,1,1057.00,1091.00,117.00,23.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,25.00,2351.00,,
E. Longmeadow,-,2,1008.00,1034.00,99.00,37.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,30.00,2246.00,,
E. Longmeadow,-,3,1017.00,1105.00,89.00,28.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,30.00,2321.00,,
E. Longmeadow,-,4,1007.00,1211.00,97.00,27.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,38.00,2417.00,,
Eastham,-,1,2203.00,1199.00,134.00,61.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,50.00,3702.00,,
Easthampton,-,1,1127.00,514.00,68.00,48.00,1.00,0.00,0.00,0.00,0.00,28.00,0.00,37.00,1823.00,,
Easthampton,-,2,1370.00,417.00,53.00,86.00,3.00,0.00,0.00,0.00,0.00,37.00,0.00,32.00,1998.00,,
Easthampton,-,3,1140.00,447.00,71.00,65.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,26.00,1780.00,,
Easthampton,-,4,1464.00,453.00,75.00,71.00,4.00,0.00,0.00,1.00,0.00,30.00,0.00,25.00,2123.00,,
Easthampton,-,5,1112.00,768.00,100.00,35.00,4.00,0.00,0.00,0.00,0.00,26.00,0.00,27.00,2072.00,,
Easton,-,1,640.00,505.00,59.00,12.00,2.00,0.00,0.00,0.00,0.00,14.00,0.00,36.00,1268.00,,
Easton,-,2,1272.00,944.00,134.00,25.00,2.00,0.00,0.00,0.00,0.00,23.00,0.00,60.00,2460.00,,
Easton,-,3,1042.00,898.00,96.00,28.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,57.00,2135.00,,
Easton,-,4,1204.00,940.00,125.00,21.00,4.00,0.00,0.00,0.00,0.00,33.00,0.00,53.00,2380.00,,
Easton,-,5,1334.00,953.00,112.00,24.00,11.00,0.00,0.00,0.00,0.00,14.00,0.00,66.00,2514.00,,
Easton,-,6,1064.00,991.00,97.00,24.00,5.00,0.00,0.00,0.00,0.00,18.00,0.00,55.00,2254.00,,
Edgartown,-,1,1787.00,779.00,99.00,53.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,52.00,2810.00,,
Egremont,-,1,621.00,147.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,13.00,845.00,,
Erving,-,1,420.00,300.00,59.00,32.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,12.00,834.00,,
Essex,-,1,1272.00,758.00,166.00,34.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,34.00,2304.00,,
Everett,1,1,737.00,294.00,36.00,11.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,17.00,1116.00,,
Everett,1,2,666.00,290.00,14.00,15.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,9.00,1008.00,,
Everett,2,1,776.00,336.00,22.00,16.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,11.00,1175.00,,
Everett,2,2,702.00,249.00,21.00,17.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,1013.00,,
Everett,3,1,828.00,412.00,28.00,16.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,14.00,1322.00,,
Everett,3,2,779.00,346.00,21.00,14.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,15.00,1187.00,,
Everett,4,1,888.00,416.00,25.00,9.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,17.00,1371.00,,
Everett,4,2,797.00,286.00,23.00,16.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,1148.00,,
Everett,5,1,765.00,343.00,26.00,13.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,17.00,1186.00,,
Everett,5,2,818.00,299.00,25.00,12.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,14.00,1176.00,,
Everett,6,1,809.00,344.00,37.00,17.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,1229.00,,
Everett,6,2,896.00,325.00,31.00,9.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,13.00,1292.00,,
Fairhaven,-,1,832.00,606.00,45.00,31.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,21.00,1560.00,,
Fairhaven,-,2,744.00,600.00,51.00,31.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,11.00,1460.00,,
Fairhaven,-,3,581.00,536.00,49.00,13.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,16.00,1212.00,,
Fairhaven,-,4,705.00,675.00,47.00,25.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,21.00,1487.00,,
Fairhaven,-,5,711.00,759.00,63.00,17.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,15.00,1587.00,,
Fairhaven,-,6,691.00,648.00,62.00,16.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,13.00,1447.00,,
Fall River,1,A,816.00,640.00,50.00,19.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,24.00,1557.00,,
Fall River,1,B,601.00,434.00,44.00,12.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,26.00,1129.00,,
Fall River,1,C,622.00,481.00,52.00,15.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,19.00,1200.00,,
Fall River,2,A,510.00,317.00,24.00,18.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,13.00,897.00,,
Fall River,2,B,491.00,276.00,21.00,18.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,840.00,,
Fall River,2,C,567.00,372.00,24.00,18.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,12.00,1006.00,,
Fall River,3,A,674.00,458.00,28.00,11.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,27.00,1204.00,,
Fall River,3,B,663.00,410.00,31.00,24.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,24.00,1168.00,,
Fall River,3,C,641.00,456.00,38.00,21.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,27.00,1196.00,,
Fall River,4,A,551.00,267.00,28.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,886.00,,
Fall River,4,B,561.00,215.00,25.00,18.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,26.00,849.00,,
Fall River,4,C,679.00,229.00,19.00,13.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,45.00,988.00,,
Fall River,5,A,438.00,180.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,11.00,666.00,,
Fall River,5,B,385.00,138.00,17.00,8.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,13.00,566.00,,
Fall River,5,B1,65.00,38.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,116.00,,
Fall River,5,C,541.00,244.00,22.00,14.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,21.00,849.00,,
Fall River,6,A,714.00,517.00,55.00,18.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,31.00,1358.00,,
Fall River,6,B,579.00,312.00,28.00,11.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,25.00,965.00,,
Fall River,6,C,625.00,439.00,39.00,21.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,24.00,1165.00,,
Fall River,6,C1,15.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,,
Fall River,7,A,689.00,443.00,34.00,13.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,1217.00,,
Fall River,7,B,535.00,316.00,34.00,25.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,9.00,926.00,,
Fall River,7,C,663.00,324.00,48.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,1099.00,,
Fall River,8,A,600.00,338.00,37.00,22.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,1033.00,,
Fall River,8,B,881.00,563.00,55.00,25.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,22.00,1569.00,,
Fall River,8,C,902.00,661.00,44.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,1697.00,,
Fall River,9,A,986.00,794.00,38.00,29.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,1926.00,,
Fall River,9,B,676.00,503.00,37.00,20.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,37.00,1274.00,,
Fall River,9,C,797.00,481.00,52.00,27.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,90.00,1458.00,,
Falmouth,-,1,1793.00,513.00,80.00,30.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,33.00,2482.00,,
Falmouth,-,2,1386.00,707.00,59.00,37.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,38.00,2262.00,,
Falmouth,-,3,1150.00,810.00,69.00,22.00,3.00,0.00,0.00,0.00,0.00,26.00,0.00,33.00,2113.00,,
Falmouth,-,4,1219.00,859.00,83.00,22.00,1.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,2256.00,,
Falmouth,-,5,1349.00,886.00,108.00,33.00,5.00,0.00,0.00,0.00,0.00,53.00,0.00,42.00,2476.00,,
Falmouth,-,6,1333.00,771.00,83.00,29.00,1.00,0.00,0.00,0.00,0.00,34.00,0.00,53.00,2304.00,,
