City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,,
Andover,-,7A,256.00,163.00,24.00,1.00,3.00,0.00,0.00,0.00,0.00,9.00,0.00,14.00,470.00,,
Andover,-,8,1278.00,685.00,99.00,16.00,11.00,0.00,0.00,0.00,0.00,50.00,0.00,37.00,2176.00,,
Andover,-,9,1232.00,752.00,95.00,22.00,6.00,0.00,0.00,0.00,0.00,49.00,0.00,44.00,2200.00,,
Andover,-,9A,6.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,16.00,,
Aquinnah,-,1,232.00,34.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00,287.00,,
Arlington,-,1,802.00,173.00,20.00,19.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,1048.00,,
Arlington,-,2,1028.00,232.00,43.00,21.00,8.00,0.00,0.00,0.00,0.00,21.00,0.00,17.00,1370.00,,
Arlington,-,3,1049.00,169.00,31.00,37.00,6.00,0.00,0.00,0.00,0.00,19.00,0.00,12.00,1323.00,,
Arlington,-,4,1022.00,195.00,47.00,24.00,3.00,0.00,0.00,0.00,0.00,18.00,0.00,11.00,1320.00,,
Arlington,-,5,932.00,233.00,31.00,33.00,2.00,0.00,0.00,0.00,0.00,18.00,0.00,10.00,1259.00,,
Arlington,-,6,946.00,178.00,25.00,20.00,3.00,0.00,0.00,0.00,0.00,20.00,0.00,14.00,1206.00,,
Arlington,-,7,938.00,173.00,41.00,22.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,15.00,1203.00,,
Arlington,-,8,1169.00,153.00,27.00,32.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,31.00,1424.00,,
Arlington,-,9,813.00,205.00,27.00,29.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,1108.00,,
