City/Town,Ward,Pct,Baker and Polito,Gonzalez and Palfrey,All Others,Blanks,Total Votes Cast
,,,Republican,Democratic,,,
Abington,-,1,984.00,311.00,3.00,45.00,1343.00
Abington,-,2,967.00,330.00,2.00,62.00,1361.00
Abington,-,3,1047.00,325.00,6.00,68.00,1446.00
Abington,-,4,1247.00,350.00,1.00,68.00,1666.00
Abington,-,5,1167.00,370.00,4.00,55.00,1596.00
Acton,-,1,1074.00,649.00,3.00,40.00,1766.00
Acton,-,2,1230.00,666.00,2.00,43.00,1941.00
Acton,-,3,1141.00,732.00,6.00,39.00,1918.00
Acton,-,4,1159.00,790.00,6.00,36.00,1991.00
Acton,-,5,1152.00,707.00,0.00,44.00,1903.00
Acton,-,6,1018.00,597.00,5.00,45.00,1665.00
Acushnet,-,1,882.00,341.00,0.00,46.00,1269.00
Acushnet,-,2,1126.00,338.00,8.00,52.00,1524.00
Acushnet,-,3,1134.00,316.00,4.00,50.00,1504.00
Adams,-,1,294.00,243.00,0.00,11.00,548.00
Adams,-,2,364.00,268.00,0.00,22.00,654.00
Adams,-,3,396.00,241.00,1.00,22.00,660.00
Adams,-,4,325.00,241.00,1.00,7.00,574.00
Adams,-,5,453.00,284.00,0.00,18.00,755.00
Agawam,-,1,974.00,252.00,2.00,25.00,1253.00
Agawam,-,2,1418.00,274.00,3.00,54.00,1749.00
Agawam,-,3,1127.00,281.00,2.00,48.00,1458.00
Agawam,-,4,959.00,249.00,7.00,27.00,1242.00
Agawam,-,5,1389.00,307.00,8.00,56.00,1760.00
Agawam,-,6,1131.00,242.00,7.00,31.00,1411.00
Agawam,-,7,1218.00,258.00,13.00,52.00,1541.00
Agawam,-,8,1320.00,272.00,8.00,46.00,1646.00
Alford,-,1,98.00,158.00,0.00,5.00,261.00
Amesbury,-,1,1077.00,371.00,2.00,31.00,1481.00
Amesbury,-,2,834.00,422.00,4.00,42.00,1302.00
Amesbury,-,3,911.00,409.00,5.00,29.00,1354.00
Amesbury,-,4,750.00,296.00,2.00,30.00,1078.00
Amesbury,-,5,1068.00,311.00,6.00,44.00,1429.00
Amesbury,-,6,750.00,401.00,2.00,29.00,1182.00
Amherst,-,1,234.00,617.00,0.00,24.00,875.00
Amherst,-,2,444.00,828.00,2.00,31.00,1305.00
Amherst,-,3,226.00,452.00,1.00,17.00,696.00
Amherst,-,4,228.00,414.00,0.00,19.00,661.00
Amherst,-,5,337.00,633.00,2.00,22.00,994.00
Amherst,-,6,458.00,985.00,1.00,34.00,1478.00
Amherst,-,7,460.00,940.00,2.00,20.00,1422.00
Amherst,-,8,599.00,1033.00,3.00,33.00,1668.00
Amherst,-,9,327.00,855.00,2.00,27.00,1211.00
Amherst,-,10,241.00,565.00,1.00,20.00,827.00
Andover,-,1,969.00,514.00,4.00,28.00,1515.00
Andover,-,2,1414.00,478.00,7.00,46.00,1945.00
Andover,-,3,1290.00,550.00,5.00,52.00,1897.00
Andover,-,4,1394.00,425.00,8.00,37.00,1864.00
Andover,-,5,1456.00,439.00,4.00,46.00,1945.00
Andover,-,6,1320.00,434.00,7.00,55.00,1816.00
Andover,-,7,1085.00,343.00,4.00,32.00,1464.00
Andover,-,7A,275.00,87.00,2.00,12.00,376.00
Andover,-,8,1297.00,494.00,5.00,46.00,1842.00
Andover,-,9,1393.00,422.00,8.00,46.00,1869.00
Aquinnah,-,1,106.00,156.00,0.00,5.00,267.00
Arlington,-,1,376.00,444.00,2.00,17.00,839.00
Arlington,-,2,601.00,608.00,1.00,33.00,1243.00
Arlington,-,3,470.00,731.00,1.00,25.00,1227.00
Arlington,-,4,414.00,676.00,4.00,26.00,1120.00
Arlington,-,5,497.00,593.00,2.00,24.00,1116.00
Arlington,-,6,439.00,653.00,0.00,25.00,1117.00
Arlington,-,7,450.00,555.00,2.00,30.00,1037.00
Arlington,-,8,508.00,713.00,2.00,48.00,1271.00
Arlington,-,9,533.00,528.00,5.00,31.00,1097.00
Arlington,-,10,521.00,671.00,2.00,33.00,1227.00
Arlington,-,11,664.00,566.00,2.00,28.00,1260.00
Arlington,-,12,677.00,655.00,1.00,34.00,1367.00
Arlington,-,13,774.00,368.00,4.00,29.00,1175.00
Arlington,-,14,497.00,579.00,1.00,31.00,1108.00
Arlington,-,15,630.00,557.00,2.00,38.00,1227.00
Arlington,-,16,573.00,533.00,0.00,33.00,1139.00
Arlington,-,17,456.00,537.00,4.00,36.00,1033.00
Arlington,-,18,733.00,473.00,2.00,53.00,1261.00
Arlington,-,19,619.00,557.00,0.00,26.00,1202.00
Arlington,-,20,527.00,580.00,2.00,32.00,1141.00
Arlington,-,21,557.00,565.00,1.00,31.00,1154.00
Ashburnham,-,1,2087.00,661.00,11.00,90.00,2849.00
Ashby,-,1,1247.00,308.00,0.00,48.00,1603.00
Ashfield,-,1,450.00,586.00,0.00,15.00,1051.00
Ashland,-,1,1008.00,468.00,0.00,31.00,1507.00
Ashland,-,2,1202.00,425.00,0.00,34.00,1661.00
Ashland,-,3,1067.00,434.00,0.00,31.00,1532.00
Ashland,-,4,1040.00,424.00,0.00,31.00,1495.00
Ashland,-,5,1121.00,455.00,0.00,48.00,1624.00
Athol,-,1,1075.00,310.00,6.00,23.00,1414.00
Athol,-,2,981.00,259.00,4.00,21.00,1265.00
Athol,-,3,937.00,267.00,5.00,27.00,1236.00
Attleboro,1,A,848.00,283.00,0.00,0.00,1131.00
Attleboro,1,B,824.00,299.00,0.00,29.00,1152.00
Attleboro,2,A,1093.00,409.00,4.00,22.00,1528.00
Attleboro,2,B,1103.00,419.00,0.00,31.00,1553.00
Attleboro,3,A,943.00,375.00,0.00,17.00,1335.00
Attleboro,3,B,999.00,404.00,0.00,30.00,1433.00
Attleboro,4,A,671.00,366.00,2.00,25.00,1064.00
Attleboro,4,B,1386.00,477.00,0.00,29.00,1892.00
Attleboro,5,A,438.00,326.00,0.00,0.00,764.00
Attleboro,5,B,926.00,443.00,3.00,32.00,1404.00
Attleboro,6,A,853.00,339.00,2.00,25.00,1219.00
Attleboro,6,B,983.00,439.00,2.00,34.00,1458.00
Auburn,-,1,1296.00,302.00,5.00,32.00,1635.00
Auburn,-,2,1235.00,338.00,1.00,33.00,1607.00
Auburn,-,3,1294.00,305.00,4.00,32.00,1635.00
Auburn,-,4,1111.00,302.00,4.00,34.00,1451.00
Auburn,-,5,1089.00,297.00,0.00,30.00,1416.00
Avon,-,1,1339.00,538.00,3.00,70.00,1950.00
Ayer,-,1,1152.00,451.00,9.00,43.00,1655.00
Ayer,-,2,1244.00,476.00,2.00,35.00,1757.00
