City/Town,Ward,Pct,Republican,Democratic,Falchuk/ Jennings,Lively/ Saunders,Mccormick/ Post,All Others,Blanks,Total Votes Cast
Abington,-,1,601.00,379.00,56.00,13.00,8.00,2.00,9.00,1068.00
Abington,-,2,617.00,402.00,44.00,6.00,10.00,0.00,7.00,1086.00
Abington,-,3,679.00,426.00,34.00,11.00,10.00,0.00,12.00,1172.00
Abington,-,4,790.00,457.00,30.00,10.00,5.00,2.00,10.00,1304.00
Abington,-,5,772.00,441.00,39.00,10.00,12.00,0.00,9.00,1283.00
Acton,-,1,543.00,641.00,33.00,4.00,7.00,3.00,13.00,1244.00
Acton,-,2,701.00,655.00,45.00,3.00,11.00,1.00,10.00,1426.00
Acton,-,3,693.00,860.00,45.00,14.00,11.00,2.00,15.00,1640.00
Acton,-,4,639.00,891.00,47.00,8.00,10.00,4.00,12.00,1611.00
Acton,-,5,590.00,842.00,42.00,6.00,9.00,4.00,13.00,1506.00
Acton,-,6,610.00,645.00,30.00,4.00,11.00,1.00,8.00,1309.00
Acushnet,-,1,413.00,498.00,27.00,28.00,14.00,1.00,19.00,1000.00
Acushnet,-,2,561.00,462.00,22.00,25.00,20.00,1.00,18.00,1109.00
Acushnet,-,3,526.00,423.00,22.00,37.00,12.00,0.00,16.00,1036.00
Adams,-,1,109.00,263.00,13.00,4.00,3.00,0.00,3.00,395.00
Adams,-,2,135.00,298.00,12.00,8.00,4.00,0.00,3.00,460.00
Adams,-,3,124.00,285.00,4.00,7.00,6.00,0.00,5.00,431.00
Adams,-,4,94.00,291.00,6.00,4.00,7.00,0.00,4.00,406.00
Adams,-,5,138.00,370.00,13.00,4.00,13.00,0.00,8.00,546.00
Agawam,-,1,543.00,339.00,113.00,20.00,14.00,0.00,17.00,1046.00
Agawam,-,2,937.00,419.00,131.00,33.00,17.00,1.00,30.00,1568.00
Agawam,-,3,649.00,390.00,88.00,20.00,21.00,1.00,30.00,1199.00
Agawam,-,4,584.00,339.00,82.00,24.00,10.00,1.00,19.00,1059.00
Agawam,-,5,812.00,481.00,109.00,22.00,20.00,2.00,23.00,1469.00
Agawam,-,6,711.00,343.00,100.00,29.00,15.00,2.00,28.00,1228.00
Agawam,-,7,797.00,386.00,98.00,31.00,11.00,2.00,34.00,1359.00
Agawam,-,8,745.00,451.00,116.00,27.00,15.00,1.00,21.00,1376.00
Alford,-,1,55.00,148.00,1.00,1.00,1.00,0.00,3.00,209.00
Amesbury,-,1,630.00,489.00,35.00,7.00,5.00,2.00,16.00,1184.00
Amesbury,-,2,420.00,437.00,38.00,10.00,11.00,3.00,7.00,926.00
Amesbury,-,3,534.00,450.00,50.00,4.00,5.00,2.00,14.00,1059.00
Amesbury,-,4,423.00,382.00,27.00,5.00,20.00,2.00,11.00,870.00
Amesbury,-,5,615.00,368.00,31.00,7.00,6.00,0.00,10.00,1037.00
Amesbury,-,6,393.00,404.00,45.00,9.00,5.00,0.00,13.00,869.00
Amherst,-,1,75.00,412.00,23.00,4.00,3.00,2.00,15.00,534.00
Amherst,-,2,191.00,770.00,46.00,6.00,7.00,5.00,12.00,1037.00
Amherst,-,3,85.00,333.00,21.00,2.00,3.00,0.00,6.00,450.00
Amherst,-,4,87.00,272.00,10.00,7.00,2.00,1.00,8.00,387.00
Amherst,-,5,99.00,568.00,21.00,5.00,0.00,1.00,17.00,711.00
