,DESCRIPTION
0,FIRST NIGHT
1,FIRST NIGHT
2,FIRST NIGHT
3,FIRST NIGHT
4,FIRST NIGHT
5,FIRST NIGHT
6,FIRST NIGHT
7,FIRST NIGHT
8,FIRST NIGHT
9,FIRST NIGHT
10,FIRST NIGHT
11,FIRST NIGHT
12,FIRST NIGHT
13,FIRST NIGHT
14,FIRST NIGHT
15,FIRST NIGHT
16,FIRST NIGHT
17,FIRST NIGHT
18,FIRST NIGHT
19,SECRETARY OF STATE
20,BFS EVENT/ACTIVITY
21,NSTAR POWER OUTAGE
22,LNG SECURITY
23,BFS EVENT/ACTIVITY
24,BFS EVENT/ACTIVITY
25,CARIBBEAN CARNIVAL
26,BFS EVENT/ACTIVITY
27,BFS EVENT/ACTIVITY
28,LNG SECURITY
29,SECRETARY OF STATE
30,SECRETARY OF STATE
31,SECRETARY OF STATE
32,BFS EVENT/ACTIVITY
33,BFS EVENT/ACTIVITY
34,BFS EVENT/ACTIVITY
35,LNG SECURITY
36,LNG SECURITY
37,LNG SECURITY
38,BAA BOSTON MARATHON
39,STATE OF THE CITY AD
40,LNG SECURITY
41,LNG SECURITY
42,LNG SECURITY
43,STATE OF THE CITY AD
44,STATE OF THE CITY AD
45,STATE OF THE CITY AD
46,STATE OF THE CITY AD
47,STATE OF THE CITY AD
48,STATE OF THE CITY AD
49,STATE OF THE CITY AD
50,STATE OF THE CITY AD
51,STATE OF THE CITY AD
52,STATE OF THE CITY AD
53,LNG SECURITY
54,LNG SECURITY
55,LNG SECURITY
56,LNG SECURITY
57,BFS EVENT/ACTIVITY
58,BFS EVENT/ACTIVITY
59,BFS EVENT/ACTIVITY
60,BFS EVENT/ACTIVITY
61,STATE OF THE CITY AD
62,LNG SECURITY
63,LNG SECURITY
64,LNG SECURITY
65,LNG SECURITY
66,LNG SECURITY
67,LNG SECURITY
68,LNG SECURITY
69,BFS EVENT/ACTIVITY
70,BFS EVENT/ACTIVITY
71,LNG SECURITY
72,LNG SECURITY
73,CHINESE NEW YEAR
74,CHINESE NEW YEAR
75,BFS EVENT/ACTIVITY
76,BFS EVENT/ACTIVITY
77,LNG SECURITY
78,LNG SECURITY
79,LNG SECURITY
80,LNG SECURITY
81,LNG SECURITY
82,LNG SECURITY
83,LNG SECURITY
84,LNG SECURITY
85,LNG SECURITY
86,LNG SECURITY
87,B2 COMMUNITY EVENT
88,B2 COMMUNITY EVENT
89,B2 COMMUNITY EVENT
90,B2 COMMUNITY EVENT
91,B2 COMMUNITY EVENT
92,BFS EVENT/ACTIVITY
93,BFS EVENT/ACTIVITY
94,LNG SECURITY
95,LNG SECURITY
96,LNG SECURITY
97,LNG SECURITY
98,LNG SECURITY
99,BFS EVENT/ACTIVITY
100,BAA BOSTON MARATHON
101,BAA BOSTON MARATHON
102,LNG SECURITY
