0,year,clean_sweep,community_event,emergency,holiday,lng_security,mass_melnea,parade/festival,political,protest,race,sporting_event,sports_parade,td_garden,uncategorized
1,2015,0,8404.5,0,18431,1348.5,0,23098.25,19460,2058,19967.75,16579,0,0,3295.5
2,2016,0,5614.75,18,18889,1709.5,0,23109,2700.25,6,18433.5,101.75,85.25,0,4168.75
3,2017,0,2886,0,18178,1773.75,0,44064.75,351,0,16436.75,16572,7.5,0,3003.25
4,2018,0,2399.25,0,19122.25,1199.5,0,19210.25,937.75,0,17774.5,27340,0,0,5570.5
5,2019,8.5,6605,0,18208.25,683.25,17745.25,19887.25,413.5,0,16069.25,31863.5,99.75,337.75,11066.5
6,2020,0,0,0,12218.75,681.5,40968.5,1127,203.25,0,28,858.5,0,347.75,7962
