,YEAR,NUMBER,PERCENT_INCREASE
0,2015,37,0
1,2016,83,124.32
2,2017,87,4.82
3,2018,113,29.88
4,2019,61,-46.01
5,2020,196,221.31
6,2021,77,-60.71
