Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
18,2020-01-01 01:06:35.089364+00:00,b'`\xed8\xc8',26.11265031593509,12.167,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
613,2020-01-01 01:06:00.163215+00:00,b'`\xed8\xc8',45.11956444666247,12.529,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1205,2020-01-02 17:13:26.517790+00:00,b'k\x01\xe6j',62.88864444027384,9.713,Belmont,42.3935,-71.1836,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1450,2020-01-02 01:29:49.466012+00:00,b'\x18\x93\xea\x8e',2.7674351353878226,20.71,Belmont,42.3935,-71.1836,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1639,2020-01-02 20:57:27.257179+00:00,b'\x8d\x9aD\xbc',189.0404687442571,8.529,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1925,2020-01-03 17:10:59.282998+00:00,b'L\x13)}',4.142161422040461,22.464,Belmont,42.3935,-71.1836,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2078,2020-01-03 20:37:31.915732+00:00,b'l\x07\xc3h',92.64467563805609,8.087,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2121,2020-01-03 17:11:34.821993+00:00,b'L\x13)}',7.847191848093147,23.625,Belmont,42.3935,-71.1836,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2150,2020-01-03 20:39:32.924182+00:00,b'l\x07H\xf9',11.959497884929934,12.526,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2394,2020-01-03 01:09:11.583764+00:00,b'IDBv',4.866518080109342,20.817,Belmont,42.3935,-71.1836,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2489,2020-01-03 20:40:42.411639+00:00,b'l\x07H\xf9',0.339114017424371,15.093,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2569,2020-01-04 20:36:15.012815+00:00,b'l\x07\xc3h',92.45019205356866,9.746,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2702,2020-01-04 20:36:03.509373+00:00,b'Jh\x9a[',112.72604240905127,9.851,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2995,2020-01-04 17:22:58.822286+00:00,b'l\x07I\xdc',89.34100323345278,9.78,Belmont,42.3935,-71.1836,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
