Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
22632,2020-01-26 20:34:28.206188+00:00,b'&\x01\x01\x8f\x07\x02\x8a\xc0dx\xf7U)\x93\x1d\xdd',2.9547131139772307,24.98,Littleton,42.5374,-71.4842,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23024,2020-01-26 20:35:01.653401+00:00,b'&\x01\x01\x8f\x07\x02\x8a\xc0dx\xf7U)\x93\x1d\xdd',7.110184689764553,25.573,Littleton,42.5374,-71.4842,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23423,2020-01-27 01:01:37.459819+00:00,"b'G\xb8\xc1""'",494.5854821073081,12.184,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
23767,2020-01-27 01:04:58.042063+00:00,"b'G\xb8\xc1""'",524.0686965926242,10.103,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
25313,2020-01-29 20:59:37.177410+00:00,b'\xadLz\x93',88.1164630818324,39.388,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29407,2020-02-03 17:17:25.507446+00:00,b'\xadL{\xd8',8.245350338966166,19.683,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29500,2020-02-03 17:15:42.166061+00:00,b'\xadL{\xd8',39.483752408785925,16.773,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29574,2020-02-03 17:24:17.167258+00:00,b'\xadL{\xd8',34.28361793330839,16.212,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29727,2020-02-03 17:16:09.893415+00:00,b'\xadL{\xd8',1.9701179689145063,17.465,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29741,2020-02-03 17:25:28.083964+00:00,b'\xadL{\xd8',34.0811817757555,16.296,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
30109,2020-02-03 17:15:16.602966+00:00,b'\xadL{\xd8',27.64043582834722,16.891,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
30126,2020-02-03 17:25:06.994440+00:00,b'\xadL{\xd8',55.86569242560125,15.423,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
30204,2020-02-03 17:25:02.546571+00:00,b'\xadL{\xd8',36.047033727826026,17.23,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
31078,2020-02-04 20:30:51.026383+00:00,b'\xadL|\x8b',41.43019418051532,12.242,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
32860,2020-02-06 13:16:07.236576+00:00,b'l\x14\xea\xa7',79.72687132777125,14.968,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
33624,2020-02-07 20:49:40.229225+00:00,b'd-W\xcb',5.056433618126783,36.938,Littleton,42.5374,-71.4842,14654.0,"WAYPORT - Wayport, Inc."
34206,2020-02-08 01:02:28.418366+00:00,b'\xadLy(',356.3222361761081,8.433,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
34903,2020-02-09 17:10:03.527962+00:00,b'l\x14\xea\xe9',392.9748813940028,9.778,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
34997,2020-02-09 17:28:53.706655+00:00,b'\xadL(\x85',74.4281958824812,14.882,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
35162,2020-02-09 17:26:25.907876+00:00,b'\xadL(\x85',76.48913783224795,14.837,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
35450,2020-02-09 17:09:37.968608+00:00,b'l\x14\xea\xe9',402.75867435381934,8.925,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
36279,2020-02-10 01:12:01.576332+00:00,b'G\xb8\xc1u',77.36463977867513,16.874,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
