Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
230050,2020-06-28 19:46:46.903352+00:00,b'\xadLe1',6.824817309656844,11.427,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230218,2020-06-28 19:43:25.154256+00:00,b'\xadLe1',2.14496774177144,11.156,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230264,2020-06-28 00:10:56.352305+00:00,b'\xadLd\n',85.40609035235025,7.887,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230278,2020-06-28 00:21:59.547331+00:00,b'`\xed\xa6\xe6',374.43281786658,8.987,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230737,2020-06-29 00:10:56.475332+00:00,b'\xadLd\n',107.46989952390588,8.375,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230801,2020-06-29 16:04:46.435125+00:00,b'`\xed\xa6\xe6',358.39526198488403,8.983,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230839,2020-06-29 16:15:49.268073+00:00,b'`\xed\xe9\xfc',150.98575033010235,10.383,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231041,2020-06-29 19:45:19.605133+00:00,b'\xadLiN',105.17217638622792,11.727,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231051,2020-06-29 00:11:04.290604+00:00,b'`\xed\xa6\xe6',406.0111683396633,8.973,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231074,2020-06-29 12:10:56.354975+00:00,b'\xadLd\n',130.69704401529577,7.752,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231283,2020-06-29 12:20:45.214496+00:00,b'b\xe5\xb0\x92',4.382082574532213,16.797,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
231316,2020-06-29 00:01:43.548002+00:00,b'\xadLk]',460.5377976220546,7.961,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231796,2020-06-29 12:21:13.053617+00:00,b'bv\x04\x90',445.6447821555551,8.382,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
231807,2020-06-29 12:18:32.654827+00:00,b'`\xed\xeb\xdc',155.95853996759072,8.116,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232053,2020-06-29 00:24:55.485964+00:00,b'\xadLbK',30.021525296310344,13.969,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232123,2020-06-29 16:09:37.827339+00:00,b'`\xed\xe9*',145.70688408143198,10.769,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232138,2020-06-29 00:18:32.908709+00:00,b'`\xed\xeb\xdc',155.03576794124962,7.98,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232321,2020-06-29 12:16:48.013056+00:00,b'\xadLe\x83',2.829745283873266,11.947,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232350,2020-06-29 12:21:08.920683+00:00,b'b\xe5\xb0\x92',3.051662688901342,13.759,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
232523,2020-06-30 12:26:17.652944+00:00,b'b\xe5\xb0\x92',4.825587078566086,16.766,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
232583,2020-06-30 00:11:26.859015+00:00,b'b\xe5\xb0\x92',2.9552045257007635,15.958,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
232876,2020-06-30 16:15:04.850972+00:00,b'\xadLb\xf0',20.103850254512576,9.725,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232912,2020-06-30 12:10:56.401229+00:00,b'\xadLd\n',101.46944610004424,7.884,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232969,2020-06-30 12:02:31.379696+00:00,"b""\xadLb'""",48.96454378473874,19.272,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
232990,2020-06-30 00:22:43.107819+00:00,b'`\xed\xa6\xe6',364.6051114416568,8.884,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233096,2020-06-30 12:17:33.953400+00:00,b'bv\x040',396.20914839278254,13.598,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233395,2020-06-30 19:35:26.756714+00:00,b'\xadLk]',459.71545726587897,7.095,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233488,2020-06-30 00:18:32.232945+00:00,b'`\xed\xeb\xdc',155.4506307531506,10.054,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233503,2020-06-30 12:01:52.079130+00:00,b'\xadL\xf8:',80.71649624269158,9.521,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233853,2020-06-30 12:26:40.857589+00:00,b'b\xe5\xb0\x92',3.25390980753124,15.952,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
