City/Town,Ward,Pct,Ayanna S. Pressley,Michael E. Capuano,All Others,Blanks,Total Votes Cast
Boston,1,1,212,129,0,12,353
Boston,1,2,121,64,1,8,194
Boston,1,3,276,192,2,22,492
Boston,1,4,73,67,1,2,143
Boston,1,5,115,108,2,5,230
Boston,1,6,129,66,1,5,201
Boston,1,7,108,74,1,4,187
Boston,1,8,141,120,0,8,269
Boston,1,9,110,87,0,10,207
Boston,1,10,61,56,0,7,124
Boston,1,11,123,178,1,17,319
Boston,1,12,108,185,1,17,311
Boston,1,13,125,184,0,22,331
Boston,1,14,57,107,1,6,171
Boston,1,15,0,0,0,0,0
Boston,2,1,205,330,0,14,549
Boston,2,2,219,315,2,20,556
Boston,2,3,182,213,1,5,401
Boston,2,4,140,156,1,17,314
Boston,2,5,154,225,3,6,388
Boston,2,6,177,307,0,15,499
Boston,2,7,142,251,0,10,403
Boston,3,7,518,396,1,16,931
Boston,3,8,623,441,4,40,"1,108"
Boston,4,1,257,252,0,9,518
Boston,4,2,316,317,0,26,659
Boston,4,3,192,152,2,10,356
Boston,4,4,247,201,0,17,465
Boston,4,5,175,163,1,15,354
Boston,4,6,126,89,1,10,226
Boston,4,7,128,104,0,5,237
Boston,4,8,126,99,0,14,239
Boston,4,9,67,28,1,1,97
Boston,4,10,56,17,0,1,74
Boston,5,1,601,409,2,39,"1,051"
Boston,5,2,182,115,0,7,304
Boston,5,2A,115,76,0,7,198
Boston,5,6,150,168,0,8,326
Boston,5,7,182,211,1,7,401
Boston,5,8,197,184,0,7,388
Boston,5,9,227,209,0,7,443
Boston,5,10,133,117,0,11,261
Boston,7,10,170,80,1,58,309
Boston,8,1,184,115,1,18,318
Boston,8,2,295,196,2,18,511
Boston,8,3,156,55,0,10,221
Boston,8,4,119,25,0,9,153
Boston,8,5,203,87,3,68,361
Boston,8,6,70,30,0,27,127
Boston,8,7,124,39,0,8,171
Boston,9,1,286,175,1,44,506
Boston,9,2,353,185,0,28,566
Boston,9,3,487,208,1,57,753
Boston,9,4,192,109,4,10,315
Boston,9,5,422,110,1,20,553
