City/Town,Ward,Pct,Ayanna S. Pressley,Michael E. Capuano,All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,1,1,212,129,0,12,353,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.203261503,0.4076878276,2.853814793,0.2329644729,10.07571345,3.494467094,29.29528247,79.73209086
Boston,1,2,121,64,1,8,194,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.945436987,0.1448575567,2.028005794,0,16.94833414,4.538870111,51.81071946,73.39449541
Boston,1,3,276,192,2,22,492,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488833,0.3145643284,7.172066688,0,15.53947782,5.662157911,41.33375275,62.56684492
Boston,1,4,73,67,1,2,143,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.025477707,0.6369426752,2.016985138,0.05307855626,29.45859873,6.581740977,63.85350318,58.22717622
Boston,1,5,115,108,2,5,230,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.666204986,0.7617728532,2.631578947,0.1731301939,31.02493075,5.297783934,57.61772853,57.44459834
Boston,1,6,129,66,1,5,201,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288393,0.6382130036,2.433187076,0.03988831272,29.87634623,4.547267651,58.99481452,59.35380933
Boston,1,7,108,74,1,4,187,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.522613065,0.4606365159,3.015075377,0,27.30318258,5.778894472,60.76214405,58.91959799
Boston,1,8,141,120,0,8,269,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.100620262,0.6202618884,6.581667815,0,24.91385252,5.203308063,57.51206065,58.58028946
Boston,1,9,110,87,0,10,207,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.020134228,0.3835091083,1.96548418,0,23.77756472,4.362416107,58.29338447,66.49089166
Boston,1,10,61,56,0,7,124,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.309344791,0.4296455424,3.437164339,0.0537056928,25.4027927,5.209452202,62.56713212,63.15789474
Boston,1,11,123,178,1,17,319,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.902277737,0.4775900073,3.19617928,0.07347538575,12.3806025,2.314474651,33.90889052,78.65540044
Boston,1,12,108,185,1,17,311,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.800327332,0.545553737,2.673213312,0,9.547190398,2.727768685,25.96835788,82.70594654
Boston,1,13,125,184,0,22,331,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.612804878,0.381097561,3.772865854,0,14.93902439,4.00152439,41.88262195,68.29268293
Boston,1,14,57,107,1,6,171,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.56097561,0.1219512195,4.512195122,0.1219512195,3.536585366,1.707317073,17.68292683,87.43902439
Boston,1,15,0,0,0,0,0,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.94339623,0.3773584906,1.320754717,0.1886792453,14.71698113,3.20754717,24.52830189,39.24528302
Boston,2,1,205,330,0,14,549,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.650887574,0,3.017751479,0.05917159763,0.8875739645,0.3550295858,2.130177515,95.0295858
Boston,2,2,219,315,2,20,556,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.87621098,0.2960172228,16.20021529,0.1883745963,5.920344456,2.341227126,14.53175457,65.17761033
Boston,2,3,182,213,1,5,401,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.4237288136,0.181598063,1.452784504,0,0.3631961259,1.089588378,1.634382567,96.48910412
Boston,2,4,140,156,1,17,314,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.059711736,0.3431708991,10.02059025,0,6.177076184,3.019903912,15.78586136,71.37954701
Boston,2,5,154,225,3,6,388,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.3745318352,0,1.373283396,0.06242197253,0.1872659176,0.5617977528,1.123595506,97.44069913
Boston,2,6,177,307,0,15,499,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.755926251,0.1316944688,7.067603161,0.04389815628,1.273046532,1.316944688,4.12642669,88.41088674
Boston,2,7,142,251,0,10,403,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317145,0,4.635761589,0,0.3679175865,0.6622516556,2.060338484,92.42089772
Boston,3,7,518,396,1,16,931,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.897241205,0.2531004809,15.92002025,0,2.429764617,1.822323462,6.631232599,73.67754999
Boston,3,8,623,441,4,40,"1,108",7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.820355453,0.05114435494,46.00434727,0.05114435494,1.31696714,1.91791331,4.935430252,45.83812812
Boston,4,1,257,252,0,9,518,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.480855296,0.1989060169,6.414719045,0,1.740427648,1.839880656,5.072103431,86.32521134
Boston,4,2,316,317,0,26,659,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.0419026,0.2265005663,13.25028313,0,1.528878822,2.010192525,6.002265006,71.94224236
Boston,4,3,192,152,2,10,356,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.7816006,0.1495886313,6.058339566,0,2.019446522,2.318623785,6.955871354,73.6724009
Boston,4,4,247,201,0,17,465,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.86879433,0.2216312057,6.338652482,0.04432624113,2.393617021,3.102836879,8.820921986,72.03014184
Boston,4,5,175,163,1,15,354,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,9.955976973,0.1693193363,15.17101253,0.03386386725,1.591601761,2.031832035,7.28073146,71.0463935
Boston,4,6,126,89,1,10,226,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.407526021,0.3602882306,17.4939952,0,3.362690152,3.763010408,10.56845476,65.61248999
