Town,AverageMaxDown,AverageMaxUp,Non-Hispanic,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian and Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian/Other Pacific Islander,Non-Hispanic Some Other Races,Non-Hispanic Two or More Races,Hispanic/Latino
ABINGTON,316.49,141.37,97.81,88.89,1.52,0.0,3.89,0.0,0.98,2.54,2.19
ACUSHNET CENTER,207.52,30.63,95.95,88.68,0.11,0.0,1.43,0.0,2.65,3.09,4.05
ADAMS,216.09,9.17,98.89,96.31,0.68,0.04,0.63,0.0,0.12,1.1,1.11
AGAWAM TOWN,188.94,7.52,94.4,89.28,1.78,0.02,2.04,0.0,0.0,1.27,5.6
AMESBURY TOWN,178.74,7.03,97.32,92.45,0.63,0.09,0.89,0.0,0.15,3.11,2.68
AMHERST CENTER,172.43,7.37,93.46,71.55,5.89,0.25,11.33,0.12,0.13,4.2,6.54
ANDOVER,273.03,119.54,96.63,80.41,3.22,0.03,10.76,0.0,0.05,2.14,3.37
ARLINGTON,394.22,123.11,95.01,76.77,2.69,0.03,11.54,0.0,0.24,3.74,4.99
ATHOL,247.04,9.72,95.07,91.44,0.49,0.07,0.92,0.0,0.0,2.15,4.93
ATTLEBORO,194.69,8.92,92.25,82.03,3.25,0.03,4.8,0.0,0.07,2.08,7.75
AYER,165.92,7.26,94.28,84.71,3.34,0.0,4.52,0.0,0.31,1.4,5.72
BALDWINVILLE,174.01,6.88,97.55,94.59,0.02,0.28,2.2,0.0,0.0,0.46,2.45
BARNSTABLE TOWN,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARRE,232.8,9.28,98.39,94.53,2.08,0.0,0.7,0.0,0.0,1.08,1.61
BELCHERTOWN,241.71,10.22,98.61,93.25,0.59,0.0,3.33,0.0,0.27,1.17,1.39
BELLINGHAM,306.44,138.96,96.86,91.1,1.97,0.0,1.6,0.0,0.13,2.06,3.14
BELMONT,328.62,143.48,94.93,74.53,1.38,0.14,15.85,0.01,0.21,2.81,5.07
BEVERLY,201.28,8.06,93.68,88.45,1.54,0.06,1.82,0.0,0.14,1.67,4.27
BLANDFORD,83.39,4.41,98.46,96.3,0.38,0.11,0.14,0.0,0.15,1.37,1.54
BLISS CORNER,187.32,7.86,99.0,94.75,0.24,0.0,2.89,0.0,0.27,0.85,1.0
BOSTON,315.89,107.24,79.16,43.56,28.13,0.17,4.33,0.0,0.53,2.44,17.15
BOXFORD,286.46,122.86,98.85,92.77,0.0,0.0,2.36,0.0,0.0,3.72,1.15
BRAINTREE TOWN,290.8,118.11,97.94,80.5,3.04,0.09,12.25,0.0,0.41,1.65,2.06
BRIDGEWATER,187.13,7.94,97.29,84.87,7.79,0.05,2.42,0.03,0.64,1.49,2.71
BROCKTON,198.38,7.85,89.49,37.36,39.06,0.21,1.77,0.0,8.25,2.84,10.51
BROOKFIELD,233.88,9.32,100.0,90.67,1.25,0.0,1.49,0.0,1.02,5.57,0.0
BROOKLINE,267.51,31.66,91.88,69.18,3.18,0.04,15.11,0.02,0.31,4.03,8.12
BURLINGTON,347.74,116.46,97.6,74.05,4.57,0.1,16.23,0.15,0.19,2.3,2.4
CAMBRIDGE,170.11,36.53,91.05,62.37,9.87,0.11,15.1,0.06,0.33,3.2,8.95
CHELSEA,171.55,36.4,35.26,22.68,7.02,0.0,2.82,0.0,0.52,2.22,64.74
CHESHIRE,213.8,9.13,96.94,95.71,0.32,0.16,0.0,0.0,0.0,0.76,3.06
CHICOPEE,231.66,9.24,80.47,72.19,4.25,0.13,2.25,0.0,0.04,1.61,19.53
CLINTON,182.13,7.18,83.85,79.59,0.69,0.0,1.13,0.0,0.81,1.62,16.15
CONCHITUATE,348.58,143.07,95.77,80.95,1.39,0.0,11.19,0.37,0.26,1.61,4.23
CORDAVILLE,353.22,118.52,97.01,80.61,1.51,0.0,13.06,0.0,0.5,1.34,2.99
DANVERS,294.1,132.13,96.26,90.87,1.77,0.05,1.79,0.0,0.03,1.75,3.74
DEDHAM,346.49,116.25,91.14,78.07,7.36,0.15,2.94,0.04,0.66,1.92,8.86
DEVENS,175.39,13.42,91.74,77.71,6.29,0.38,4.31,0.0,0.54,2.49,8.26
DOVER,322.58,140.98,96.18,81.94,1.52,0.0,9.79,0.0,0.0,2.92,3.82
DUXBURY,308.12,140.52,99.16,97.46,0.31,0.0,1.21,0.0,0.0,0.17,0.84
EAST BROOKFIELD,244.81,9.71,98.24,96.99,0.93,0.32,0.0,0.0,0.0,0.0,1.76
EAST DOUGLAS,254.62,10.78,95.19,90.51,0.13,0.0,2.35,0.0,0.19,2.01,4.81
EAST PEPPERELL,232.16,9.23,94.43,87.77,2.2,0.0,1.89,0.0,0.57,2.01,5.57
EASTHAMPTON TOWN,235.03,9.34,95.25,89.05,2.2,0.0,1.96,0.0,0.0,2.04,4.75
ESSEX,182.46,12.99,99.46,98.71,0.0,0.0,0.0,0.0,0.0,0.75,0.54
EVERETT,272.11,21.88,72.41,44.96,17.35,0.01,6.27,0.01,1.29,2.52,27.59
FALL RIVER,186.09,7.42,90.77,79.23,4.45,0.03,2.37,0.0,0.88,3.8,9.23
FISKDALE,251.75,9.94,97.28,92.13,0.6,0.0,3.55,0.0,0.0,1.0,2.72
FITCHBURG,300.96,133.22,73.25,63.23,3.7,0.34,3.9,0.0,0.08,1.99,26.75
FOXBOROUGH,288.43,122.59,95.94,89.33,3.53,0.0,1.95,0.0,0.0,1.13,4.06
FRAMINGHAM,370.84,120.85,86.59,67.29,5.88,0.41,8.52,0.0,2.11,2.38,13.41
FRANKLIN TOWN,325.56,145.76,97.66,88.67,0.89,0.0,5.54,0.01,0.19,2.36,2.34
GARDNER,172.74,6.83,91.3,84.57,2.09,0.03,1.51,0.0,0.26,2.83,8.7
GLOUCESTER,179.46,8.65,98.12,94.14,1.28,0.0,1.49,0.0,0.26,0.94,1.88
GRANBY,210.1,8.17,94.28,92.25,0.0,0.0,0.28,0.0,0.81,0.95,5.72
GREAT BARRINGTON,205.86,9.6,90.88,83.68,4.26,0.1,1.26,0.0,0.0,1.57,9.12
GREEN HARBOR-CEDAR CREST,332.98,148.47,99.45,95.71,0.0,0.0,0.0,0.0,3.05,0.7,0.55
GROTON,338.96,121.01,98.39,90.39,0.07,0.07,4.65,0.0,0.11,3.08,1.61
HANSON,227.11,19.78,99.66,94.66,1.2,0.0,2.18,0.0,0.17,1.45,0.34
HATFIELD,166.46,6.58,98.27,95.93,0.39,0.0,1.15,0.0,0.27,0.52,1.73
HAVERHILL,189.1,7.4,83.16,76.38,2.48,0.05,1.64,0.0,0.08,2.54,16.84
HINGHAM,287.68,126.65,98.64,97.0,0.29,0.0,0.89,0.0,0.11,0.35,1.36
HOLBROOK,334.8,148.73,94.82,77.44,11.68,0.0,4.42,0.0,0.2,1.08,5.18
HOLLAND,218.63,8.55,96.22,94.8,0.56,0.06,0.0,0.0,0.0,0.79,3.78
HOLYOKE,173.91,6.89,50.71,44.9,3.28,0.2,1.24,0.0,0.15,0.94,49.29
HOPEDALE,329.3,147.05,97.8,96.08,0.64,0.0,0.42,0.0,0.3,0.35,2.2
HOPKINTON,322.86,143.56,97.91,84.04,2.44,0.27,9.81,0.0,0.07,1.29,2.09
HUDSON,303.98,130.19,93.9,88.3,1.17,0.0,2.49,0.0,0.1,1.83,6.1
HULL,318.58,139.49,97.74,94.23,0.47,0.0,1.33,0.0,0.0,1.72,2.26
HUNTINGTON,158.2,6.91,98.91,91.85,2.32,0.59,0.0,0.44,0.25,3.46,1.09
IPSWICH,264.63,111.5,96.9,92.68,1.95,0.0,0.67,0.0,0.0,1.61,3.1
KINGSTON,298.74,129.39,98.19,94.76,1.26,0.0,0.34,0.0,0.21,1.64,1.81
LAWRENCE,313.94,139.31,21.07,15.51,2.27,0.02,2.54,0.0,0.48,0.24,78.93
LEE,219.89,9.41,98.19,89.24,1.6,0.12,3.35,0.0,3.35,0.54,1.81
LENOX,215.72,9.29,95.64,91.58,2.27,0.0,1.0,0.0,0.0,0.78,4.36
LEOMINSTER,304.06,134.24,78.88,67.66,5.53,0.06,2.6,0.0,0.91,2.13,21.12
LEXINGTON,353.73,115.81,97.93,64.91,0.89,0.08,28.53,0.0,0.71,2.82,2.07
LITTLETON COMMON,308.07,137.44,98.68,88.82,0.11,0.0,5.65,0.0,0.0,4.1,1.32
LONGMEADOW,185.17,7.28,94.74,85.98,0.64,0.0,6.61,0.0,0.01,1.49,5.26
LOWELL,191.58,8.55,82.24,51.46,6.7,0.47,21.32,0.01,0.67,1.63,17.76
LUNENBURG,254.15,66.26,94.43,88.16,2.19,0.0,2.02,0.0,0.0,2.06,5.57
LYNN,311.44,138.63,61.36,40.18,10.47,0.3,7.2,0.02,0.64,2.55,38.64
LYNNFIELD,305.04,133.07,97.71,88.94,1.32,0.0,5.25,0.0,0.0,2.2,2.29
MADAKET,99.43,5.02,98.43,97.65,0.0,0.0,0.78,0.0,0.0,0.0,1.57
MALDEN,292.67,139.85,91.38,47.73,15.49,0.03,24.25,0.03,1.0,2.84,8.62
MANSFIELD CENTER,274.08,117.76,95.78,86.43,2.8,0.0,4.32,0.0,0.43,1.8,4.22
MARBLEHEAD,335.05,147.71,95.35,91.5,1.18,0.0,1.6,0.0,0.26,0.8,4.65
MARION CENTER,282.99,127.28,98.22,87.29,1.57,0.0,0.76,0.0,4.86,3.73,1.78
MARLBOROUGH,304.84,131.48,86.47,72.97,2.78,0.0,6.39,0.0,2.34,2.0,13.53
MARSHFIELD,317.58,139.55,99.54,95.37,0.0,0.0,1.52,0.68,0.19,1.78,0.46
MARSHFIELD HILLS,326.71,145.97,97.08,92.49,0.19,0.42,0.94,0.0,1.77,1.28,2.92
MATTAPOISETT CENTER,312.22,142.67,97.74,94.28,0.0,0.0,0.13,0.0,0.81,2.53,2.26
MAYNARD,293.15,126.66,97.34,91.55,1.28,0.0,2.61,0.0,0.47,1.42,2.66
MEDFIELD,324.35,144.88,97.89,91.17,0.93,0.0,4.9,0.0,0.0,0.87,2.11
MEDFORD,293.32,144.67,94.7,72.48,8.95,0.04,9.7,0.04,0.81,2.69,5.3
MELROSE,344.02,154.21,96.24,85.97,2.59,0.0,5.92,0.0,0.0,1.76,3.76
METHUEN TOWN,310.65,137.46,71.89,63.53,2.37,0.0,3.73,0.0,0.39,1.87,28.11
MIDDLEBOROUGH CENTER,296.28,131.13,96.41,88.42,2.54,0.0,0.38,0.0,0.9,4.17,3.59
MILFORD,297.47,128.3,87.54,77.42,2.25,0.04,3.01,0.0,3.68,1.14,12.46
MILLIS-CLICQUOT,317.48,144.71,95.32,91.14,2.1,0.0,1.37,0.0,0.72,0.0,4.68
MILTON,242.86,10.44,97.04,74.38,12.87,0.21,6.8,0.0,0.15,2.64,2.96
MONSON CENTER,203.64,7.93,98.08,95.43,0.81,0.0,0.6,0.0,0.11,1.12,1.92
NAHANT,344.17,148.4,98.4,95.19,1.0,0.0,1.4,0.0,0.0,0.8,1.6
NANTUCKET,150.85,6.68,97.99,90.46,4.34,0.15,1.36,0.13,0.11,1.44,2.01
NEEDHAM,372.56,127.71,96.91,82.49,3.23,0.08,8.83,0.0,0.0,2.28,3.09
NEW BEDFORD,173.63,7.32,82.4,65.11,5.59,0.05,1.77,0.03,6.52,3.34,17.13
NEWBURYPORT,191.61,7.75,97.95,92.8,0.96,0.0,2.46,0.0,1.1,0.64,2.05
NEWTON,363.5,122.92,95.03,74.61,3.1,0.07,13.9,0.01,0.31,3.03,4.97
NORTH ADAMS,226.23,10.0,95.27,88.87,1.36,0.1,0.84,0.1,0.0,4.01,4.73
NORTH BROOKFIELD,229.97,9.17,98.99,97.9,0.59,0.0,0.5,0.0,0.0,0.0,1.01
NORTH LAKEVILLE,314.9,139.97,97.75,93.47,0.49,0.0,0.69,0.0,0.27,2.83,2.25
NORTH PEMBROKE,265.3,102.89,98.53,91.15,0.82,0.0,1.54,0.0,0.0,5.02,1.47
NORTH PLYMOUTH,306.87,137.92,96.36,90.04,4.54,0.0,0.0,0.0,0.95,0.82,3.64
NORTH SCITUATE,200.92,8.49,99.28,92.91,1.09,0.0,0.51,0.57,1.57,2.63,0.72
NORTH SEEKONK,194.83,7.6,97.36,93.04,0.0,0.0,2.14,0.0,0.0,2.18,2.64
NORTH WESTPORT,249.77,9.88,98.3,97.28,0.52,0.0,0.23,0.0,0.0,0.28,1.7
NORTHAMPTON,181.19,7.15,91.51,82.44,1.9,0.12,4.26,0.0,0.01,2.79,8.49
NORTHBOROUGH,329.69,119.2,96.89,83.66,2.36,0.24,7.93,0.0,0.16,2.54,3.11
NORTON CENTER,194.82,7.55,97.82,92.17,2.98,0.0,1.51,0.0,0.35,0.82,2.18
NORWOOD,307.64,136.35,93.56,81.21,5.66,0.0,5.18,0.0,0.54,0.96,6.44
OCEAN BLUFF-BRANT ROCK,370.49,165.83,98.55,97.17,0.73,0.0,0.0,0.0,0.0,0.66,1.45
OCEAN GROVE,221.26,8.5,99.25,94.93,0.68,0.0,1.2,0.0,0.77,1.67,0.75
ONSET,293.9,144.4,99.7,91.4,0.77,0.0,0.25,0.0,7.28,0.0,0.3
OXFORD,239.72,9.49,98.94,95.85,1.13,0.0,0.5,0.0,0.46,1.0,1.06
PALMER TOWN,187.77,7.38,94.46,88.39,1.6,0.0,1.84,0.0,0.0,2.63,5.54
PEABODY,191.2,12.32,90.21,84.56,2.55,0.17,1.02,0.0,0.43,1.48,9.79
PEPPERELL,250.11,18.36,98.47,92.15,0.0,0.0,3.06,0.0,0.95,2.32,1.53
PETERSHAM,113.16,4.81,98.45,94.41,0.57,0.0,0.81,0.0,0.0,2.66,1.55
PINEHURST,364.55,161.74,97.37,85.98,2.67,0.0,6.57,0.27,0.11,1.77,2.63
PITTSFIELD,218.74,9.31,93.74,84.24,4.26,0.21,2.06,0.07,0.2,2.7,6.26
PLYMOUTH,263.39,118.17,99.75,90.66,1.95,0.0,0.94,0.0,3.66,2.55,0.25
QUINCY,196.29,14.31,96.97,60.63,5.07,0.17,29.03,0.2,0.33,1.55,3.03
RANDOLPH,322.85,143.67,90.74,34.13,39.25,0.04,11.71,0.07,2.59,2.95,9.26
RAYNHAM CENTER,288.65,129.64,97.7,91.45,1.41,0.0,3.28,0.0,0.14,1.43,2.3
READING,326.8,144.88,97.08,90.95,0.41,0.05,4.59,0.0,0.28,0.8,2.92
REVERE,291.6,23.66,68.85,56.02,5.08,0.09,4.59,0.0,1.13,1.94,31.15
ROCKPORT,204.84,8.0,98.39,96.48,0.18,0.0,0.06,0.0,1.15,0.51,1.61
ROWLEY,255.81,112.56,99.05,95.35,1.0,0.0,1.24,0.0,0.0,1.46,0.95
RUTLAND,247.14,9.8,95.98,94.33,0.05,0.0,1.11,0.0,0.0,0.5,4.02
SALEM,184.99,7.53,82.48,73.19,3.98,0.28,1.77,0.0,0.42,2.84,17.52
SALISBURY,166.71,6.6,96.54,92.23,0.97,0.0,0.95,0.2,0.68,1.51,3.46
SAUGUS,202.35,13.48,94.09,83.74,3.5,0.6,4.95,0.0,0.31,0.98,5.91
SCITUATE,215.35,38.65,98.71,96.07,0.47,0.0,0.36,0.0,1.26,0.55,1.29
SHARON,173.85,8.8,95.43,73.41,3.0,0.04,16.6,0.0,0.5,1.87,4.57
SMITH MILLS,161.06,6.7,99.6,93.25,1.36,0.1,2.05,0.0,0.83,2.0,0.4
SOMERSET,203.76,7.9,99.21,96.92,0.43,0.0,0.21,0.0,0.76,0.88,0.79
SOMERVILLE,281.59,37.71,88.95,69.27,6.36,0.08,9.71,0.02,0.66,2.85,11.05
SOUTH AMHERST,148.38,6.06,92.27,71.01,6.39,0.0,11.26,0.0,0.59,3.03,7.73
SOUTH ASHBURNHAM,199.1,7.71,98.7,95.06,0.94,0.0,0.16,0.0,0.5,2.05,1.3
SOUTH LANCASTER,154.84,25.11,91.92,83.51,4.2,0.12,1.62,0.21,0.12,2.13,8.08
