objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,shape
1,7-Eleven,462 Washington St, ,Brighton,MA,02135,Unverified,2016,ReferenceUSA,0, , ,42.34852700,-71.15896000,Convenience Stores,2400000001000000010004006A6900000C00000001000000A3B0A1E1B21588DDA186A511
2,7-Eleven,131 Middlesex Tpke, ,Burlington,MA,01803,Unverified,2016,ReferenceUSA,0, , ,42.48796500,-71.22174300,Convenience Stores,2400000001000000010004006A6900000C000000010000009686B9AFB215ADCAE599A611
3,7-Eleven,226 Winthrop Ave, ,Lawrence,MA,01843,Unverified,2016,ReferenceUSA,0, , ,42.68601900,-71.13976900,Convenience Stores,2400000001000000010004006A6900000C00000001000000B99CEAEEB215AD9AECEBA711
4,7-Eleven,1693 Route 6, ,Somerset,MA,02726,Unverified,2016,ReferenceUSA,0, , ,41.75438100,-71.15186600,Convenience Stores,2400000001000000010004006A6900000C000000010000009DE8B3E9B2158088F890A011
5,7-Eleven,226 Broadway, ,Taunton,MA,02780,Unverified,2016,ReferenceUSA,0, , ,41.92046700,-71.09132000,Convenience Stores,2400000001000000010004006A6900000C00000001000000B2D5CA98B31591A389C1A111
6,7-Eleven,173 Cambridge Rd, ,Woburn,MA,01801,Unverified,2016,ReferenceUSA,0, , ,42.46807700,-71.17915600,Convenience Stores,2400000001000000010004006A6900000C000000010000008A8CF5D0B215AAF2EB84A611
7,7-Eleven Inc,502 Riverside Ave, ,Medford,MA,02155,Unverified,2016,ReferenceUSA,0, , ,42.41029200,-71.08557900,Convenience Stores,2400000001000000010004006A6900000C000000010000009A99CD9AB3159B97F9C7A511
8,Circle K,15 Eastern Ave, ,Fall River,MA,02723,Unverified,2016,ReferenceUSA,0, , ,41.69700700,-71.13140400,Convenience Stores,2400000001000000010004006A6900000C00000001000000A8E6F2F9B21594879ED49F11
9,Cumberland Farms,79 Maple St, ,Danvers,MA,01923,Unverified,2016,ReferenceUSA,0, , ,42.58574800,-70.97863000,Convenience Stores,2400000001000000010004006A6900000C000000010000008CF4B5EDB31583F2A282A711
10,Cumberland Farms,28a Main St, ,Groton,MA,01450,Unverified,2016,ReferenceUSA,0, , ,42.59757700,-71.56267600,Convenience Stores,2400000001000000010004006A6900000C000000010000009EE99CA4B01594B8C98DA711
11,Cumberland Farms,56 Aiken Ave, ,Lowell,MA,01850,Unverified,2016,ReferenceUSA,0, , ,42.65824300,-71.31199100,Convenience Stores,2400000001000000010004006A6900000C00000001000000988BA5E8B115B3A6FECDA711
12,Cumberland Farms,25 Market St, ,Swansea,MA,02777,Unverified,2016,ReferenceUSA,0, , ,41.76893800,-71.26577500,Convenience Stores,2400000001000000010004006A6900000C00000001000000AB81828FB215A79A86A0A011
