name,type,address,zip,lat,lon
Oscar Tugo Circle,open space,Fenway/Kenmore,,42.33716325,-71.10316234080119
Commonwealth Avenue Mall II,open space,Fenway/Kenmore,,42.35345220000001,-71.07167779999999
Stony Brook Sewer Easement,open space,Fenway/Kenmore,,42.3411458,-71.09168526154407
Harry Ellis Dickson Park,open space,Fenway/Kenmore,,42.34363065,-71.0871233443723
Gallops Island,open space,Harbor Islands,,42.3264875,-70.939492
Lovells Island,open space,Harbor Islands,,42.329265299999996,-70.9286585
Georges Island,open space,Harbor Islands,,42.3197213,-70.92809940333144
Green Island,open space,Harbor Islands,,43.6381206,-73.5362285
Little Calf Island,open space,Harbor Islands,,42.3458088,-70.89396052026227
Calf Island,open space,Harbor Islands,,42.3413883,-70.89594670150237
Outer Brewster Island,open space,Harbor Islands,,42.3417654,-70.8772685
Middle Brewster Island,open space,Harbor Islands,,42.33901425000001,-70.8879245569895
Great Brewster Island,open space,Harbor Islands,,42.33204310000001,-70.8961577
Shag Rocks,open space,Harbor Islands,,42.330126899999996,-70.88286277209419
Long Island,open space,Harbor Islands,,43.6381206,-73.5362285
Little Brewster Island,open space,Harbor Islands,,42.327876700000004,-70.89032409999999
Thompson Island,open space,Harbor Islands,,42.3153762,-71.0083825
Rainsford Island,open space,Harbor Islands,,42.312598799999996,-70.95088100000001
Deer Island,open space,Harbor Islands,,42.3398479,-70.95450770000001
Moon Island,open space,Harbor Islands,,46.9725908,-123.9329469
Monterey Hilltop I,open space,Hyde Park,,42.270319,-71.1267706512152
Monterey Hilltop II,open space,Hyde Park,,42.270319,-71.1267706512152
Sherrin Woods I,open space,Hyde Park,,42.26674175,-71.1235748361425
Oak Lawn Cemetery,open space,Hyde Park,,41.724138700000005,-87.74058149999999
Doyle Playground,open space,Hyde Park,,42.2611852,-71.11186660289313
Match Charter School Campus,open space,Hyde Park,,42.3051984,-71.10358769999999
West Street,open space,Hyde Park,,42.261858000000004,-71.122748
Dell Rock I,open space,Hyde Park,,42.2601767,-71.1221877805682
Amatucci Playground,open space,Hyde Park,,42.2484477,-71.12634123083775
Camp Meigs,open space,Hyde Park,,42.2348085,-71.13190227777186
Williams Square,open space,Hyde Park,,42.2460645,-71.11492132989487
Mother Brook Reservation,open space,Hyde Park,,42.24493629999999,-71.14341340000001
Mission Hill Playground,open space,Jamaica Plain,,42.33311035,-71.09918918981035
Gibbons Playground,open space,Jamaica Plain,,42.33117395,-71.09836522887827
Mozart Street Playground,open space,Jamaica Plain,,42.32236265,-71.10449225666835
Beecher Street Play Area,open space,Jamaica Plain,,42.31809395,-71.10683145756303
Lawrence Farm,open space,Jamaica Plain,,35.294927799999996,-87.4422927
Soldier's Monument,open space,Jamaica Plain,,42.3094264,-71.11578490000001
Forbes Street Garden,open space,Jamaica Plain,,42.321045,-71.10667600000001
Tobin Community Center Garden,open space,Jamaica Plain,,42.3323958,-71.09805018128121
Johnson Park II,open space,Jamaica Plain,,42.3115805,-71.10797075751182
Johnson Park I,open space,Jamaica Plain,,42.3115805,-71.10797075751182
Mahoney Square,open space,Jamaica Plain,,42.352500899999995,-71.06467190000001
Hellenic Hill I,open space,Jamaica Plain,,42.3138545,-71.13142120452471
Back of the Hill Urban Wild,open space,Jamaica Plain,,42.3296806,-71.1097500564877
Hall/Boynton Street Garden,open space,Jamaica Plain,,42.305409999999995,-71.112447
Anson Street Garden,open space,Jamaica Plain,,42.303028000000005,-71.113949
Woodhaven,open space,Mattapan,,42.272191,-71.096457
Gladeside I,open space,Mattapan,,42.27396645,-71.0875393039113
Gladeside II,open space,Mattapan,,42.27191645,-71.08653507719927
Walker Playground,open space,Mattapan,,42.2779072,-71.08970662913822
Kennedy Playground,open space,Mattapan,,42.26544045,-71.09593423740316
Forest Hills Cemetery,open space,Roslindale,,42.297795,-71.1159597
Walter Street Cemetery,open space,Roslindale,,42.2913252,-71.13160529999999
Pagel Playground,open space,Roslindale,,42.2890063,-71.1188187749639
Parkman Playground,open space,Roslindale,,42.2959986,-71.11305065244099
Fallon Field,open space,Roslindale,,42.28743255,-71.13528381682634
Southwest Boston Garden Club,open space,Roslindale,,42.2912093,-71.12449659999999
Delano Park,open space,Roslindale,,42.279864,-71.12624
Dudley Town Common,open space,Roxbury,,42.3267476,-71.07555968653115
Jeep Jones Park,open space,Roxbury,,42.33085335,-71.0921738089555
Linwood Park,open space,Roxbury,,42.3285314,-71.0947215742339
Kittredge Park,open space,Roxbury,,42.3282527,-71.09258179999999
St James Street Park,open space,Roxbury,,42.32701255,-71.08510031347781
Horatio Harris Park,open space,Roxbury,,42.31852325,-71.09008121578628
Crawford Street Playground,open space,Roxbury,,42.3154033,-71.09290255361294
Flaherty Playground,open space,Roxbury,,42.31147670000001,-71.1044350856737
Highland Park,open space,Roxbury,,42.32518655,-71.09497367594469
Cedar Square,open space,Roxbury,,42.32481275,-71.08954978007156
Elm Hill Park,open space,Roxbury,,42.312927,-71.08215109708455
Quincy Street Play Area,open space,Roxbury,,42.31472945,-71.07974324285256
Howes Playground,open space,Roxbury,,42.3242443,-71.078685019776
Little Scobie Playground,open space,Roxbury,,42.3227045,-71.0807515017887
Erie/Ellington Playground,open space,Roxbury,,42.3013581,-71.08325152069659
Puddingstone Park,open space,Roxbury,,42.305106099999996,-71.08353753127183
John Eliot Square,open space,Roxbury,,42.32992935,-71.09082194557121
St. Monica's,open space,Roxbury,,42.3651188,-71.05557940000001
Buena Vista,open space,Roxbury,,42.323527399999996,-71.08336139961719
Granada Park Garden,open space,Roxbury,,42.313061,-71.09831899999999
Egleston Community Garden,open space,Roxbury,,42.3141479,-71.09922420000001
Waldren Road Garden,open space,Roxbury,,42.315523999999996,-71.095197
Winthrop Street Garden,open space,Roxbury,,42.325627000000004,-71.079774
Dennis Street Park,open space,Roxbury,,42.32243585,-71.07494633071316
Medal of Honor Park,open space,South Boston,,42.3362025,-71.03232955805696
Christopher Lee Playground,open space,South Boston,,42.33779745,-71.03184096111653
Hawes Burying Ground,open space,South Boston,,42.334301,-71.03453008149641
Union Burying Ground,open space,South Boston,,42.33410165,-71.03452387667315
Flaherty Park,open space,South Boston,,42.341888299999994,-71.05306562936521
Buckley Playground,open space,South Boston,,42.33934495,-71.0491195333753
Sterling Square,open space,South Boston,,42.327104600000006,-71.0543103
Veterans Memorial Park,open space,South Boston,,42.34216675,-71.09402035039882
Ronan Park,open space,Dorchester,,42.30447625,-71.06258208712792
Mt. Bowdoin Green,open space,Dorchester,,42.30244445,-71.07604852665878
Byrne Playground,open space,Dorchester,,42.3009609,-71.0521998
Doherty/Gibson Playground,open space,Dorchester,,42.29759755,-71.06187024202322
