OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
7819,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,4233.046875,256.730008206978, ,PARK_Maintenance_Region 4
7820,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field, ,0,0,276419.033203125,2104.70261133767, ,INFO_Reallocation From Dept
7821,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,43737.3503417969,852.844111747043,156,PARK_Maintenance_Region 4
7822,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,654457.503417969,3624.89362066484,284,PARK_Maintenance_Region 4
7823,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,0,0,1938.69506835938,207.32053118648,115,PARK_Maintenance_Region 4
7824,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,447031.286865234,3765.8295455568,259,PARK_Maintenance_Region 4
7825,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,96292.9716796875,1270.34974931215, ,INFO_Reallocation From Dept
7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.134277344,2170.12626814823,193,PARK_Maintenance_Region 4
7827,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,35233.9975585938,797.596802174583,154,PARK_Maintenance_Region 4
7828,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,17221.6560058594,536.818225023078,188,PARK_Cemetery Maintenance Request
