datetime,temperature,wind_speed,surface_solar_radiation,relative_humidity,surface_pressure,total_precipitation,city,event_id,latitude,longitude,outcome
2017-04-30,12.18,5.76,181,0.6,98917.31,0.03,Birmingham,0,,,0
2017-05-01,11.01,3.41,191,0.79,99276.67,0.21,Birmingham,0,,,0
2017-05-02,10.89,3.08,184,0.76,100774.1,0.03,Birmingham,0,,,0
2017-05-03,9.7,5.75,188,0.72,101187.7,0.0,Birmingham,0,,,0
2017-05-04,10.98,5.86,247,0.66,101183.73,0.0,Birmingham,0,,,0
2017-05-05,10.69,6.09,247,0.62,100972.69,0.0,Birmingham,0,,,0
2017-05-06,9.76,4.72,100,0.79,100293.49,0.01,Birmingham,0,,,0
2017-05-07,11.69,2.69,263,0.7,100912.74,0.0,Birmingham,0,,,0
2017-05-08,8.75,3.85,222,0.67,101523.43,0.0,Birmingham,0,,,0
2017-05-09,8.35,1.98,213,0.67,101027.5,0.0,Birmingham,0,,,0
2017-05-10,10.19,1.4,288,0.66,99546.41,0.0,Birmingham,0,,,0
2017-05-11,12.67,3.56,226,0.66,98440.95,0.02,Birmingham,0,,,0
2017-05-12,12.32,1.9,113,0.87,98357.15,0.43,Birmingham,0,,,0
2017-05-13,13.27,5.19,200,0.7,99287.85,0.04,Birmingham,0,,,0
2017-05-14,13.32,3.84,257,0.69,100406.42,0.23,Birmingham,0,,,0
2017-05-15,13.3,6.05,43,0.89,100814.03,0.15,Birmingham,0,,,0
2017-05-16,16.05,5.46,67,0.9,100814.41,0.13,Birmingham,0,,,0
2017-05-17,12.22,1.38,38,0.94,100401.7,0.63,Birmingham,0,,,0
2017-05-18,10.84,1.48,191,0.79,99979.95,0.08,Birmingham,0,,,0
2017-05-19,10.88,1.73,161,0.82,99908.9,0.21,Birmingham,0,,,0
2017-05-20,10.44,3.64,240,0.82,100325.07,0.15,Birmingham,0,,,0
2017-05-21,12.77,3.6,166,0.73,100921.31,0.0,Birmingham,0,,,0
2017-05-22,16.42,3.19,279,0.66,100290.13,0.0,Birmingham,0,,,0
2017-05-23,16.29,2.93,191,0.73,100778.46,0.01,Birmingham,0,,,0
2017-05-24,17.89,1.9,207,0.75,101288.82,0.0,Birmingham,0,,,0
2017-05-25,19.95,2.01,270,0.68,101076.13,0.0,Birmingham,0,,,0
2017-05-26,19.94,4.29,325,0.61,100513.32,0.0,Birmingham,0,,,0
2017-05-27,16.88,4.18,211,0.8,99948.57,0.04,Birmingham,0,,,0
2017-05-28,17.2,1.3,253,0.73,100479.32,0.01,Birmingham,0,,,0
2017-05-29,16.08,2.26,104,0.91,99990.88,0.32,Birmingham,0,,,0
2017-05-30,16.15,3.98,187,0.79,100196.76,0.05,Birmingham,0,,,0
2017-05-31,15.99,0.71,174,0.73,100920.38,0.01,Birmingham,0,,,0
2017-06-01,17.81,3.38,223,0.74,100706.01,0.02,Birmingham,0,,,0
2017-06-02,16.11,1.46,170,0.83,100340.53,0.07,Birmingham,0,,,0
2017-06-03,14.54,3.49,238,0.69,100169.31,0.07,Birmingham,0,,,0
2017-06-04,12.79,3.91,217,0.76,100183.36,0.16,Birmingham,0,,,0
2017-06-05,12.23,6.55,79,0.89,99063.6,0.51,Birmingham,0,,,0
2017-06-06,12.31,6.75,178,0.79,98137.96,0.73,Birmingham,0,,,0
2017-06-07,13.61,6.25,200,0.68,99642.2,0.1,Birmingham,0,,,0
2017-06-08,14.45,6.49,114,0.87,99397.02,0.14,Birmingham,0,,,0
2017-06-09,14.98,4.25,211,0.76,99697.43,0.04,Birmingham,0,,,0
2017-06-10,15.97,6.02,86,0.84,100096.28,0.08,Birmingham,0,,,0
2017-06-11,15.64,6.58,239,0.73,99937.88,0.02,Birmingham,0,,,0
2017-06-12,14.62,5.5,171,0.72,100337.8,0.02,Birmingham,0,,,0
2017-06-13,15.45,2.25,155,0.78,100667.27,0.03,Birmingham,0,,,0
