state,state_code,year,drug_deaths,population,labor_force,employment,unemployment,unemployment_rate,cpi_all_urban_consumers,gdp_per_capita
Alabama,1,1999,195,4430141,2140296,2038889,101407,4.7,166.6,33106
Alabama,1,2000,232,4447100,2133223,2035594,97629,4.6,172.2,33106
Alabama,1,2001,253,4467634,2115401,2006884,108517,5.1,177.1,33312
Alabama,1,2002,248,4480089,2106161,1981919,124242,5.9,179.9,34068
Alabama,1,2003,255,4503491,2120225,1992732,127493,6.0,184.0,34855
Alabama,1,2004,327,4530729,2136458,2014889,121569,5.7,188.9,36702
Alabama,1,2005,332,4569805,2146025,2049791,96234,4.5,195.3,37578
Alabama,1,2006,466,4628981,2167809,2080233,87576,4.0,201.6,37735
Alabama,1,2007,554,4672840,2175612,2089127,86485,4.0,207.342,37522
Alabama,1,2008,646,4718206,2176489,2053477,123012,5.7,215.303,36976
Alabama,1,2009,688,4757938,2162999,1924747,238252,11.0,214.537,35376
Alabama,1,2010,585,4779736,2196042,1964559,231483,10.5,218.056,35913
Alabama,1,2011,605,4802740,2202670,1990413,212257,9.6,224.939,36201
Alabama,1,2012,632,4822023,2176337,2003290,173047,8.0,229.594,36425
Alabama,1,2013,648,4833722,2174000,2017043,156957,7.2,232.957,36660
Alabama,1,2014,800,4849377,2161618,2015087,146531,6.8,236.736,36455
Alabama,1,2015,810,4858979,2157376,2025949,131427,6.1,237.017,36911
Alabama,1,2016,855,4863300,2173175,2045624,127551,5.9,240.007,37402
Alaska,2,1999,56,624779,317943,297354,20589,6.5,166.6,58609
Alaska,2,2000,54,626932,319511,299146,20365,6.4,172.2,57184
Alaska,2,2001,72,633714,321393,300731,20662,6.4,177.1,58547
Alaska,2,2002,85,642337,326401,302580,23821,7.3,179.9,60101
Alaska,2,2003,86,648414,331669,305723,25946,7.8,184.0,59008
Alaska,2,2004,92,659286,336743,311643,25100,7.5,188.9,60137
Alaska,2,2005,85,666946,344559,320811,23748,6.9,195.3,61125
Alaska,2,2006,85,675302,349691,326542,23149,6.6,201.6,64349
Alaska,2,2007,75,680300,350785,328579,22206,6.3,207.342,67228
Alaska,2,2008,132,687455,356109,332285,23824,6.7,215.303,67527
Alaska,2,2009,133,698895,359647,331792,27855,7.7,214.537,72204
Alaska,2,2010,84,710231,361913,333416,28497,7.9,218.056,69564
Alaska,2,2011,107,722718,365913,338161,27752,7.6,224.939,70573
Alaska,2,2012,132,731449,365519,339474,26045,7.1,229.594,73478
Alaska,2,2013,110,735132,365292,339801,25491,7.0,232.957,69700
Alaska,2,2014,127,736732,365704,340585,25119,6.9,236.736,67188
Alaska,2,2015,127,738432,363872,340132,23740,6.5,237.017,67302
Alaska,2,2016,138,741894,363047,337947,25100,6.9,240.007,63317
Arizona,4,1999,557,5023823,2473013,2363084,109929,4.4,166.6,38300
Arizona,4,2000,559,5130632,2509883,2410581,99302,4.0,172.2,39185
Arizona,4,2001,598,5273477,2585284,2461498,123786,4.8,177.1,39170
Arizona,4,2002,667,5396255,2679421,2516006,163415,6.1,179.9,39323
Arizona,4,2003,739,5510364,2736000,2578854,157146,5.7,184.0,40769
Arizona,4,2004,803,5652404,2796269,2655428,140841,5.0,188.9,41063
Arizona,4,2005,849,5839077,2883226,2748372,134854,4.7,195.3,43018
