Year,Population (C),"Population (US, millions)",Drug Deaths (C),Drug Deaths Rate,,# Suicides (C),Suicide Rate,,Percent of Adult Smokers,,Alcohol Consumption (gallons) (C),Alcohol Consumption (gallons/population),,,Alcohol-Related Driving Fatalities,Alcohol-Related Driving Fatality Rate (% of pop.),,Rehab Admission (% of population),,Income per Capita,,Tax Revenue per Capita,
1999,4226018,278.57,375,0.0089,0.0061,,,,22.5,22.8,3384222,0.8008063383,223099823,0.8008752665,229,0.005418812698,0.004620023692,0.01396113315,0.006157647988,31477,34720,,
2000,4301261,281.71,372,0.0086,0.0062,,,,20.0,23.2,3467312,0.8061152299,225930423,0.8019964609,268,0.006230730941,0.0048241099,0.01279136514,0.006211029072,34187,36800,,
2001,4425687,284.61,444,0.0100,0.0068,,,,22.3,23.2,3551248,0.8024173422,228578068,0.8031273251,328,0.007411278746,0.004760900882,0.009686857656,0.006209985594,35023,37700,,
2002,4490406,287.28,474,0.0106,0.0082,,,,20.4,23.2,3608580,0.8036199845,231194672,0.8047712058,314,0.006992686185,0.004768866611,0.01507302458,0.006563095238,34608,38430,,
2003,4528732,289.82,529,0.0117,0.0089,,,,18.6,22.0,3642128,0.8042268785,233701167,0.8063665965,246,0.005431984052,0.004595956111,0.01399420412,0.006423483542,34935,39740,,
2004,4575013,292.35,548,0.0120,0.0094,792,0.0173,0.0110,20.0,20.9,3689253,0.806391807,236561755,0.8091730973,259,0.005661186099,0.004586967676,0.01510137785,0.006185972293,35870,42060,3170,3451
2005,4631888,294.99,640,0.0138,0.0101,795,0.0172,0.0109,19.8,20.6,3739118,0.8072557022,239350769,0.8113860436,244,0.00526783031,0.004708634191,0.0166010059,0.006427055154,37841,44570,3365,3717
2006,4720423,297.76,660,0.0140,0.0115,724,0.0153,0.0110,17.9,20.1,3815012,0.8081928251,242171653,0.8133115697,207,0.004385200225,0.004621171413,0.01662033254,0.006591462923,40140,47160,3635,4041
2007,4803868,300.61,747,0.0155,0.0119,805,0.0168,0.0113,18.7,19.8,3883503,0.8084116799,244809096,0.8143744253,199,0.004142495173,0.004407704335,0.01652918024,0.007194960247,42024,48280,3872,4260
2008,4889730,303.49,760,0.0155,0.0119,801,0.0164,0.0116,17.6,18.4,3953614,0.8085546646,247384676,0.8151328742,202,0.004131107444,0.003954001779,0.01755332094,0.007464750074,42689,48290,4006,4372
2009,4972195,306.31,784,0.0158,0.0119,940,0.0189,0.0118,17.1,17.9,4021971,0.8088924509,249869828,0.8157416604,178,0.003579907868,0.003512781169,0.01775332625,0.00725942346,39982,46920,3905,4180
2010,5029196,309.01,676,0.0134,0.0123,867,0.0172,0.0121,16.0,17.3,4086694,0.8125939017,252270877,0.816384185,142,0.002823512943,0.003236141225,0.01574704983,0.006762706709,40689,48900,3858,4134
2011,5116796,311.58,852,0.0167,0.0132,910,0.0178,0.0123,18.3,21.2,4154402,0.8119147216,254542312,0.8169404711,173,0.00338102203,0.003113165158,0.01520795435,0.006695731433,43575,50820,3980,4314
2012,5187582,314.04,826,0.0159,0.0131,1053,0.0203,0.0125,17.7,19.6,4223262,0.8141099264,256895820,0.8180353458,167,0.003219226221,0.003216150809,0.01694488877,0.0063312094,45669,53120,4075,4422
2013,5268367,316.40,864,0.0164,0.0138,1004,0.0191,0.0126,17.7,19.0,4297634,0.8157430946,259137618,0.8190190202,170,0.003226806333,0.003103666245,0.0166850563,0.006061472819,50711,54360,4265,4604
2014,5355866,318.67,917,0.0168,0.0147,1058,0.0198,0.0130,15.7,18.1,4376701,0.8171789585,261564480,0.8208004519,187,0.003491498854,0.002996830577,0.01672820044,0.005668914551,52254,56730,4363,4693
2015,5456574,320.88,893,0.01593,0.0163,1093,0.0200,0.0133,15.6,17.5,4472741,0.8196976711,263925279,0.8225046092,,,,0.01607034011,0.005736144353,55270,58340,4520,4877
2016,5540545,323.02,973,0.01701,0.0198,1156,0.0209,0.0134,15.6,17.1,4559826,0.822992323,266191088,0.8240699895,,,,0.01588724575,0.005933140363,57184,58970,4640,4951
2017,5607154,325.08,,0.01707,0.0217,1175,0.0210,0.0140,14.6,17.1,4637587,0.827083936,268308621,0.8253618217,,,,0.01485477303,0.006168927649,58728,61020,4902,5073
2018,5697155,327.10,,0.01711,0.0207,,,,14.5,16.1,4718558,0.8282305818,270449061,0.826808502,,,,,,59930,63780,,
,,,,,,,,,,,,,,,,,,,,,,,
,Colorado,,,,,,,,,,,,,,,,,,,,,,
,USA,,,,,,,,,,,,,,,,,,,,,,
