holdings
ABUS
ACAD
ADAP
ADPT
ADVM
AERI
AGIO
AGLE
AKBA
AKRO
ALEC
ALKS
ALLK
ALLO
ALNY
ALT
ALVR
ALXN
AMGN
AMPH
AMRN
ANAB
ANIP
APLS
APLT
APRE
ARCT
ARDX
ARNA
ARQT
ARVN
ARWR
ASMB
ATNX
ATRA
AUPH
AVDL
AVRO
AXSM
BBIO
BCEL
BCRX
BDSI
BDTX
BEAM
BGNE
BIIB
BLUE
BMRN
BPMC
CABA
CALA
CARA
CBAY
CCXI
CDXS
CHMA
CHRS
CLVS
CNCE
CNST
COLL
CRNX
CRSP
CRTX
CSTL
CTMX
CYTK
DCPH
DNLI
DRNA
DTIL
EDIT
EGRX
EIGR
ENDP
ENTA
EPZM
ESPR
EXEL
FATE
FGEN
FIXX
FLXN
FOLD
FPRX
FREQ
FULC
GBT
GERN
GH
GILD
GOSS
GTHX
GWPH
HALO
HARP
HCM
HZNP
ICPT
IDYA
IGMS
ILMN
IMGN
IMUX
IMVT
INCY
INO
INSM
INVA
IONS
IOVA
IRWD
ISEE
ITCI
JAZZ
JNCE
KALA
KALV
KDMN
KLDO
KNSA
KOD
KPTI
KRTX
KRYS
KURA
KZR
LGND
LMNX
LRMR
MCRB
MDGL
MEDP
MGNX
MGTA
MGTX
MNKD
MNOV
MRNA
MRNS
MRSN
MRTX
MYGN
NBIX
NGM
NK
NKTR
NLTX
NRIX
NSTG
NTLA
NVAX
NXTC
OCUL
ODT
OMER
OPK
ORTX
OSMT
OVID
PACB
PAHC
PBYI
PCRX
PDLI
PETQ
PGEN
PRAH
PRTA
PRTK
PRVB
PSNL
PTCT
PTGX
QURE
RAPT
RARE
RCKT
RDUS
REGN
REPL
RETA
RGNX
RIGL
RLMD
RPRX
RUBY
RVMD
RVNC
RYTM
SAGE
SELB
SGEN
SGMO
SIGA
SNDX
SPPI
SPRO
SRPT
SRRK
STOK
STRO
SUPN
SURF
SWTX
SYNH
SYRS
TBIO
TBPH
TCDA
TCRR
TPTX
TWST
TXMD
UBX
URGN
UTHR
VCYT
VIE
VIR
VNDA
VRTX
VSTM
VYGR
WVE
XBIT
XENE
XERS
XLRN
XNCR
YMAB
ZGNX
ZIOP
actual.csv
