Name,CPF ID,Total Recieved,All Contributions
"Flaherty Jr., Michael F.",12892,38700.0,1818844.8299999998
"Wu, Michelle",15563,3350.0,1486452.1600000001
"Essaibi George, Annissa",15618,26700.0,663732.28
"Mejia, Julia M.",17092,3000.0,152378.26
"Edwards, Lydia",16314,2858.0,554057.77
"Flynn, Edward Michael",14391,6750.0,686292.89
"Baker, Frank",15333,10824.0,684131.47
"Campbell, Andrea Joy",15931,5400.0,897720.6799999999
"Arroyo, Ricardo N.",17105,750.0,138424.77000000002
"Janey, Kim",16537,6100.0,249827.22999999998
"O'Malley, Matthew J.",14092,9844.45,692661.37
"Bok, Priscilla MacKenzie",17164,0.0,205397.47
"Breadon, Elizabeth A.",17111,0.0,36725.1
